[Measurement conditions]
Sample identification,142_AlAxial23Mar22_Act16Nov22_B1_1000M_NaOH_LS0133
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 11:18
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3825.0, 61.8466
5.033990845, 96.390, 3823.0, 61.8304
5.060251411, 96.390, 3830.0, 61.8870
5.086511976, 96.390, 3807.0, 61.7009
5.112772541, 96.390, 3803.0, 61.6685
5.139033107, 96.390, 3743.0, 61.1801
5.165293672, 96.390, 3761.0, 61.3270
5.191554237, 96.390, 3799.0, 61.6360
5.217814803, 96.390, 3687.0, 60.7207
5.244075368, 96.390, 3797.0, 61.6198
5.270335934, 96.390, 3702.0, 60.8441
5.296596499, 96.390, 3778.0, 61.4654
5.322857064, 96.390, 3637.0, 60.3075
5.349117630, 96.390, 3713.0, 60.9344
5.375378195, 96.390, 3770.0, 61.4003
5.401638760, 96.390, 3651.0, 60.4235
5.427899326, 96.390, 3738.0, 61.1392
5.454159891, 96.390, 3631.0, 60.2578
5.480420456, 96.390, 3702.0, 60.8441
5.506681022, 96.390, 3665.0, 60.5392
5.532941587, 96.390, 3578.0, 59.8164
5.559202152, 96.390, 3725.0, 61.0328
5.585462718, 96.390, 3608.0, 60.0666
5.611723283, 96.390, 3621.0, 60.1747
5.637983849, 96.390, 3672.0, 60.5970
5.664244414, 96.390, 3576.0, 59.7997
5.690504979, 96.390, 3700.0, 60.8276
5.716765545, 96.390, 3632.0, 60.2661
5.743026110, 96.390, 3598.0, 59.9833
5.769286675, 96.390, 3642.0, 60.3490
5.795547241, 96.390, 3695.0, 60.7865
5.821807806, 96.390, 3665.0, 60.5392
5.848068371, 96.390, 3675.0, 60.6218
5.874328937, 96.390, 3612.0, 60.0999
5.900589502, 96.390, 3669.0, 60.5723
5.926850067, 96.390, 3677.0, 60.6383
5.953110633, 96.390, 3559.0, 59.6574
5.979371198, 96.390, 3568.0, 59.7327
6.005631763, 96.390, 3677.0, 60.6383
6.031892329, 96.390, 3601.0, 60.0083
6.058152894, 96.390, 3667.0, 60.5558
6.084413460, 96.390, 3658.0, 60.4814
6.110674025, 96.390, 3611.0, 60.0916
6.136934590, 96.390, 3518.0, 59.3127
6.163195156, 96.390, 3533.0, 59.4390
6.189455721, 96.390, 3581.0, 59.8415
6.215716286, 96.390, 3651.0, 60.4235
6.241976852, 96.390, 3504.0, 59.1946
6.268237417, 96.390, 3571.0, 59.7578
6.294497982, 96.390, 3479.0, 58.9830
6.320758548, 96.390, 3572.0, 59.7662
6.347019113, 96.390, 3638.0, 60.3158
6.373279678, 96.390, 3543.0, 59.5231
6.399540244, 96.390, 3508.0, 59.2284
6.425800809, 96.390, 3459.0, 58.8133
6.452061375, 96.390, 3427.0, 58.5406
6.478321940, 96.390, 3541.0, 59.5063
6.504582505, 96.390, 3522.0, 59.3464
6.530843071, 96.390, 3621.0, 60.1747
6.557103636, 96.390, 3592.0, 59.9333
6.583364201, 96.390, 3425.0, 58.5235
6.609624767, 96.390, 3542.0, 59.5147
6.635885332, 96.390, 3470.0, 58.9067
6.662145897, 96.390, 3467.0, 58.8812
6.688406463, 96.390, 3506.0, 59.2115
6.714667028, 96.390, 3470.0, 58.9067
6.740927593, 96.390, 3519.0, 59.3212
6.767188159, 96.390, 3510.0, 59.2453
6.793448724, 96.390, 3549.0, 59.5735
6.819709289, 96.390, 3493.0, 59.1016
6.845969855, 96.390, 3497.0, 59.1354
6.872230420, 96.390, 3459.0, 58.8133
6.898490986, 96.390, 3514.0, 59.2790
6.924751551, 96.390, 3561.0, 59.6741
6.951012116, 96.390, 3428.0, 58.5491
6.977272682, 96.390, 3456.0, 58.7878
7.003533247, 96.390, 3452.0, 58.7537
7.029793812, 96.390, 3504.0, 59.1946
7.056054378, 96.390, 3401.0, 58.3181
7.082314943, 96.390, 3516.0, 59.2959
7.108575508, 96.390, 3419.0, 58.4722
7.134836074, 96.390, 3354.0, 57.9137
7.161096639, 96.390, 3557.0, 59.6406
7.187357204, 96.390, 3458.0, 58.8048
7.213617770, 96.390, 3479.0, 58.9830
7.239878335, 96.390, 3427.0, 58.5406
7.266138900, 96.390, 3386.0, 58.1893
7.292399466, 96.390, 3351.0, 57.8878
7.318660031, 96.390, 3447.0, 58.7112
7.344920597, 96.390, 3421.0, 58.4893
