[Measurement conditions]
Sample identification,130_Centroid16Mar22_Act16Nov22_B1_0714M_NaOH_LS0173
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 09:05
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4175.0, 64.6142
5.033990845, 96.390, 4130.0, 64.2651
5.060251411, 96.390, 4161.0, 64.5058
5.086511976, 96.390, 4041.0, 63.5689
5.112772541, 96.390, 4136.0, 64.3117
5.139033107, 96.390, 3995.0, 63.2060
5.165293672, 96.390, 4127.0, 64.2417
5.191554237, 96.390, 4016.0, 63.3719
5.217814803, 96.390, 4024.0, 63.4350
5.244075368, 96.390, 3904.0, 62.4820
5.270335934, 96.390, 3786.0, 61.5305
5.296596499, 96.390, 3968.0, 62.9921
5.322857064, 96.390, 3987.0, 63.1427
5.349117630, 96.390, 3899.0, 62.4420
5.375378195, 96.390, 3809.0, 61.7171
5.401638760, 96.390, 3903.0, 62.4740
5.427899326, 96.390, 3819.0, 61.7981
5.454159891, 96.390, 3831.0, 61.8951
5.480420456, 96.390, 3751.0, 61.2454
5.506681022, 96.390, 3656.0, 60.4649
5.532941587, 96.390, 3643.0, 60.3573
5.559202152, 96.390, 3836.0, 61.9355
5.585462718, 96.390, 3645.0, 60.3738
5.611723283, 96.390, 3674.0, 60.6135
5.637983849, 96.390, 3660.0, 60.4979
5.664244414, 96.390, 3648.0, 60.3987
5.690504979, 96.390, 3629.0, 60.2412
5.716765545, 96.390, 3658.0, 60.4814
5.743026110, 96.390, 3639.0, 60.3241
5.769286675, 96.390, 3497.0, 59.1354
5.795547241, 96.390, 3530.0, 59.4138
5.821807806, 96.390, 3560.0, 59.6657
5.848068371, 96.390, 3584.0, 59.8665
5.874328937, 96.390, 3524.0, 59.3633
5.900589502, 96.390, 3507.0, 59.2199
5.926850067, 96.390, 3462.0, 58.8388
5.953110633, 96.390, 3465.0, 58.8643
5.979371198, 96.390, 3424.0, 58.5150
6.005631763, 96.390, 3528.0, 59.3970
6.031892329, 96.390, 3499.0, 59.1523
6.058152894, 96.390, 3384.0, 58.1722
6.084413460, 96.390, 3418.0, 58.4637
6.110674025, 96.390, 3339.0, 57.7841
6.136934590, 96.390, 3453.0, 58.7622
6.163195156, 96.390, 3345.0, 57.8360
6.189455721, 96.390, 3406.0, 58.3609
6.215716286, 96.390, 3480.0, 58.9915
6.241976852, 96.390, 3351.0, 57.8878
6.268237417, 96.390, 3294.0, 57.3934
6.294497982, 96.390, 3317.0, 57.5934
6.320758548, 96.390, 3368.0, 58.0345
6.347019113, 96.390, 3315.0, 57.5760
6.373279678, 96.390, 3270.0, 57.1839
6.399540244, 96.390, 3192.0, 56.4978
6.425800809, 96.390, 3331.0, 57.7148
6.452061375, 96.390, 3347.0, 57.8533
6.478321940, 96.390, 3179.0, 56.3826
6.504582505, 96.390, 3214.0, 56.6922
6.530843071, 96.390, 3249.0, 57.0000
6.557103636, 96.390, 3179.0, 56.3826
6.583364201, 96.390, 3129.0, 55.9375
6.609624767, 96.390, 3235.0, 56.8771
6.635885332, 96.390, 3229.0, 56.8243
6.662145897, 96.390, 3108.0, 55.7494
6.688406463, 96.390, 3225.0, 56.7891
6.714667028, 96.390, 3199.0, 56.5597
6.740927593, 96.390, 3254.0, 57.0438
6.767188159, 96.390, 3222.0, 56.7627
6.793448724, 96.390, 3174.0, 56.3383
6.819709289, 96.390, 3137.0, 56.0089
6.845969855, 96.390, 3141.0, 56.0446
6.872230420, 96.390, 3114.0, 55.8032
6.898490986, 96.390, 3234.0, 56.8683
6.924751551, 96.390, 3127.0, 55.9196
6.951012116, 96.390, 3128.0, 55.9285
6.977272682, 96.390, 3097.0, 55.6507
7.003533247, 96.390, 3029.0, 55.0364
7.029793812, 96.390, 3070.0, 55.4076
7.056054378, 96.390, 3111.0, 55.7763
7.082314943, 96.390, 3027.0, 55.0182
7.108575508, 96.390, 3152.0, 56.1427
7.134836074, 96.390, 3083.0, 55.5248
7.161096639, 96.390, 3137.0, 56.0089
7.187357204, 96.390, 3222.0, 56.7627
7.213617770, 96.390, 3048.0, 55.2087
7.239878335, 96.390, 3148.0, 56.1070
7.266138900, 96.390, 3191.0, 56.4889
7.292399466, 96.390, 3152.0, 56.1427
7.318660031, 96.390, 3170.0, 56.3028
7.344920597, 96.390, 3109.0, 55.7584
7.371181162, 96.390, 3059.0, 55.3082
7.397441727, 96.390, 3089.0, 55.5788
7.423702293, 96.390, 3024.0, 54.9909
7.449962858, 96.390, 3044.0, 55.1725
7.476223423, 96.390, 2977.0, 54.5619
7.502483989, 96.390, 2995.0, 54.7266
7.528744554, 96.390, 2960.0, 54.4059
7.555005119, 96.390, 3009.0, 54.8544
7.581265685, 96.390, 2959.0, 54.3967
