[Measurement conditions]
Sample identification,136_MgCorner11May22_Act16Nov22_B1_0714M_NaOH_LS0173
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 10:02
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4719.0, 68.6950
5.033990845, 96.390, 4679.0, 68.4032
5.060251411, 96.390, 4580.0, 67.6757
5.086511976, 96.390, 4631.0, 68.0515
5.112772541, 96.390, 4627.0, 68.0221
5.139033107, 96.390, 4650.0, 68.1909
5.165293672, 96.390, 4636.0, 68.0882
5.191554237, 96.390, 4488.0, 66.9925
5.217814803, 96.390, 4624.0, 68.0000
5.244075368, 96.390, 4527.0, 67.2830
5.270335934, 96.390, 4497.0, 67.0597
5.296596499, 96.390, 4648.0, 68.1762
5.322857064, 96.390, 4449.0, 66.7008
5.349117630, 96.390, 4584.0, 67.7052
5.375378195, 96.390, 4659.0, 68.2569
5.401638760, 96.390, 4453.0, 66.7308
5.427899326, 96.390, 4491.0, 67.0149
5.454159891, 96.390, 4647.0, 68.1689
5.480420456, 96.390, 4462.0, 66.7982
5.506681022, 96.390, 4341.0, 65.8863
5.532941587, 96.390, 4413.0, 66.4304
5.559202152, 96.390, 4540.0, 67.3795
5.585462718, 96.390, 4356.0, 66.0000
5.611723283, 96.390, 4557.0, 67.5056
5.637983849, 96.390, 4448.0, 66.6933
5.664244414, 96.390, 4360.0, 66.0303
5.690504979, 96.390, 4489.0, 67.0000
5.716765545, 96.390, 4394.0, 66.2873
5.743026110, 96.390, 4380.0, 66.1816
5.769286675, 96.390, 4391.0, 66.2646
5.795547241, 96.390, 4404.0, 66.3626
5.821807806, 96.390, 4503.0, 67.1044
5.848068371, 96.390, 4358.0, 66.0151
5.874328937, 96.390, 4374.0, 66.1362
5.900589502, 96.390, 4398.0, 66.3174
5.926850067, 96.390, 4481.0, 66.9403
5.953110633, 96.390, 4291.0, 65.5057
5.979371198, 96.390, 4382.0, 66.1967
6.005631763, 96.390, 4242.0, 65.1306
6.031892329, 96.390, 4464.0, 66.8132
6.058152894, 96.390, 4358.0, 66.0151
6.084413460, 96.390, 4356.0, 66.0000
6.110674025, 96.390, 4245.0, 65.1537
6.136934590, 96.390, 4349.0, 65.9469
6.163195156, 96.390, 4258.0, 65.2534
6.189455721, 96.390, 4359.0, 66.0227
6.215716286, 96.390, 4482.0, 66.9477
6.241976852, 96.390, 4206.0, 64.8537
6.268237417, 96.390, 4402.0, 66.3476
6.294497982, 96.390, 4358.0, 66.0151
6.320758548, 96.390, 4310.0, 65.6506
6.347019113, 96.390, 4282.0, 65.4370
6.373279678, 96.390, 4153.0, 64.4438
6.399540244, 96.390, 4191.0, 64.7379
6.425800809, 96.390, 4121.0, 64.1950
6.452061375, 96.390, 4187.0, 64.7070
6.478321940, 96.390, 4358.0, 66.0151
6.504582505, 96.390, 4323.0, 65.7495
6.530843071, 96.390, 4306.0, 65.6201
6.557103636, 96.390, 4206.0, 64.8537
6.583364201, 96.390, 4277.0, 65.3988
6.609624767, 96.390, 4106.0, 64.0781
6.635885332, 96.390, 4181.0, 64.6607
6.662145897, 96.390, 4165.0, 64.5368
6.688406463, 96.390, 4276.0, 65.3911
6.714667028, 96.390, 4296.0, 65.5439
6.740927593, 96.390, 4233.0, 65.0615
6.767188159, 96.390, 4211.0, 64.8922
6.793448724, 96.390, 4147.0, 64.3972
6.819709289, 96.390, 4106.0, 64.0781
6.845969855, 96.390, 4133.0, 64.2884
6.872230420, 96.390, 4110.0, 64.1093
6.898490986, 96.390, 4131.0, 64.2729
6.924751551, 96.390, 4107.0, 64.0859
6.951012116, 96.390, 4032.0, 63.4980
6.977272682, 96.390, 4076.0, 63.8436
7.003533247, 96.390, 4063.0, 63.7417
7.029793812, 96.390, 4000.0, 63.2456
7.056054378, 96.390, 4089.0, 63.9453
7.082314943, 96.390, 4105.0, 64.0703
7.108575508, 96.390, 4091.0, 63.9609
7.134836074, 96.390, 4071.0, 63.8044
7.161096639, 96.390, 4160.0, 64.4981
7.187357204, 96.390, 3994.0, 63.1981
7.213617770, 96.390, 3989.0, 63.1585
7.239878335, 96.390, 4028.0, 63.4665
7.266138900, 96.390, 4048.0, 63.6239
7.292399466, 96.390, 3945.0, 62.8092
7.318660031, 96.390, 4017.0, 63.3798
7.344920597, 96.390, 3989.0, 63.1585
7.371181162, 96.390, 3933.0, 62.7136
7.397441727, 96.390, 3972.0, 63.0238
7.423702293, 96.390, 3960.0, 62.9285
7.449962858, 96.390, 4083.0, 63.8984
7.476223423, 96.390, 3951.0, 62.8570
7.502483989, 96.390, 3871.0, 62.2174
7.528744554, 96.390, 3960.0, 62.9285
7.555005119, 96.390, 3918.0, 62.5939
7.581265685, 96.390, 3932.0, 62.7057
7.607526250, 96.390, 4011.0, 63.3325
7.633786815, 96.390, 4047.0, 63.6160
7.660047381, 96.390, 3859.0, 62.1208
7.686307946, 96.390, 3830.0, 61.8870
