[Measurement conditions]
Sample identification,148_PO4Free14Apr22_Act16Nov22_B1_1000M_NaOH_LS0133
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 11:55
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4997.0, 70.6895
5.033990845, 96.390, 4992.0, 70.6541
5.060251411, 96.390, 4941.0, 70.2922
5.086511976, 96.390, 4883.0, 69.8785
5.112772541, 96.390, 4981.0, 70.5762
5.139033107, 96.390, 4889.0, 69.9214
5.165293672, 96.390, 4776.0, 69.1086
5.191554237, 96.390, 4723.0, 68.7241
5.217814803, 96.390, 4891.0, 69.9357
5.244075368, 96.390, 4781.0, 69.1448
5.270335934, 96.390, 4612.0, 67.9117
5.296596499, 96.390, 4538.0, 67.3647
5.322857064, 96.390, 4621.0, 67.9779
5.349117630, 96.390, 4617.0, 67.9485
5.375378195, 96.390, 4582.0, 67.6905
5.401638760, 96.390, 4593.0, 67.7717
5.427899326, 96.390, 4597.0, 67.8012
5.454159891, 96.390, 4470.0, 66.8581
5.480420456, 96.390, 4474.0, 66.8880
5.506681022, 96.390, 4545.0, 67.4166
5.532941587, 96.390, 4368.0, 66.0908
5.559202152, 96.390, 4344.0, 65.9090
5.585462718, 96.390, 4453.0, 66.7308
5.611723283, 96.390, 4248.0, 65.1767
5.637983849, 96.390, 4344.0, 65.9090
5.664244414, 96.390, 4279.0, 65.4141
5.690504979, 96.390, 4330.0, 65.8027
5.716765545, 96.390, 4254.0, 65.2227
5.743026110, 96.390, 4210.0, 64.8845
5.769286675, 96.390, 4271.0, 65.3529
5.795547241, 96.390, 4007.0, 63.3009
5.821807806, 96.390, 4272.0, 65.3605
5.848068371, 96.390, 4136.0, 64.3117
5.874328937, 96.390, 4164.0, 64.5291
5.900589502, 96.390, 4178.0, 64.6375
5.926850067, 96.390, 4233.0, 65.0615
5.953110633, 96.390, 4188.0, 64.7148
5.979371198, 96.390, 4030.0, 63.4823
6.005631763, 96.390, 4209.0, 64.8768
6.031892329, 96.390, 4034.0, 63.5138
6.058152894, 96.390, 4072.0, 63.8122
6.084413460, 96.390, 4060.0, 63.7181
6.110674025, 96.390, 4012.0, 63.3404
6.136934590, 96.390, 4007.0, 63.3009
6.163195156, 96.390, 3905.0, 62.4900
6.189455721, 96.390, 3976.0, 63.0555
6.215716286, 96.390, 3916.0, 62.5780
6.241976852, 96.390, 4050.0, 63.6396
6.268237417, 96.390, 3861.0, 62.1369
6.294497982, 96.390, 3765.0, 61.3596
6.320758548, 96.390, 3850.0, 62.0484
6.347019113, 96.390, 3931.0, 62.6977
6.373279678, 96.390, 3797.0, 61.6198
6.399540244, 96.390, 3881.0, 62.2977
6.425800809, 96.390, 3956.0, 62.8967
6.452061375, 96.390, 3883.0, 62.3137
6.478321940, 96.390, 3845.0, 62.0081
6.504582505, 96.390, 3791.0, 61.5711
6.530843071, 96.390, 3777.0, 61.4573
6.557103636, 96.390, 3870.0, 62.2093
6.583364201, 96.390, 3756.0, 61.2862
6.609624767, 96.390, 3658.0, 60.4814
6.635885332, 96.390, 3890.0, 62.3699
6.662145897, 96.390, 3678.0, 60.6465
6.688406463, 96.390, 3738.0, 61.1392
6.714667028, 96.390, 3709.0, 60.9016
6.740927593, 96.390, 3690.0, 60.7454
6.767188159, 96.390, 3770.0, 61.4003
6.793448724, 96.390, 3636.0, 60.2993
6.819709289, 96.390, 3651.0, 60.4235
6.845969855, 96.390, 3636.0, 60.2993
6.872230420, 96.390, 3626.0, 60.2163
6.898490986, 96.390, 3598.0, 59.9833
6.924751551, 96.390, 3545.0, 59.5399
6.951012116, 96.390, 3637.0, 60.3075
6.977272682, 96.390, 3619.0, 60.1581
7.003533247, 96.390, 3550.0, 59.5819
7.029793812, 96.390, 3553.0, 59.6070
7.056054378, 96.390, 3528.0, 59.3970
7.082314943, 96.390, 3497.0, 59.1354
7.108575508, 96.390, 3623.0, 60.1914
7.134836074, 96.390, 3524.0, 59.3633
7.161096639, 96.390, 3546.0, 59.5483
7.187357204, 96.390, 3462.0, 58.8388
7.213617770, 96.390, 3426.0, 58.5320
7.239878335, 96.390, 3490.0, 59.0762
7.266138900, 96.390, 3510.0, 59.2453
7.292399466, 96.390, 3424.0, 58.5150
7.318660031, 96.390, 3495.0, 59.1185
7.344920597, 96.390, 3529.0, 59.4054
7.371181162, 96.390, 3498.0, 59.1439
7.397441727, 96.390, 3496.0, 59.1270
7.423702293, 96.390, 3472.0, 58.9237
7.449962858, 96.390, 3403.0, 58.3352
7.476223423, 96.390, 3295.0, 57.4021
7.502483989, 96.390, 3439.0, 58.6430
7.528744554, 96.390, 3419.0, 58.4722
7.555005119, 96.390, 3397.0, 58.2838
7.581265685, 96.390, 3317.0, 57.5934
7.607526250, 96.390, 3399.0, 58.3009
7.633786815, 96.390, 3458.0, 58.8048
7.660047381, 96.390, 3288.0, 57.3411
7.686307946, 96.390, 3313.0, 57.5587
7.712568512, 96.390, 3366.0, 58.0172
7.738829077, 96.390, 3365.0, 58.0086
7.765089642, 96.390, 3323.0, 57.6455
7.791350208, 96.390, 3362.0, 57.9828
