[Measurement conditions]
Sample identification,134_SiAxial30Mar22_Act16Nov22_B1_0714M_NaOH_LS0173
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 09:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4434.0, 66.5883
5.033990845, 96.390, 4543.0, 67.4018
5.060251411, 96.390, 4351.0, 65.9621
5.086511976, 96.390, 4426.0, 66.5282
5.112772541, 96.390, 4233.0, 65.0615
5.139033107, 96.390, 4212.0, 64.8999
5.165293672, 96.390, 4173.0, 64.5988
5.191554237, 96.390, 4094.0, 63.9844
5.217814803, 96.390, 4221.0, 64.9692
5.244075368, 96.390, 4254.0, 65.2227
5.270335934, 96.390, 4104.0, 64.0625
5.296596499, 96.390, 4099.0, 64.0234
5.322857064, 96.390, 4131.0, 64.2729
5.349117630, 96.390, 4132.0, 64.2806
5.375378195, 96.390, 3858.0, 62.1128
5.401638760, 96.390, 3984.0, 63.1189
5.427899326, 96.390, 4105.0, 64.0703
5.454159891, 96.390, 3888.0, 62.3538
5.480420456, 96.390, 3935.0, 62.7296
5.506681022, 96.390, 4038.0, 63.5453
5.532941587, 96.390, 3902.0, 62.4660
5.559202152, 96.390, 3929.0, 62.6817
5.585462718, 96.390, 3944.0, 62.8013
5.611723283, 96.390, 3867.0, 62.1852
5.637983849, 96.390, 3851.0, 62.0564
5.664244414, 96.390, 3829.0, 61.8789
5.690504979, 96.390, 3934.0, 62.7216
5.716765545, 96.390, 3936.0, 62.7375
5.743026110, 96.390, 3762.0, 61.3351
5.769286675, 96.390, 3825.0, 61.8466
5.795547241, 96.390, 3824.0, 61.8385
5.821807806, 96.390, 3765.0, 61.3596
5.848068371, 96.390, 3750.0, 61.2372
5.874328937, 96.390, 3681.0, 60.6712
5.900589502, 96.390, 3761.0, 61.3270
5.926850067, 96.390, 3729.0, 61.0655
5.953110633, 96.390, 3618.0, 60.1498
5.979371198, 96.390, 3787.0, 61.5386
6.005631763, 96.390, 3615.0, 60.1249
6.031892329, 96.390, 3583.0, 59.8582
6.058152894, 96.390, 3595.0, 59.9583
6.084413460, 96.390, 3646.0, 60.3821
6.110674025, 96.390, 3623.0, 60.1914
6.136934590, 96.390, 3646.0, 60.3821
6.163195156, 96.390, 3490.0, 59.0762
6.189455721, 96.390, 3667.0, 60.5558
6.215716286, 96.390, 3579.0, 59.8247
