[Measurement conditions]
Sample identification,132_SiCorner03Feb22_Act16Nov22_B1_0833M_NaOH_LS0153
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Apr/2023 09:24
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4514.0, 67.1863
5.033990845, 96.390, 4411.0, 66.4154
5.060251411, 96.390, 4426.0, 66.5282
5.086511976, 96.390, 4437.0, 66.6108
5.112772541, 96.390, 4398.0, 66.3174
5.139033107, 96.390, 4328.0, 65.7875
5.165293672, 96.390, 4217.0, 64.9384
5.191554237, 96.390, 4198.0, 64.7920
5.217814803, 96.390, 4276.0, 65.3911
5.244075368, 96.390, 4130.0, 64.2651
5.270335934, 96.390, 4202.0, 64.8228
5.296596499, 96.390, 4109.0, 64.1015
5.322857064, 96.390, 4163.0, 64.5213
5.349117630, 96.390, 4060.0, 63.7181
5.375378195, 96.390, 4000.0, 63.2456
5.401638760, 96.390, 4090.0, 63.9531
5.427899326, 96.390, 3922.0, 62.6259
5.454159891, 96.390, 3992.0, 63.1823
5.480420456, 96.390, 3931.0, 62.6977
5.506681022, 96.390, 3935.0, 62.7296
5.532941587, 96.390, 3887.0, 62.3458
5.559202152, 96.390, 3901.0, 62.4580
5.585462718, 96.390, 3971.0, 63.0159
5.611723283, 96.390, 3881.0, 62.2977
5.637983849, 96.390, 3875.0, 62.2495
5.664244414, 96.390, 3858.0, 62.1128
5.690504979, 96.390, 3788.0, 61.5467
5.716765545, 96.390, 3757.0, 61.2944
5.743026110, 96.390, 3833.0, 61.9112
5.769286675, 96.390, 3874.0, 62.2415
5.795547241, 96.390, 3840.0, 61.9677
