[Measurement conditions]
Sample identification,29_AlAxial01Nov21_Act07Jan22_B2_1000M_NaOH_LS0132_SolventExchange
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,25/Apr/2023 16:03
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3091.0, 55.5968
5.033990845, 96.390, 3063.0, 55.3444
5.060251411, 96.390, 3153.0, 56.1516
5.086511976, 96.390, 3114.0, 55.8032
5.112772541, 96.390, 3031.0, 55.0545
5.139033107, 96.390, 2970.0, 54.4977
5.165293672, 96.390, 2933.0, 54.1572
5.191554237, 96.390, 3039.0, 55.1271
5.217814803, 96.390, 2908.0, 53.9259
5.244075368, 96.390, 2939.0, 54.2125
5.270335934, 96.390, 2964.0, 54.4426
5.296596499, 96.390, 2883.0, 53.6936
5.322857064, 96.390, 2925.0, 54.0833
5.349117630, 96.390, 2815.0, 53.0566
5.375378195, 96.390, 2895.0, 53.8052
5.401638760, 96.390, 2890.0, 53.7587
5.427899326, 96.390, 2938.0, 54.2033
5.454159891, 96.390, 2930.0, 54.1295
5.480420456, 96.390, 2799.0, 52.9056
5.506681022, 96.390, 2836.0, 53.2541
5.532941587, 96.390, 3017.0, 54.9272
5.559202152, 96.390, 2798.0, 52.8961
5.585462718, 96.390, 2814.0, 53.0471
5.611723283, 96.390, 2857.0, 53.4509
5.637983849, 96.390, 2875.0, 53.6190
5.664244414, 96.390, 2889.0, 53.7494
5.690504979, 96.390, 2827.0, 53.1695
5.716765545, 96.390, 2838.0, 53.2729
5.743026110, 96.390, 2868.0, 53.5537
5.769286675, 96.390, 2861.0, 53.4883
5.795547241, 96.390, 2891.0, 53.7680
5.821807806, 96.390, 2898.0, 53.8331
5.848068371, 96.390, 2787.0, 52.7920
5.874328937, 96.390, 2820.0, 53.1037
5.900589502, 96.390, 2902.0, 53.8702
5.926850067, 96.390, 2864.0, 53.5164
5.953110633, 96.390, 2896.0, 53.8145
5.979371198, 96.390, 2968.0, 54.4794
6.005631763, 96.390, 2960.0, 54.4059
6.031892329, 96.390, 3023.0, 54.9818
6.058152894, 96.390, 2979.0, 54.5802
6.084413460, 96.390, 3101.0, 55.6866
6.110674025, 96.390, 3052.0, 55.2449
6.136934590, 96.390, 2984.0, 54.6260
6.163195156, 96.390, 2839.0, 53.2823
6.189455721, 96.390, 2876.0, 53.6284
6.215716286, 96.390, 2850.0, 53.3854
6.241976852, 96.390, 2660.0, 51.5752
6.268237417, 96.390, 2715.0, 52.1057
6.294497982, 96.390, 2697.0, 51.9326
6.320758548, 96.390, 2608.0, 51.0686
6.347019113, 96.390, 2638.0, 51.3615
6.373279678, 96.390, 2607.0, 51.0588
6.399540244, 96.390, 2646.0, 51.4393
6.425800809, 96.390, 2716.0, 52.1153
6.452061375, 96.390, 2649.0, 51.4684
6.478321940, 96.390, 2799.0, 52.9056
6.504582505, 96.390, 2683.0, 51.7977
6.530843071, 96.390, 2662.0, 51.5946
6.557103636, 96.390, 2657.0, 51.5461
6.583364201, 96.390, 2684.0, 51.8073
6.609624767, 96.390, 2678.0, 51.7494
6.635885332, 96.390, 2629.0, 51.2738
6.662145897, 96.390, 2670.0, 51.6720
6.688406463, 96.390, 2653.0, 51.5073
6.714667028, 96.390, 2784.0, 52.7636
6.740927593, 96.390, 2684.0, 51.8073
6.767188159, 96.390, 2802.0, 52.9339
6.793448724, 96.390, 2681.0, 51.7784
6.819709289, 96.390, 2694.0, 51.9038
6.845969855, 96.390, 2753.0, 52.4690
6.872230420, 96.390, 2741.0, 52.3546
6.898490986, 96.390, 2938.0, 54.2033
6.924751551, 96.390, 2851.0, 53.3948
6.951012116, 96.390, 2996.0, 54.7357
6.977272682, 96.390, 3119.0, 55.8480
7.003533247, 96.390, 3131.0, 55.9553
7.029793812, 96.390, 3193.0, 56.5066
7.056054378, 96.390, 3389.0, 58.2151
7.082314943, 96.390, 3635.0, 60.2910
7.108575508, 96.390, 3912.0, 62.5460
7.134836074, 96.390, 4275.0, 65.3835
7.161096639, 96.390, 4735.0, 68.8113
7.187357204, 96.390, 5287.0, 72.7118
7.213617770, 96.390, 4982.0, 70.5833
7.239878335, 96.390, 3793.0, 61.5873
7.266138900, 96.390, 3039.0, 55.1271
7.292399466, 96.390, 2750.0, 52.4404
7.318660031, 96.390, 2741.0, 52.3546
7.344920597, 96.390, 2601.0, 51.0000
7.371181162, 96.390, 2541.0, 50.4083
7.397441727, 96.390, 2629.0, 51.2738
7.423702293, 96.390, 2500.0, 50.0000
7.449962858, 96.390, 2530.0, 50.2991
7.476223423, 96.390, 2605.0, 51.0392
7.502483989, 96.390, 2561.0, 50.6063
7.528744554, 96.390, 2466.0, 49.6588
7.555005119, 96.390, 2426.0, 49.2544
7.581265685, 96.390, 2586.0, 50.8527
7.607526250, 96.390, 2466.0, 49.6588
7.633786815, 96.390, 2489.0, 49.8899
7.660047381, 96.390, 2579.0, 50.7839
7.686307946, 96.390, 2535.0, 50.3488
7.712568512, 96.390, 2459.0, 49.5883
7.738829077, 96.390, 2591.0, 50.9019
7.765089642, 96.390, 2627.0, 51.2543
7.791350208, 96.390, 2423.0, 49.2240
7.817610773, 96.390, 2452.0, 49.5177
7.843871338, 96.390, 2581.0, 50.8035
7.870131904, 96.390, 2464.0, 49.6387
7.896392469, 96.390, 2516.0, 50.1597
7.922653034, 96.390, 2506.0, 50.0600
7.948913600, 96.390, 2481.0, 49.8096
7.975174165, 96.390, 2544.0, 50.4381
8.001434730, 96.390, 2567.0, 50.6656
8.027695296, 96.390, 2541.0, 50.4083
8.053955861, 96.390, 2633.0, 51.3128
8.080216426, 96.390, 2693.0, 51.8941
8.106476992, 96.390, 2831.0, 53.2071
8.132737557, 96.390, 2835.0, 53.2447
8.158998123, 96.390, 2828.0, 53.1789
8.185258688, 96.390, 2747.0, 52.4118
8.211519253, 96.390, 2588.0, 50.8724
8.237779819, 96.390, 2414.0, 49.1325
8.264040384, 96.390, 2393.0, 48.9183
8.290300949, 96.390, 2507.0, 50.0700
8.316561515, 96.390, 2498.0, 49.9800
8.342822080, 96.390, 2510.0, 50.0999
8.369082645, 96.390, 2503.0, 50.0300
8.395343211, 96.390, 2547.0, 50.4678
8.421603776, 96.390, 2558.0, 50.5767
8.447864341, 96.390, 2486.0, 49.8598
8.474124907, 96.390, 2465.0, 49.6488
8.500385472, 96.390, 2500.0, 50.0000
8.526646038, 96.390, 2510.0, 50.0999
8.552906603, 96.390, 2452.0, 49.5177
8.579167168, 96.390, 2546.0, 50.4579
8.605427734, 96.390, 2494.0, 49.9400
8.631688299, 96.390, 2546.0, 50.4579
8.657948864, 96.390, 2457.0, 49.5681
8.684209430, 96.390, 2498.0, 49.9800
8.710469995, 96.390, 2522.0, 50.2195
8.736730560, 96.390, 2542.0, 50.4183
8.762991126, 96.390, 2524.0, 50.2394
8.789251691, 96.390, 2459.0, 49.5883
8.815512256, 96.390, 2484.0, 49.8397
8.841772822, 96.390, 2497.0, 49.9700
8.868033387, 96.390, 2486.0, 49.8598
8.894293952, 96.390, 2544.0, 50.4381
8.920554518, 96.390, 2549.0, 50.4876
8.946815083, 96.390, 2547.0, 50.4678
8.973075649, 96.390, 2494.0, 49.9400
8.999336214, 96.390, 2544.0, 50.4381
9.025596779, 96.390, 2587.0, 50.8626
9.051857345, 96.390, 2592.0, 50.9117
9.078117910, 96.390, 2509.0, 50.0899
9.104378475, 96.390, 2568.0, 50.6754
9.130639041, 96.390, 2509.0, 50.0899
9.156899606, 96.390, 2632.0, 51.3030
9.183160171, 96.390, 2644.0, 51.4198
9.209420737, 96.390, 2529.0, 50.2892
9.235681302, 96.390, 2668.0, 51.6527
9.261941867, 96.390, 2614.0, 51.1273
9.288202433, 96.390, 2672.0, 51.6914
9.314462998, 96.390, 2731.0, 52.2590
9.340723564, 96.390, 2591.0, 50.9019
9.366984129, 96.390, 2686.0, 51.8266
9.393244694, 96.390, 2710.0, 52.0577
9.419505260, 96.390, 2693.0, 51.8941
9.445765825, 96.390, 2741.0, 52.3546
9.472026390, 96.390, 2612.0, 51.1077
9.498286956, 96.390, 2612.0, 51.1077
9.524547521, 96.390, 2729.0, 52.2398
9.550808086, 96.390, 2641.0, 51.3907
9.577068652, 96.390, 2703.0, 51.9904
9.603329217, 96.390, 2659.0, 51.5655
9.629589782, 96.390, 2771.0, 52.6403
9.655850348, 96.390, 2826.0, 53.1601
9.682110913, 96.390, 2725.0, 52.2015
9.708371478, 96.390, 2830.0, 53.1977
9.734632044, 96.390, 2723.0, 52.1824
9.760892609, 96.390, 2770.0, 52.6308
9.787153175, 96.390, 2784.0, 52.7636
9.813413740, 96.390, 2682.0, 51.7880
9.839674305, 96.390, 2823.0, 53.1319
9.865934871, 96.390, 2887.0, 53.7308
9.892195436, 96.390, 2988.0, 54.6626
9.918456001, 96.390, 3013.0, 54.8908
9.944716567, 96.390, 3026.0, 55.0091
9.970977132, 96.390, 3144.0, 56.0714
9.997237697, 96.390, 3052.0, 55.2449
10.023498263, 96.390, 3161.0, 56.2228
10.049758828, 96.390, 3336.0, 57.7581
10.076019393, 96.390, 3397.0, 58.2838
10.102279959, 96.390, 3638.0, 60.3158
10.128540524, 96.390, 4032.0, 63.4980
10.154801090, 96.390, 4331.0, 65.8103
10.181061655, 96.390, 4632.0, 68.0588
10.207322220, 96.390, 4052.0, 63.6553
10.233582786, 96.390, 3392.0, 58.2409
10.259843351, 96.390, 3049.0, 55.2178
10.286103916, 96.390, 2943.0, 54.2494
10.312364482, 96.390, 2950.0, 54.3139
10.338625047, 96.390, 2891.0, 53.7680
