[Measurement conditions]
Sample identification,31_MgAxial12Nov21_Act07Jan22_B2_0714M_NaOH_LS0173_SolventExchange
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,25/Apr/2023 15:44
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4132.0, 64.2806
5.033990845, 96.390, 4230.0, 65.0385
5.060251411, 96.390, 4166.0, 64.5446
5.086511976, 96.390, 4099.0, 64.0234
5.112772541, 96.390, 4123.0, 64.2106
5.139033107, 96.390, 4061.0, 63.7260
5.165293672, 96.390, 4047.0, 63.6160
5.191554237, 96.390, 4156.0, 64.4670
5.217814803, 96.390, 4175.0, 64.6142
5.244075368, 96.390, 4042.0, 63.5767
5.270335934, 96.390, 4030.0, 63.4823
5.296596499, 96.390, 4105.0, 64.0703
5.322857064, 96.390, 3947.0, 62.8252
5.349117630, 96.390, 4087.0, 63.9296
5.375378195, 96.390, 3995.0, 63.2060
5.401638760, 96.390, 3931.0, 62.6977
5.427899326, 96.390, 3926.0, 62.6578
5.454159891, 96.390, 4079.0, 63.8670
5.480420456, 96.390, 4001.0, 63.2535
5.506681022, 96.390, 3843.0, 61.9919
5.532941587, 96.390, 3866.0, 62.1772
5.559202152, 96.390, 3993.0, 63.1902
5.585462718, 96.390, 3881.0, 62.2977
5.611723283, 96.390, 3878.0, 62.2736
5.637983849, 96.390, 3852.0, 62.0645
5.664244414, 96.390, 3862.0, 62.1450
5.690504979, 96.390, 3886.0, 62.3378
5.716765545, 96.390, 3874.0, 62.2415
5.743026110, 96.390, 3836.0, 61.9355
5.769286675, 96.390, 3834.0, 61.9193
5.795547241, 96.390, 3799.0, 61.6360
5.821807806, 96.390, 3752.0, 61.2536
5.848068371, 96.390, 3825.0, 61.8466
5.874328937, 96.390, 3725.0, 61.0328
5.900589502, 96.390, 3731.0, 61.0819
5.926850067, 96.390, 3785.0, 61.5224
5.953110633, 96.390, 3758.0, 61.3025
5.979371198, 96.390, 3764.0, 61.3514
6.005631763, 96.390, 3661.0, 60.5062
6.031892329, 96.390, 3755.0, 61.2781
6.058152894, 96.390, 3732.0, 61.0901
6.084413460, 96.390, 3652.0, 60.4318
6.110674025, 96.390, 3697.0, 60.8030
6.136934590, 96.390, 3631.0, 60.2578
6.163195156, 96.390, 3607.0, 60.0583
6.189455721, 96.390, 3821.0, 61.8142
6.215716286, 96.390, 3638.0, 60.3158
6.241976852, 96.390, 3669.0, 60.5723
6.268237417, 96.390, 3773.0, 61.4248
6.294497982, 96.390, 3652.0, 60.4318
6.320758548, 96.390, 3690.0, 60.7454
6.347019113, 96.390, 3600.0, 60.0000
6.373279678, 96.390, 3634.0, 60.2827
6.399540244, 96.390, 3614.0, 60.1166
6.425800809, 96.390, 3559.0, 59.6574
6.452061375, 96.390, 3516.0, 59.2959
6.478321940, 96.390, 3654.0, 60.4483
6.504582505, 96.390, 3605.0, 60.0417
6.530843071, 96.390, 3437.0, 58.6259
6.557103636, 96.390, 3623.0, 60.1914
6.583364201, 96.390, 3561.0, 59.6741
6.609624767, 96.390, 3638.0, 60.3158
6.635885332, 96.390, 3508.0, 59.2284
6.662145897, 96.390, 3508.0, 59.2284
6.688406463, 96.390, 3489.0, 59.0678
6.714667028, 96.390, 3405.0, 58.3524
6.740927593, 96.390, 3523.0, 59.3549
6.767188159, 96.390, 3418.0, 58.4637
6.793448724, 96.390, 3439.0, 58.6430
6.819709289, 96.390, 3361.0, 57.9741
6.845969855, 96.390, 3441.0, 58.6600
6.872230420, 96.390, 3405.0, 58.3524
6.898490986, 96.390, 3423.0, 58.5064
6.924751551, 96.390, 3333.0, 57.7321
6.951012116, 96.390, 3390.0, 58.2237
6.977272682, 96.390, 3445.0, 58.6941
7.003533247, 96.390, 3310.0, 57.5326
7.029793812, 96.390, 3308.0, 57.5152
7.056054378, 96.390, 3399.0, 58.3009
7.082314943, 96.390, 3291.0, 57.3672
7.108575508, 96.390, 3377.0, 58.1120
7.134836074, 96.390, 3255.0, 57.0526
7.161096639, 96.390, 3200.0, 56.5685
7.187357204, 96.390, 3344.0, 57.8273
