[Measurement conditions]
Sample identification,33_MgCorner17Dec21_Act08Jan22_B2_0714M_NaOH_LS0173_SolventExchange
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,25/Apr/2023 15:25
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3883.0, 62.3137
5.033990845, 96.390, 3826.0, 61.8547
5.060251411, 96.390, 3807.0, 61.7009
5.086511976, 96.390, 3811.0, 61.7333
5.112772541, 96.390, 3705.0, 60.8687
5.139033107, 96.390, 3799.0, 61.6360
5.165293672, 96.390, 3799.0, 61.6360
5.191554237, 96.390, 3827.0, 61.8628
5.217814803, 96.390, 3728.0, 61.0574
5.244075368, 96.390, 3690.0, 60.7454
5.270335934, 96.390, 3742.0, 61.1719
5.296596499, 96.390, 3734.0, 61.1065
5.322857064, 96.390, 3718.0, 60.9754
5.349117630, 96.390, 3748.0, 61.2209
5.375378195, 96.390, 3714.0, 60.9426
5.401638760, 96.390, 3751.0, 61.2454
5.427899326, 96.390, 3734.0, 61.1065
5.454159891, 96.390, 3737.0, 61.1310
5.480420456, 96.390, 3778.0, 61.4654
5.506681022, 96.390, 3855.0, 62.0886
5.532941587, 96.390, 3647.0, 60.3904
5.559202152, 96.390, 3734.0, 61.1065
5.585462718, 96.390, 3696.0, 60.7947
5.611723283, 96.390, 3543.0, 59.5231
5.637983849, 96.390, 3610.0, 60.0833
5.664244414, 96.390, 3785.0, 61.5224
5.690504979, 96.390, 3704.0, 60.8605
5.716765545, 96.390, 3718.0, 60.9754
5.743026110, 96.390, 3798.0, 61.6279
5.769286675, 96.390, 3748.0, 61.2209
5.795547241, 96.390, 3781.0, 61.4898
5.821807806, 96.390, 3608.0, 60.0666
5.848068371, 96.390, 3625.0, 60.2080
5.874328937, 96.390, 3793.0, 61.5873
5.900589502, 96.390, 3813.0, 61.7495
5.926850067, 96.390, 3689.0, 60.7371
5.953110633, 96.390, 3736.0, 61.1228
5.979371198, 96.390, 3578.0, 59.8164
6.005631763, 96.390, 3712.0, 60.9262
6.031892329, 96.390, 3715.0, 60.9508
6.058152894, 96.390, 3706.0, 60.8769
6.084413460, 96.390, 3606.0, 60.0500
6.110674025, 96.390, 3772.0, 61.4166
6.136934590, 96.390, 3756.0, 61.2862
6.163195156, 96.390, 3607.0, 60.0583
6.189455721, 96.390, 3641.0, 60.3407
6.215716286, 96.390, 3790.0, 61.5630
6.241976852, 96.390, 3768.0, 61.3840
6.268237417, 96.390, 3760.0, 61.3188
6.294497982, 96.390, 3733.0, 61.0983
6.320758548, 96.390, 3740.0, 61.1555
6.347019113, 96.390, 3745.0, 61.1964
6.373279678, 96.390, 3757.0, 61.2944
6.399540244, 96.390, 3761.0, 61.3270
6.425800809, 96.390, 3653.0, 60.4401
6.452061375, 96.390, 3827.0, 61.8628
6.478321940, 96.390, 3789.0, 61.5549
6.504582505, 96.390, 3769.0, 61.3922
6.530843071, 96.390, 3728.0, 61.0574
6.557103636, 96.390, 3769.0, 61.3922
6.583364201, 96.390, 3782.0, 61.4980
6.609624767, 96.390, 3774.0, 61.4329
6.635885332, 96.390, 3677.0, 60.6383
6.662145897, 96.390, 3710.0, 60.9098
6.688406463, 96.390, 3861.0, 62.1369
6.714667028, 96.390, 3823.0, 61.8304
