[Measurement conditions]
Sample identification,35_AlCorner27Oct21_Act08Jan22_B2_0833M_NaOH_LS0152_solvent_exchange
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,25/Apr/2023 15:07
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3030.0, 55.0454
5.033990845, 96.390, 2926.0, 54.0925
5.060251411, 96.390, 2971.0, 54.5069
5.086511976, 96.390, 2990.0, 54.6809
5.112772541, 96.390, 2846.0, 53.3479
5.139033107, 96.390, 2880.0, 53.6656
5.165293672, 96.390, 2807.0, 52.9811
5.191554237, 96.390, 2952.0, 54.3323
5.217814803, 96.390, 2942.0, 54.2402
5.244075368, 96.390, 2814.0, 53.0471
5.270335934, 96.390, 2821.0, 53.1131
5.296596499, 96.390, 2882.0, 53.6843
5.322857064, 96.390, 2842.0, 53.3104
5.349117630, 96.390, 2734.0, 52.2877
5.375378195, 96.390, 2835.0, 53.2447
5.401638760, 96.390, 2780.0, 52.7257
5.427899326, 96.390, 2844.0, 53.3292
5.454159891, 96.390, 2713.0, 52.0865
5.480420456, 96.390, 2806.0, 52.9717
5.506681022, 96.390, 2746.0, 52.4023
5.532941587, 96.390, 2755.0, 52.4881
5.559202152, 96.390, 2769.0, 52.6213
5.585462718, 96.390, 2771.0, 52.6403
5.611723283, 96.390, 2727.0, 52.2207
5.637983849, 96.390, 2731.0, 52.2590
5.664244414, 96.390, 2655.0, 51.5267
5.690504979, 96.390, 2712.0, 52.0769
5.716765545, 96.390, 2863.0, 53.5070
5.743026110, 96.390, 2759.0, 52.5262
5.769286675, 96.390, 2720.0, 52.1536
5.795547241, 96.390, 2750.0, 52.4404
5.821807806, 96.390, 2736.0, 52.3068
5.848068371, 96.390, 2764.0, 52.5738
5.874328937, 96.390, 2717.0, 52.1249
5.900589502, 96.390, 2760.0, 52.5357
5.926850067, 96.390, 2584.0, 50.8331
5.953110633, 96.390, 2618.0, 51.1664
5.979371198, 96.390, 2654.0, 51.5170
6.005631763, 96.390, 2782.0, 52.7447
6.031892329, 96.390, 2669.0, 51.6624
6.058152894, 96.390, 2639.0, 51.3712
6.084413460, 96.390, 2638.0, 51.3615
6.110674025, 96.390, 2729.0, 52.2398
6.136934590, 96.390, 2727.0, 52.2207
6.163195156, 96.390, 2662.0, 51.5946
6.189455721, 96.390, 2699.0, 51.9519
6.215716286, 96.390, 2669.0, 51.6624
6.241976852, 96.390, 2593.0, 50.9215
6.268237417, 96.390, 2710.0, 52.0577
6.294497982, 96.390, 2650.0, 51.4782
6.320758548, 96.390, 2607.0, 51.0588
6.347019113, 96.390, 2690.0, 51.8652
6.373279678, 96.390, 2587.0, 50.8626
6.399540244, 96.390, 2634.0, 51.3225
6.425800809, 96.390, 2665.0, 51.6236
6.452061375, 96.390, 2680.0, 51.7687
6.478321940, 96.390, 2582.0, 50.8134
6.504582505, 96.390, 2613.0, 51.1175
6.530843071, 96.390, 2696.0, 51.9230
6.557103636, 96.390, 2651.0, 51.4879
6.583364201, 96.390, 2678.0, 51.7494
6.609624767, 96.390, 2638.0, 51.3615
6.635885332, 96.390, 2731.0, 52.2590
6.662145897, 96.390, 2742.0, 52.3641
6.688406463, 96.390, 2694.0, 51.9038
6.714667028, 96.390, 2656.0, 51.5364
6.740927593, 96.390, 2769.0, 52.6213
6.767188159, 96.390, 2727.0, 52.2207
6.793448724, 96.390, 2808.0, 52.9906
6.819709289, 96.390, 2873.0, 53.6004
6.845969855, 96.390, 3010.0, 54.8635
6.872230420, 96.390, 2946.0, 54.2771
6.898490986, 96.390, 3122.0, 55.8749
6.924751551, 96.390, 3256.0, 57.0614
6.951012116, 96.390, 3403.0, 58.3352
6.977272682, 96.390, 3516.0, 59.2959
7.003533247, 96.390, 3892.0, 62.3859
7.029793812, 96.390, 4085.0, 63.9140
7.056054378, 96.390, 4404.0, 66.3626
7.082314943, 96.390, 4737.0, 68.8259
7.108575508, 96.390, 5450.0, 73.8241
7.134836074, 96.390, 6152.0, 78.4347
7.161096639, 96.390, 7173.0, 84.6936
7.187357204, 96.390, 8130.0, 90.1665
7.213617770, 96.390, 7345.0, 85.7030
7.239878335, 96.390, 5376.0, 73.3212
7.266138900, 96.390, 3858.0, 62.1128
7.292399466, 96.390, 3055.0, 55.2721
7.318660031, 96.390, 2762.0, 52.5547
7.344920597, 96.390, 2648.0, 51.4587
7.371181162, 96.390, 2555.0, 50.5470
7.397441727, 96.390, 2534.0, 50.3389
7.423702293, 96.390, 2424.0, 49.2341
7.449962858, 96.390, 2361.0, 48.5901
7.476223423, 96.390, 2334.0, 48.3115
7.502483989, 96.390, 2362.0, 48.6004
7.528744554, 96.390, 2316.0, 48.1248
7.555005119, 96.390, 2367.0, 48.6518
7.581265685, 96.390, 2302.0, 47.9792
7.607526250, 96.390, 2370.0, 48.6826
7.633786815, 96.390, 2421.0, 49.2037
7.660047381, 96.390, 2253.0, 47.4658
7.686307946, 96.390, 2331.0, 48.2804
7.712568512, 96.390, 2322.0, 48.1871
7.738829077, 96.390, 2221.0, 47.1275
7.765089642, 96.390, 2161.0, 46.4866
7.791350208, 96.390, 2232.0, 47.2440
7.817610773, 96.390, 2269.0, 47.6340
7.843871338, 96.390, 2194.0, 46.8402
7.870131904, 96.390, 2253.0, 47.4658
7.896392469, 96.390, 2236.0, 47.2864
7.922653034, 96.390, 2198.0, 46.8828
7.948913600, 96.390, 2262.0, 47.5605
