[Measurement conditions]
Sample identification,Centroid20Oct21_Act27Oct21_B2_0714M_NaOH_LS0173_5
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,29/Mar/2023 19:08
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3865.0, 62.1691
5.033990845, 96.390, 3748.0, 61.2209
5.060251411, 96.390, 3796.0, 61.6117
5.086511976, 96.390, 3861.0, 62.1369
5.112772541, 96.390, 3714.0, 60.9426
5.139033107, 96.390, 3771.0, 61.4085
5.165293672, 96.390, 3775.0, 61.4410
5.191554237, 96.390, 3676.0, 60.6300
5.217814803, 96.390, 3707.0, 60.8851
5.244075368, 96.390, 3692.0, 60.7618
5.270335934, 96.390, 3676.0, 60.6300
5.296596499, 96.390, 3652.0, 60.4318
5.322857064, 96.390, 3400.0, 58.3095
5.349117630, 96.390, 3750.0, 61.2372
5.375378195, 96.390, 3531.0, 59.4222
5.401638760, 96.390, 3581.0, 59.8415
5.427899326, 96.390, 3619.0, 60.1581
5.454159891, 96.390, 3534.0, 59.4475
5.480420456, 96.390, 3489.0, 59.0678
5.506681022, 96.390, 3497.0, 59.1354
5.532941587, 96.390, 3534.0, 59.4475
5.559202152, 96.390, 3509.0, 59.2368
5.585462718, 96.390, 3552.0, 59.5987
5.611723283, 96.390, 3404.0, 58.3438
5.637983849, 96.390, 3382.0, 58.1550
5.664244414, 96.390, 3468.0, 58.8897
5.690504979, 96.390, 3465.0, 58.8643
5.716765545, 96.390, 3477.0, 58.9661
5.743026110, 96.390, 3455.0, 58.7792
5.769286675, 96.390, 3419.0, 58.4722
5.795547241, 96.390, 3268.0, 57.1664
5.821807806, 96.390, 3394.0, 58.2580
5.848068371, 96.390, 3385.0, 58.1808
5.874328937, 96.390, 3335.0, 57.7495
5.900589502, 96.390, 3485.0, 59.0339
5.926850067, 96.390, 3297.0, 57.4195
5.953110633, 96.390, 3388.0, 58.2065
5.979371198, 96.390, 3400.0, 58.3095
6.005631763, 96.390, 3400.0, 58.3095
6.031892329, 96.390, 3272.0, 57.2014
6.058152894, 96.390, 3337.0, 57.7668
6.084413460, 96.390, 3275.0, 57.2276
6.110674025, 96.390, 3383.0, 58.1636
