[Measurement conditions]
Sample identification,110_P04Free14Apr22_Act18Apr22_B1_1000M_NaOH_LS0132_470day
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Aug/2023 08:34
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5191.0, 72.0486
5.033990845, 96.390, 5278.0, 72.6498
5.060251411, 96.390, 5347.0, 73.1232
5.086511976, 96.390, 5315.0, 72.9040
5.112772541, 96.390, 5325.0, 72.9726
5.139033107, 96.390, 5224.0, 72.2772
5.165293672, 96.390, 5260.0, 72.5259
5.191554237, 96.390, 5265.0, 72.5603
5.217814803, 96.390, 5391.0, 73.4234
5.244075368, 96.390, 5354.0, 73.1710
5.270335934, 96.390, 5317.0, 72.9178
5.296596499, 96.390, 5367.0, 73.2598
5.322857064, 96.390, 5522.0, 74.3102
5.349117630, 96.390, 5583.0, 74.7195
5.375378195, 96.390, 5567.0, 74.6123
5.401638760, 96.390, 5588.0, 74.7529
5.427899326, 96.390, 5585.0, 74.7329
5.454159891, 96.390, 5764.0, 75.9210
5.480420456, 96.390, 5850.0, 76.4853
5.506681022, 96.390, 5935.0, 77.0390
5.532941587, 96.390, 5915.0, 76.9090
5.559202152, 96.390, 6154.0, 78.4474
5.585462718, 96.390, 6155.0, 78.4538
5.611723283, 96.390, 6397.0, 79.9812
5.637983849, 96.390, 6590.0, 81.1788
5.664244414, 96.390, 6554.0, 80.9568
5.690504979, 96.390, 6711.0, 81.9207
5.716765545, 96.390, 7008.0, 83.7138
5.743026110, 96.390, 6930.0, 83.2466
5.769286675, 96.390, 7039.0, 83.8987
5.795547241, 96.390, 7035.0, 83.8749
5.821807806, 96.390, 6984.0, 83.5703
5.848068371, 96.390, 7009.0, 83.7198
5.874328937, 96.390, 6921.0, 83.1925
5.900589502, 96.390, 6948.0, 83.3547
5.926850067, 96.390, 7041.0, 83.9107
5.953110633, 96.390, 6946.0, 83.3427
5.979371198, 96.390, 6856.0, 82.8010
6.005631763, 96.390, 6809.0, 82.5167
6.031892329, 96.390, 6811.0, 82.5288
6.058152894, 96.390, 6831.0, 82.6499
6.084413460, 96.390, 6887.0, 82.9880
6.110674025, 96.390, 6685.0, 81.7618
6.136934590, 96.390, 6746.0, 82.1340
6.163195156, 96.390, 6596.0, 81.2158
6.189455721, 96.390, 6557.0, 80.9753
6.215716286, 96.390, 6402.0, 80.0125
6.241976852, 96.390, 6428.0, 80.1748
6.268237417, 96.390, 6283.0, 79.2654
6.294497982, 96.390, 6261.0, 79.1265
6.320758548, 96.390, 6134.0, 78.3199
6.347019113, 96.390, 6257.0, 79.1012
6.373279678, 96.390, 6150.0, 78.4219
6.399540244, 96.390, 6033.0, 77.6724
6.425800809, 96.390, 5995.0, 77.4274
6.452061375, 96.390, 5845.0, 76.4526
6.478321940, 96.390, 5759.0, 75.8881
6.504582505, 96.390, 5794.0, 76.1183
6.530843071, 96.390, 5700.0, 75.4983
6.557103636, 96.390, 5757.0, 75.8749
6.583364201, 96.390, 5689.0, 75.4255
6.609624767, 96.390, 5541.0, 74.4379
6.635885332, 96.390, 5545.0, 74.4648
6.662145897, 96.390, 5523.0, 74.3169
6.688406463, 96.390, 5497.0, 74.1418
6.714667028, 96.390, 5578.0, 74.6860
6.740927593, 96.390, 5325.0, 72.9726
6.767188159, 96.390, 5353.0, 73.1642
6.793448724, 96.390, 5319.0, 72.9315
6.819709289, 96.390, 5190.0, 72.0417
6.845969855, 96.390, 5121.0, 71.5612
6.872230420, 96.390, 5209.0, 72.1734
6.898490986, 96.390, 5174.0, 71.9305
6.924751551, 96.390, 5159.0, 71.8262
6.951012116, 96.390, 5234.0, 72.3464
6.977272682, 96.390, 5015.0, 70.8167
7.003533247, 96.390, 4908.0, 70.0571
7.029793812, 96.390, 4871.0, 69.7925
7.056054378, 96.390, 4765.0, 69.0290
7.082314943, 96.390, 4813.0, 69.3758
7.108575508, 96.390, 4979.0, 70.5620
7.134836074, 96.390, 4668.0, 68.3228
7.161096639, 96.390, 4655.0, 68.2276
7.187357204, 96.390, 4642.0, 68.1322
7.213617770, 96.390, 4445.0, 66.6708
7.239878335, 96.390, 4504.0, 67.1118
7.266138900, 96.390, 4464.0, 66.8132
7.292399466, 96.390, 4524.0, 67.2607
7.318660031, 96.390, 4440.0, 66.6333
7.344920597, 96.390, 4406.0, 66.3777
7.371181162, 96.390, 4286.0, 65.4675
7.397441727, 96.390, 4128.0, 64.2495
7.423702293, 96.390, 4141.0, 64.3506
7.449962858, 96.390, 4080.0, 63.8749
7.476223423, 96.390, 3849.0, 62.0403
7.502483989, 96.390, 3863.0, 62.1530
7.528744554, 96.390, 3829.0, 61.8789
7.555005119, 96.390, 3870.0, 62.2093
7.581265685, 96.390, 3788.0, 61.5467
7.607526250, 96.390, 3703.0, 60.8523
7.633786815, 96.390, 3868.0, 62.1932
7.660047381, 96.390, 3660.0, 60.4979
7.686307946, 96.390, 3643.0, 60.3573
7.712568512, 96.390, 3552.0, 59.5987
7.738829077, 96.390, 3498.0, 59.1439
7.765089642, 96.390, 3498.0, 59.1439
7.791350208, 96.390, 3484.0, 59.0254
7.817610773, 96.390, 3459.0, 58.8133
7.843871338, 96.390, 3372.0, 58.0689
7.870131904, 96.390, 3458.0, 58.8048
7.896392469, 96.390, 3325.0, 57.6628
7.922653034, 96.390, 3460.0, 58.8218
7.948913600, 96.390, 3197.0, 56.5420
7.975174165, 96.390, 3298.0, 57.4282
8.001434730, 96.390, 3172.0, 56.3205
8.027695296, 96.390, 3332.0, 57.7235
8.053955861, 96.390, 3225.0, 56.7891
8.080216426, 96.390, 3268.0, 57.1664
8.106476992, 96.390, 3212.0, 56.6745
8.132737557, 96.390, 3157.0, 56.1872
8.158998123, 96.390, 3177.0, 56.3649
8.185258688, 96.390, 3096.0, 55.6417
8.211519253, 96.390, 3122.0, 55.8749
8.237779819, 96.390, 3099.0, 55.6687
8.264040384, 96.390, 3033.0, 55.0727
8.290300949, 96.390, 2995.0, 54.7266
8.316561515, 96.390, 3123.0, 55.8838
8.342822080, 96.390, 3017.0, 54.9272
8.369082645, 96.390, 2965.0, 54.4518
8.395343211, 96.390, 2967.0, 54.4702
8.421603776, 96.390, 2906.0, 53.9073
8.447864341, 96.390, 2987.0, 54.6535
8.474124907, 96.390, 3029.0, 55.0364
8.500385472, 96.390, 2842.0, 53.3104
8.526646038, 96.390, 2943.0, 54.2494
8.552906603, 96.390, 2903.0, 53.8795
8.579167168, 96.390, 2900.0, 53.8516
8.605427734, 96.390, 2884.0, 53.7029
8.631688299, 96.390, 2917.0, 54.0093
