[Measurement conditions]
Sample identification,XRD_Centroid16Mar22_Act23Mar22_B1_0714M_NaOH_LS0172_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,01/Apr/2022 16:14
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4439.0, 66.6258
5.033990845, 96.390, 4424.0, 66.5132
5.060251411, 96.390, 4238.0, 65.0999
5.086511976, 96.390, 4331.0, 65.8103
5.112772541, 96.390, 4355.0, 65.9924
5.139033107, 96.390, 4268.0, 65.3299
5.165293672, 96.390, 4226.0, 65.0077
5.191554237, 96.390, 4449.0, 66.7008
5.217814803, 96.390, 4220.0, 64.9615
5.244075368, 96.390, 4285.0, 65.4599
5.270335934, 96.390, 4108.0, 64.0937
5.296596499, 96.390, 4216.0, 64.9307
5.322857064, 96.390, 4119.0, 64.1794
5.349117630, 96.390, 4247.0, 65.1690
5.375378195, 96.390, 4119.0, 64.1794
5.401638760, 96.390, 4147.0, 64.3972
5.427899326, 96.390, 4083.0, 63.8984
5.454159891, 96.390, 4008.0, 63.3088
5.480420456, 96.390, 4028.0, 63.4665
5.506681022, 96.390, 3955.0, 62.8888
5.532941587, 96.390, 3964.0, 62.9603
5.559202152, 96.390, 4049.0, 63.6318
5.585462718, 96.390, 4071.0, 63.8044
5.611723283, 96.390, 4081.0, 63.8827
5.637983849, 96.390, 3905.0, 62.4900
5.664244414, 96.390, 3883.0, 62.3137
