[Measurement conditions]
Sample identification,XRD_Centroid08Dec21_Act08Mar22_B2_0714M_NaOH_LS0163_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,24/Mar/2022 17:20
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4335.0, 65.8407
5.033990845, 96.390, 4412.0, 66.4229
5.060251411, 96.390, 4274.0, 65.3758
5.086511976, 96.390, 4334.0, 65.8331
5.112772541, 96.390, 4292.0, 65.5134
5.139033107, 96.390, 4264.0, 65.2993
5.165293672, 96.390, 4349.0, 65.9469
5.191554237, 96.390, 4393.0, 66.2797
5.217814803, 96.390, 4279.0, 65.4141
5.244075368, 96.390, 4188.0, 64.7148
5.270335934, 96.390, 4201.0, 64.8151
5.296596499, 96.390, 4172.0, 64.5910
5.322857064, 96.390, 4141.0, 64.3506
5.349117630, 96.390, 4168.0, 64.5600
5.375378195, 96.390, 4168.0, 64.5600
5.401638760, 96.390, 4003.0, 63.2693
5.427899326, 96.390, 4050.0, 63.6396
5.454159891, 96.390, 4060.0, 63.7181
5.480420456, 96.390, 4019.0, 63.3956
5.506681022, 96.390, 3991.0, 63.1744
5.532941587, 96.390, 4050.0, 63.6396
5.559202152, 96.390, 4214.0, 64.9153
5.585462718, 96.390, 4019.0, 63.3956
5.611723283, 96.390, 4021.0, 63.4114
5.637983849, 96.390, 4075.0, 63.8357
5.664244414, 96.390, 4105.0, 64.0703
5.690504979, 96.390, 3988.0, 63.1506
5.716765545, 96.390, 4092.0, 63.9687
5.743026110, 96.390, 3985.0, 63.1269
5.769286675, 96.390, 3938.0, 62.7535
5.795547241, 96.390, 3960.0, 62.9285
5.821807806, 96.390, 3913.0, 62.5540
5.848068371, 96.390, 3973.0, 63.0317
5.874328937, 96.390, 4063.0, 63.7417
5.900589502, 96.390, 3913.0, 62.5540
5.926850067, 96.390, 4091.0, 63.9609
5.953110633, 96.390, 4108.0, 64.0937
5.979371198, 96.390, 3824.0, 61.8385
6.005631763, 96.390, 3900.0, 62.4500
6.031892329, 96.390, 3871.0, 62.2174
6.058152894, 96.390, 3896.0, 62.4179
6.084413460, 96.390, 3927.0, 62.6658
6.110674025, 96.390, 3959.0, 62.9206
6.136934590, 96.390, 3768.0, 61.3840
6.163195156, 96.390, 3863.0, 62.1530
6.189455721, 96.390, 3884.0, 62.3217
6.215716286, 96.390, 3866.0, 62.1772
6.241976852, 96.390, 3989.0, 63.1585
6.268237417, 96.390, 3776.0, 61.4492
6.294497982, 96.390, 3807.0, 61.7009
6.320758548, 96.390, 3847.0, 62.0242
6.347019113, 96.390, 3868.0, 62.1932
6.373279678, 96.390, 3872.0, 62.2254
6.399540244, 96.390, 3877.0, 62.2656
6.425800809, 96.390, 3840.0, 61.9677
6.452061375, 96.390, 3854.0, 62.0806
6.478321940, 96.390, 3999.0, 63.2376
6.504582505, 96.390, 3880.0, 62.2896
6.530843071, 96.390, 3896.0, 62.4179
6.557103636, 96.390, 3705.0, 60.8687
6.583364201, 96.390, 3802.0, 61.6604
6.609624767, 96.390, 3817.0, 61.7819
6.635885332, 96.390, 3851.0, 62.0564
6.662145897, 96.390, 3880.0, 62.2896
6.688406463, 96.390, 3784.0, 61.5142
6.714667028, 96.390, 3807.0, 61.7009
6.740927593, 96.390, 3904.0, 62.4820
6.767188159, 96.390, 3750.0, 61.2372
6.793448724, 96.390, 3711.0, 60.9180
6.819709289, 96.390, 3821.0, 61.8142
6.845969855, 96.390, 3901.0, 62.4580
6.872230420, 96.390, 3736.0, 61.1228
6.898490986, 96.390, 3668.0, 60.5640
6.924751551, 96.390, 3943.0, 62.7933
6.951012116, 96.390, 3790.0, 61.5630
6.977272682, 96.390, 3816.0, 61.7738
7.003533247, 96.390, 3782.0, 61.4980
7.029793812, 96.390, 3854.0, 62.0806
7.056054378, 96.390, 3838.0, 61.9516
7.082314943, 96.390, 3784.0, 61.5142
7.108575508, 96.390, 3726.0, 61.0410
7.134836074, 96.390, 3618.0, 60.1498
7.161096639, 96.390, 3800.0, 61.6441
7.187357204, 96.390, 3763.0, 61.3433
7.213617770, 96.390, 3812.0, 61.7414
7.239878335, 96.390, 3871.0, 62.2174
7.266138900, 96.390, 3730.0, 61.0737
7.292399466, 96.390, 3705.0, 60.8687
7.318660031, 96.390, 3762.0, 61.3351
7.344920597, 96.390, 3795.0, 61.6036
7.371181162, 96.390, 3882.0, 62.3057
7.397441727, 96.390, 3767.0, 61.3759
7.423702293, 96.390, 3763.0, 61.3433
7.449962858, 96.390, 3820.0, 61.8061
7.476223423, 96.390, 3609.0, 60.0750
7.502483989, 96.390, 3739.0, 61.1474
7.528744554, 96.390, 3745.0, 61.1964
7.555005119, 96.390, 3655.0, 60.4566
7.581265685, 96.390, 3552.0, 59.5987
7.607526250, 96.390, 3670.0, 60.5805
7.633786815, 96.390, 3693.0, 60.7701
7.660047381, 96.390, 3629.0, 60.2412
7.686307946, 96.390, 3713.0, 60.9344
7.712568512, 96.390, 3615.0, 60.1249
7.738829077, 96.390, 3654.0, 60.4483
7.765089642, 96.390, 3715.0, 60.9508
7.791350208, 96.390, 3652.0, 60.4318
7.817610773, 96.390, 3730.0, 61.0737
7.843871338, 96.390, 3686.0, 60.7124
7.870131904, 96.390, 3675.0, 60.6218
7.896392469, 96.390, 3617.0, 60.1415
7.922653034, 96.390, 3736.0, 61.1228
7.948913600, 96.390, 3548.0, 59.5651
7.975174165, 96.390, 3732.0, 61.0901
8.001434730, 96.390, 3678.0, 60.6465
8.027695296, 96.390, 3641.0, 60.3407
8.053955861, 96.390, 3601.0, 60.0083
8.080216426, 96.390, 3590.0, 59.9166
8.106476992, 96.390, 3531.0, 59.4222
8.132737557, 96.390, 3578.0, 59.8164
8.158998123, 96.390, 3531.0, 59.4222
8.185258688, 96.390, 3673.0, 60.6053
8.211519253, 96.390, 3474.0, 58.9406
8.237779819, 96.390, 3594.0, 59.9500
8.264040384, 96.390, 3629.0, 60.2412
8.290300949, 96.390, 3680.0, 60.6630
8.316561515, 96.390, 3589.0, 59.9083
8.342822080, 96.390, 3546.0, 59.5483
8.369082645, 96.390, 3601.0, 60.0083
8.395343211, 96.390, 3650.0, 60.4152
8.421603776, 96.390, 3515.0, 59.2874
8.447864341, 96.390, 3564.0, 59.6992
8.474124907, 96.390, 3701.0, 60.8358
8.500385472, 96.390, 3629.0, 60.2412
8.526646038, 96.390, 3563.0, 59.6909
8.552906603, 96.390, 3478.0, 58.9746
8.579167168, 96.390, 3517.0, 59.3043
8.605427734, 96.390, 3582.0, 59.8498
8.631688299, 96.390, 3531.0, 59.4222
8.657948864, 96.390, 3521.0, 59.3380
8.684209430, 96.390, 3548.0, 59.5651
8.710469995, 96.390, 3583.0, 59.8582
8.736730560, 96.390, 3520.0, 59.3296
8.762991126, 96.390, 3647.0, 60.3904
8.789251691, 96.390, 3535.0, 59.4559
8.815512256, 96.390, 3641.0, 60.3407
8.841772822, 96.390, 3524.0, 59.3633
8.868033387, 96.390, 3482.0, 59.0085
8.894293952, 96.390, 3708.0, 60.8933
8.920554518, 96.390, 3444.0, 58.6856
8.946815083, 96.390, 3366.0, 58.0172
8.973075649, 96.390, 3444.0, 58.6856
8.999336214, 96.390, 3455.0, 58.7792
9.025596779, 96.390, 3480.0, 58.9915
9.051857345, 96.390, 3463.0, 58.8473
9.078117910, 96.390, 3482.0, 59.0085
9.104378475, 96.390, 3512.0, 59.2621
9.130639041, 96.390, 3535.0, 59.4559
9.156899606, 96.390, 3537.0, 59.4727
9.183160171, 96.390, 3418.0, 58.4637
9.209420737, 96.390, 3445.0, 58.6941
9.235681302, 96.390, 3346.0, 57.8446
9.261941867, 96.390, 3414.0, 58.4294
9.288202433, 96.390, 3327.0, 57.6802
9.314462998, 96.390, 3456.0, 58.7878
9.340723564, 96.390, 3425.0, 58.5235
9.366984129, 96.390, 3513.0, 59.2706
9.393244694, 96.390, 3482.0, 59.0085
9.419505260, 96.390, 3430.0, 58.5662
9.445765825, 96.390, 3477.0, 58.9661
9.472026390, 96.390, 3481.0, 59.0000
9.498286956, 96.390, 3411.0, 58.4038
9.524547521, 96.390, 3479.0, 58.9830
9.550808086, 96.390, 3328.0, 57.6888
9.577068652, 96.390, 3376.0, 58.1034
9.603329217, 96.390, 3487.0, 59.0508
9.629589782, 96.390, 3296.0, 57.4108
9.655850348, 96.390, 3368.0, 58.0345
9.682110913, 96.390, 3324.0, 57.6541
9.708371478, 96.390, 3429.0, 58.5577
9.734632044, 96.390, 3309.0, 57.5239
9.760892609, 96.390, 3455.0, 58.7792
9.787153175, 96.390, 3385.0, 58.1808
9.813413740, 96.390, 3465.0, 58.8643
9.839674305, 96.390, 3356.0, 57.9310
9.865934871, 96.390, 3329.0, 57.6975
9.892195436, 96.390, 3407.0, 58.3695
9.918456001, 96.390, 3471.0, 58.9152
9.944716567, 96.390, 3343.0, 57.8187
9.970977132, 96.390, 3442.0, 58.6686
9.997237697, 96.390, 3445.0, 58.6941
10.023498263, 96.390, 3284.0, 57.3062
10.049758828, 96.390, 3323.0, 57.6455
