[Measurement conditions]
Sample identification,XRD_Centroid16Mar22_Act21Mar22_B1_0593M_NaOH_LS0153_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,24/Mar/2022 18:01
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4639.0, 68.1102
5.033990845, 96.390, 4703.0, 68.5784
5.060251411, 96.390, 4514.0, 67.1863
5.086511976, 96.390, 4412.0, 66.4229
5.112772541, 96.390, 4610.0, 67.8970
5.139033107, 96.390, 4549.0, 67.4463
5.165293672, 96.390, 4542.0, 67.3944
5.191554237, 96.390, 4379.0, 66.1740
5.217814803, 96.390, 4577.0, 67.6535
5.244075368, 96.390, 4410.0, 66.4078
5.270335934, 96.390, 4379.0, 66.1740
5.296596499, 96.390, 4389.0, 66.2495
5.322857064, 96.390, 4457.0, 66.7608
5.349117630, 96.390, 4221.0, 64.9692
5.375378195, 96.390, 4458.0, 66.7683
5.401638760, 96.390, 4319.0, 65.7191
5.427899326, 96.390, 4231.0, 65.0461
5.454159891, 96.390, 4403.0, 66.3551
5.480420456, 96.390, 4315.0, 65.6887
5.506681022, 96.390, 4403.0, 66.3551
5.532941587, 96.390, 4226.0, 65.0077
5.559202152, 96.390, 4245.0, 65.1537
5.585462718, 96.390, 4311.0, 65.6582
5.611723283, 96.390, 4182.0, 64.6684
5.637983849, 96.390, 4222.0, 64.9769
5.664244414, 96.390, 4270.0, 65.3452
5.690504979, 96.390, 4250.0, 65.1920
5.716765545, 96.390, 4231.0, 65.0461
5.743026110, 96.390, 4177.0, 64.6297
5.769286675, 96.390, 4279.0, 65.4141
5.795547241, 96.390, 4155.0, 64.4593
