[Measurement conditions]
Sample identification,XRD_Centroid16Mar22_Act21Mar22_B2_0655M_NaOH_LS0157_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,24/Mar/2022 18:21
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4460.0, 66.7832
5.033990845, 96.390, 4494.0, 67.0373
5.060251411, 96.390, 4375.0, 66.1438
5.086511976, 96.390, 4523.0, 67.2533
5.112772541, 96.390, 4316.0, 65.6963
5.139033107, 96.390, 4356.0, 66.0000
5.165293672, 96.390, 4424.0, 66.5132
5.191554237, 96.390, 4376.0, 66.1513
5.217814803, 96.390, 4283.0, 65.4446
5.244075368, 96.390, 4316.0, 65.6963
5.270335934, 96.390, 4397.0, 66.3099
5.296596499, 96.390, 4294.0, 65.5286
5.322857064, 96.390, 4049.0, 63.6318
5.349117630, 96.390, 4290.0, 65.4981
5.375378195, 96.390, 4322.0, 65.7419
5.401638760, 96.390, 4193.0, 64.7534
5.427899326, 96.390, 4247.0, 65.1690
5.454159891, 96.390, 4284.0, 65.4523
5.480420456, 96.390, 4231.0, 65.0461
5.506681022, 96.390, 4162.0, 64.5136
5.532941587, 96.390, 4256.0, 65.2380
5.559202152, 96.390, 4182.0, 64.6684
5.585462718, 96.390, 4066.0, 63.7652
5.611723283, 96.390, 4168.0, 64.5600
5.637983849, 96.390, 4212.0, 64.8999
5.664244414, 96.390, 4108.0, 64.0937
5.690504979, 96.390, 4147.0, 64.3972
5.716765545, 96.390, 4176.0, 64.6220
5.743026110, 96.390, 4078.0, 63.8592
5.769286675, 96.390, 4101.0, 64.0391
5.795547241, 96.390, 4206.0, 64.8537
5.821807806, 96.390, 4140.0, 64.3428
5.848068371, 96.390, 4149.0, 64.4127
5.874328937, 96.390, 4102.0, 64.0469
5.900589502, 96.390, 4099.0, 64.0234
5.926850067, 96.390, 4041.0, 63.5689
5.953110633, 96.390, 4117.0, 64.1639
5.979371198, 96.390, 4110.0, 64.1093
6.005631763, 96.390, 4088.0, 63.9375
6.031892329, 96.390, 4040.0, 63.5610
6.058152894, 96.390, 3975.0, 63.0476
6.084413460, 96.390, 3981.0, 63.0952
6.110674025, 96.390, 4098.0, 64.0156
6.136934590, 96.390, 4069.0, 63.7887
6.163195156, 96.390, 3919.0, 62.6019
6.189455721, 96.390, 4023.0, 63.4271
6.215716286, 96.390, 3904.0, 62.4820
6.241976852, 96.390, 4090.0, 63.9531
6.268237417, 96.390, 3950.0, 62.8490
6.294497982, 96.390, 4020.0, 63.4035
6.320758548, 96.390, 4053.0, 63.6632
6.347019113, 96.390, 4087.0, 63.9296
6.373279678, 96.390, 3945.0, 62.8092
6.399540244, 96.390, 3952.0, 62.8649
6.425800809, 96.390, 4019.0, 63.3956
6.452061375, 96.390, 4045.0, 63.6003
6.478321940, 96.390, 4002.0, 63.2614
6.504582505, 96.390, 3897.0, 62.4260
6.530843071, 96.390, 4041.0, 63.5689
6.557103636, 96.390, 4010.0, 63.3246
6.583364201, 96.390, 3933.0, 62.7136
6.609624767, 96.390, 3937.0, 62.7455
6.635885332, 96.390, 4030.0, 63.4823
6.662145897, 96.390, 3873.0, 62.2334
6.688406463, 96.390, 3978.0, 63.0714
6.714667028, 96.390, 4041.0, 63.5689
6.740927593, 96.390, 3965.0, 62.9682
6.767188159, 96.390, 3917.0, 62.5859
6.793448724, 96.390, 4057.0, 63.6946
6.819709289, 96.390, 4021.0, 63.4114
6.845969855, 96.390, 3869.0, 62.2013
6.872230420, 96.390, 3969.0, 63.0000
6.898490986, 96.390, 3934.0, 62.7216
6.924751551, 96.390, 4026.0, 63.4508
6.951012116, 96.390, 3949.0, 62.8411
6.977272682, 96.390, 3997.0, 63.2218
7.003533247, 96.390, 3943.0, 62.7933
7.029793812, 96.390, 3954.0, 62.8808
7.056054378, 96.390, 3949.0, 62.8411
7.082314943, 96.390, 3897.0, 62.4260
7.108575508, 96.390, 3787.0, 61.5386
7.134836074, 96.390, 3925.0, 62.6498
7.161096639, 96.390, 3874.0, 62.2415
7.187357204, 96.390, 3903.0, 62.4740
7.213617770, 96.390, 3917.0, 62.5859
7.239878335, 96.390, 3892.0, 62.3859
