[Measurement conditions]
Sample identification,XRD_Centroid20Oct21_Act14Feb22_B2_1000M_NaOH_LS0171_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,17/Feb/2022 12:48
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3592.0, 59.9333
5.033990845, 96.390, 3625.0, 60.2080
5.060251411, 96.390, 3604.0, 60.0333
5.086511976, 96.390, 3571.0, 59.7578
5.112772541, 96.390, 3587.0, 59.8916
5.139033107, 96.390, 3495.0, 59.1185
5.165293672, 96.390, 3485.0, 59.0339
5.191554237, 96.390, 3385.0, 58.1808
5.217814803, 96.390, 3412.0, 58.4123
5.244075368, 96.390, 3553.0, 59.6070
5.270335934, 96.390, 3386.0, 58.1893
5.296596499, 96.390, 3375.0, 58.0948
5.322857064, 96.390, 3522.0, 59.3464
5.349117630, 96.390, 3439.0, 58.6430
5.375378195, 96.390, 3479.0, 58.9830
5.401638760, 96.390, 3335.0, 57.7495
5.427899326, 96.390, 3270.0, 57.1839
5.454159891, 96.390, 3341.0, 57.8014
5.480420456, 96.390, 3403.0, 58.3352
5.506681022, 96.390, 3307.0, 57.5065
5.532941587, 96.390, 3292.0, 57.3760
5.559202152, 96.390, 3187.0, 56.4535
5.585462718, 96.390, 3283.0, 57.2975
5.611723283, 96.390, 3270.0, 57.1839
5.637983849, 96.390, 3319.0, 57.6108
5.664244414, 96.390, 3205.0, 56.6127
5.690504979, 96.390, 3260.0, 57.0964
5.716765545, 96.390, 3131.0, 55.9553
5.743026110, 96.390, 3234.0, 56.8683
5.769286675, 96.390, 3213.0, 56.6833
5.795547241, 96.390, 3243.0, 56.9473
5.821807806, 96.390, 3169.0, 56.2939
5.848068371, 96.390, 3195.0, 56.5243
5.874328937, 96.390, 3100.0, 55.6776
5.900589502, 96.390, 3145.0, 56.0803
5.926850067, 96.390, 3224.0, 56.7803
5.953110633, 96.390, 3154.0, 56.1605
5.979371198, 96.390, 3220.0, 56.7450
6.005631763, 96.390, 3056.0, 55.2811
6.031892329, 96.390, 3199.0, 56.5597
6.058152894, 96.390, 3189.0, 56.4712
6.084413460, 96.390, 3154.0, 56.1605
6.110674025, 96.390, 3148.0, 56.1070
6.136934590, 96.390, 3183.0, 56.4181
6.163195156, 96.390, 3033.0, 55.0727
6.189455721, 96.390, 3133.0, 55.9732
6.215716286, 96.390, 3130.0, 55.9464
6.241976852, 96.390, 3100.0, 55.6776
6.268237417, 96.390, 3135.0, 55.9911
6.294497982, 96.390, 3162.0, 56.2317
6.320758548, 96.390, 3109.0, 55.7584
6.347019113, 96.390, 3149.0, 56.1160
6.373279678, 96.390, 3192.0, 56.4978
6.399540244, 96.390, 3076.0, 55.4617
6.425800809, 96.390, 3067.0, 55.3805
6.452061375, 96.390, 3031.0, 55.0545
6.478321940, 96.390, 3015.0, 54.9090
6.504582505, 96.390, 3069.0, 55.3986
6.530843071, 96.390, 3174.0, 56.3383
6.557103636, 96.390, 3042.0, 55.1543
6.583364201, 96.390, 3045.0, 55.1815
6.609624767, 96.390, 2991.0, 54.6900
6.635885332, 96.390, 2949.0, 54.3047
6.662145897, 96.390, 3143.0, 56.0625
6.688406463, 96.390, 3034.0, 55.0818
6.714667028, 96.390, 3090.0, 55.5878
6.740927593, 96.390, 3012.0, 54.8817
6.767188159, 96.390, 2985.0, 54.6352
6.793448724, 96.390, 3009.0, 54.8544
6.819709289, 96.390, 2933.0, 54.1572
6.845969855, 96.390, 3038.0, 55.1181
6.872230420, 96.390, 2954.0, 54.3507
6.898490986, 96.390, 3102.0, 55.6956
6.924751551, 96.390, 2936.0, 54.1849
6.951012116, 96.390, 2913.0, 53.9722
6.977272682, 96.390, 3090.0, 55.5878
7.003533247, 96.390, 2927.0, 54.1018
7.029793812, 96.390, 2959.0, 54.3967
7.056054378, 96.390, 2898.0, 53.8331
7.082314943, 96.390, 2934.0, 54.1664
7.108575508, 96.390, 2939.0, 54.2125
7.134836074, 96.390, 2883.0, 53.6936
7.161096639, 96.390, 3017.0, 54.9272
7.187357204, 96.390, 2873.0, 53.6004
7.213617770, 96.390, 2937.0, 54.1941
7.239878335, 96.390, 2905.0, 53.8981
7.266138900, 96.390, 3011.0, 54.8726
7.292399466, 96.390, 2929.0, 54.1202
7.318660031, 96.390, 2903.0, 53.8795
7.344920597, 96.390, 2908.0, 53.9259
7.371181162, 96.390, 2814.0, 53.0471
7.397441727, 96.390, 2940.0, 54.2218
7.423702293, 96.390, 2862.0, 53.4977
7.449962858, 96.390, 2779.0, 52.7162
7.476223423, 96.390, 2857.0, 53.4509
7.502483989, 96.390, 2898.0, 53.8331
7.528744554, 96.390, 2932.0, 54.1479
7.555005119, 96.390, 2838.0, 53.2729
7.581265685, 96.390, 2845.0, 53.3385
7.607526250, 96.390, 2941.0, 54.2310
7.633786815, 96.390, 2781.0, 52.7352
7.660047381, 96.390, 2875.0, 53.6190
7.686307946, 96.390, 2864.0, 53.5164
7.712568512, 96.390, 2790.0, 52.8205
7.738829077, 96.390, 2783.0, 52.7541
7.765089642, 96.390, 2780.0, 52.7257
7.791350208, 96.390, 2793.0, 52.8488
7.817610773, 96.390, 2805.0, 52.9623
7.843871338, 96.390, 2850.0, 53.3854
7.870131904, 96.390, 2824.0, 53.1413
7.896392469, 96.390, 2809.0, 53.0000
7.922653034, 96.390, 2791.0, 52.8299
7.948913600, 96.390, 2771.0, 52.6403
7.975174165, 96.390, 2843.0, 53.3198
8.001434730, 96.390, 2872.0, 53.5910
8.027695296, 96.390, 2773.0, 52.6593
8.053955861, 96.390, 2795.0, 52.8678
8.080216426, 96.390, 2828.0, 53.1789
8.106476992, 96.390, 2681.0, 51.7784
8.132737557, 96.390, 2847.0, 53.3573
8.158998123, 96.390, 2934.0, 54.1664
8.185258688, 96.390, 2753.0, 52.4690
8.211519253, 96.390, 2829.0, 53.1883
8.237779819, 96.390, 2876.0, 53.6284
8.264040384, 96.390, 2872.0, 53.5910
8.290300949, 96.390, 2863.0, 53.5070
8.316561515, 96.390, 2766.0, 52.5928
