[Measurement conditions]
Sample identification,XRD_Centroid08Dec21_Act14Feb22_B4_0538M_NaOH_LS0146_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,17/Feb/2022 13:09
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5210.0, 72.1803
5.033990845, 96.390, 5153.0, 71.7844
5.060251411, 96.390, 5250.0, 72.4569
5.086511976, 96.390, 5200.0, 72.1110
5.112772541, 96.390, 4957.0, 70.4060
5.139033107, 96.390, 4970.0, 70.4982
5.165293672, 96.390, 5088.0, 71.3302
5.191554237, 96.390, 5033.0, 70.9436
5.217814803, 96.390, 5006.0, 70.7531
5.244075368, 96.390, 4941.0, 70.2922
5.270335934, 96.390, 4890.0, 69.9285
5.296596499, 96.390, 4999.0, 70.7036
5.322857064, 96.390, 5014.0, 70.8096
5.349117630, 96.390, 5043.0, 71.0141
5.375378195, 96.390, 4956.0, 70.3989
5.401638760, 96.390, 4963.0, 70.4486
5.427899326, 96.390, 4789.0, 69.2026
5.454159891, 96.390, 4852.0, 69.6563
5.480420456, 96.390, 4758.0, 68.9783
5.506681022, 96.390, 4886.0, 69.8999
5.532941587, 96.390, 4954.0, 70.3847
5.559202152, 96.390, 4803.0, 69.3037
5.585462718, 96.390, 4768.0, 69.0507
5.611723283, 96.390, 4827.0, 69.4766
5.637983849, 96.390, 4780.0, 69.1375
5.664244414, 96.390, 4875.0, 69.8212
5.690504979, 96.390, 4689.0, 68.4763
5.716765545, 96.390, 4654.0, 68.2202
5.743026110, 96.390, 4822.0, 69.4406
5.769286675, 96.390, 4706.0, 68.6003
5.795547241, 96.390, 4639.0, 68.1102
5.821807806, 96.390, 4704.0, 68.5857
