[Measurement conditions]
Sample identification,XRD_AlCorner27Oct21_Act08Jan22_B1_0833M_NaOH_LS0143_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,11/Jan/2022 12:49
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4048.0, 63.6239
5.033990845, 96.390, 3938.0, 62.7535
5.060251411, 96.390, 3885.0, 62.3298
5.086511976, 96.390, 3876.0, 62.2575
5.112772541, 96.390, 3971.0, 63.0159
5.139033107, 96.390, 3784.0, 61.5142
5.165293672, 96.390, 3887.0, 62.3458
5.191554237, 96.390, 3853.0, 62.0725
5.217814803, 96.390, 3945.0, 62.8092
5.244075368, 96.390, 3757.0, 61.2944
5.270335934, 96.390, 3706.0, 60.8769
5.296596499, 96.390, 3776.0, 61.4492
5.322857064, 96.390, 3660.0, 60.4979
5.349117630, 96.390, 3575.0, 59.7913
5.375378195, 96.390, 3662.0, 60.5145
5.401638760, 96.390, 3628.0, 60.2329
5.427899326, 96.390, 3720.0, 60.9918
5.454159891, 96.390, 3677.0, 60.6383
5.480420456, 96.390, 3576.0, 59.7997
5.506681022, 96.390, 3551.0, 59.5903
5.532941587, 96.390, 3637.0, 60.3075
5.559202152, 96.390, 3543.0, 59.5231
5.585462718, 96.390, 3578.0, 59.8164
5.611723283, 96.390, 3513.0, 59.2706
5.637983849, 96.390, 3572.0, 59.7662
5.664244414, 96.390, 3454.0, 58.7707
5.690504979, 96.390, 3516.0, 59.2959
5.716765545, 96.390, 3530.0, 59.4138
5.743026110, 96.390, 3452.0, 58.7537
5.769286675, 96.390, 3454.0, 58.7707
5.795547241, 96.390, 3347.0, 57.8533
5.821807806, 96.390, 3481.0, 59.0000
5.848068371, 96.390, 3362.0, 57.9828
5.874328937, 96.390, 3343.0, 57.8187
5.900589502, 96.390, 3355.0, 57.9224
5.926850067, 96.390, 3356.0, 57.9310
5.953110633, 96.390, 3361.0, 57.9741
5.979371198, 96.390, 3330.0, 57.7062
6.005631763, 96.390, 3454.0, 58.7707
6.031892329, 96.390, 3368.0, 58.0345
6.058152894, 96.390, 3408.0, 58.3781
6.084413460, 96.390, 3383.0, 58.1636
6.110674025, 96.390, 3420.0, 58.4808
6.136934590, 96.390, 3300.0, 57.4456
6.163195156, 96.390, 3318.0, 57.6021
6.189455721, 96.390, 3312.0, 57.5500
6.215716286, 96.390, 3338.0, 57.7754
6.241976852, 96.390, 3310.0, 57.5326
6.268237417, 96.390, 3428.0, 58.5491
6.294497982, 96.390, 3342.0, 57.8100
6.320758548, 96.390, 3373.0, 58.0775
6.347019113, 96.390, 3369.0, 58.0431
6.373279678, 96.390, 3292.0, 57.3760
6.399540244, 96.390, 3300.0, 57.4456
6.425800809, 96.390, 3381.0, 58.1464
6.452061375, 96.390, 3489.0, 59.0678
6.478321940, 96.390, 3555.0, 59.6238
6.504582505, 96.390, 3446.0, 58.7026
6.530843071, 96.390, 3366.0, 58.0172
6.557103636, 96.390, 3396.0, 58.2752
6.583364201, 96.390, 3366.0, 58.0172
6.609624767, 96.390, 3480.0, 58.9915
6.635885332, 96.390, 3452.0, 58.7537
6.662145897, 96.390, 3525.0, 59.3717
6.688406463, 96.390, 3510.0, 59.2453
6.714667028, 96.390, 3528.0, 59.3970
6.740927593, 96.390, 3478.0, 58.9746
6.767188159, 96.390, 3494.0, 59.1101
6.793448724, 96.390, 3687.0, 60.7207
6.819709289, 96.390, 3838.0, 61.9516
6.845969855, 96.390, 3859.0, 62.1208
6.872230420, 96.390, 3973.0, 63.0317
6.898490986, 96.390, 4003.0, 63.2693
6.924751551, 96.390, 4144.0, 64.3739
6.951012116, 96.390, 4285.0, 65.4599
6.977272682, 96.390, 4408.0, 66.3928
7.003533247, 96.390, 4755.0, 68.9565
7.029793812, 96.390, 4955.0, 70.3918
7.056054378, 96.390, 5399.0, 73.4779
7.082314943, 96.390, 5776.0, 76.0000
7.108575508, 96.390, 6315.0, 79.4670
7.134836074, 96.390, 6963.0, 83.4446
7.161096639, 96.390, 7731.0, 87.9261
7.187357204, 96.390, 8774.0, 93.6696
7.213617770, 96.390, 10160.0, 100.7968
7.239878335, 96.390, 10015.0, 100.0750
7.266138900, 96.390, 7947.0, 89.1459
7.292399466, 96.390, 5744.0, 75.7892
7.318660031, 96.390, 4464.0, 66.8132
7.344920597, 96.390, 4006.0, 63.2930
7.371181162, 96.390, 3707.0, 60.8851
7.397441727, 96.390, 3517.0, 59.3043
7.423702293, 96.390, 3379.0, 58.1292
7.449962858, 96.390, 3426.0, 58.5320
7.476223423, 96.390, 3244.0, 56.9561
7.502483989, 96.390, 3261.0, 57.1052
7.528744554, 96.390, 3128.0, 55.9285
7.555005119, 96.390, 3048.0, 55.2087
7.581265685, 96.390, 3046.0, 55.1906
7.607526250, 96.390, 3103.0, 55.7046
7.633786815, 96.390, 3050.0, 55.2268
7.660047381, 96.390, 2973.0, 54.5252
7.686307946, 96.390, 3163.0, 56.2406
7.712568512, 96.390, 2897.0, 53.8238
7.738829077, 96.390, 2930.0, 54.1295
7.765089642, 96.390, 3077.0, 55.4707
7.791350208, 96.390, 2982.0, 54.6077
7.817610773, 96.390, 2951.0, 54.3231
7.843871338, 96.390, 2878.0, 53.6470
7.870131904, 96.390, 2867.0, 53.5444
7.896392469, 96.390, 2839.0, 53.2823
7.922653034, 96.390, 2799.0, 52.9056
7.948913600, 96.390, 2896.0, 53.8145
7.975174165, 96.390, 2871.0, 53.5817
8.001434730, 96.390, 2841.0, 53.3010
8.027695296, 96.390, 2801.0, 52.9245
8.053955861, 96.390, 2806.0, 52.9717
8.080216426, 96.390, 2759.0, 52.5262
8.106476992, 96.390, 2671.0, 51.6817
8.132737557, 96.390, 2879.0, 53.6563
8.158998123, 96.390, 2803.0, 52.9434
8.185258688, 96.390, 2810.0, 53.0094
8.211519253, 96.390, 2796.0, 52.8772
8.237779819, 96.390, 2887.0, 53.7308
8.264040384, 96.390, 2854.0, 53.4228
8.290300949, 96.390, 2721.0, 52.1632
8.316561515, 96.390, 2785.0, 52.7731
8.342822080, 96.390, 2747.0, 52.4118
8.369082645, 96.390, 2763.0, 52.5642
8.395343211, 96.390, 2796.0, 52.8772
8.421603776, 96.390, 2889.0, 53.7494
8.447864341, 96.390, 2883.0, 53.6936
8.474124907, 96.390, 2828.0, 53.1789
8.500385472, 96.390, 2789.0, 52.8110
8.526646038, 96.390, 2937.0, 54.1941
8.552906603, 96.390, 2936.0, 54.1849
8.579167168, 96.390, 3344.0, 57.8273
8.605427734, 96.390, 3360.0, 57.9655
8.631688299, 96.390, 3625.0, 60.2080
8.657948864, 96.390, 3409.0, 58.3866
8.684209430, 96.390, 3007.0, 54.8361
8.710469995, 96.390, 2715.0, 52.1057
8.736730560, 96.390, 2789.0, 52.8110
8.762991126, 96.390, 2650.0, 51.4782
8.789251691, 96.390, 2645.0, 51.4296
8.815512256, 96.390, 2564.0, 50.6360
8.841772822, 96.390, 2669.0, 51.6624
8.868033387, 96.390, 2548.0, 50.4777
8.894293952, 96.390, 2684.0, 51.8073
8.920554518, 96.390, 2575.0, 50.7445
8.946815083, 96.390, 2601.0, 51.0000
8.973075649, 96.390, 2594.0, 50.9313
8.999336214, 96.390, 2635.0, 51.3323
9.025596779, 96.390, 2629.0, 51.2738
9.051857345, 96.390, 2697.0, 51.9326
9.078117910, 96.390, 2678.0, 51.7494
9.104378475, 96.390, 2619.0, 51.1762
9.130639041, 96.390, 2661.0, 51.5849
9.156899606, 96.390, 2698.0, 51.9423
9.183160171, 96.390, 2641.0, 51.3907
9.209420737, 96.390, 2684.0, 51.8073
9.235681302, 96.390, 2749.0, 52.4309
9.261941867, 96.390, 2740.0, 52.3450
9.288202433, 96.390, 2627.0, 51.2543
9.314462998, 96.390, 2607.0, 51.0588
9.340723564, 96.390, 2652.0, 51.4976
9.366984129, 96.390, 2694.0, 51.9038
9.393244694, 96.390, 2677.0, 51.7397
9.419505260, 96.390, 2619.0, 51.1762
9.445765825, 96.390, 2657.0, 51.5461
9.472026390, 96.390, 2636.0, 51.3420
9.498286956, 96.390, 2738.0, 52.3259
9.524547521, 96.390, 2660.0, 51.5752
9.550808086, 96.390, 2707.0, 52.0288
9.577068652, 96.390, 2653.0, 51.5073
9.603329217, 96.390, 2779.0, 52.7162
9.629589782, 96.390, 2690.0, 51.8652
9.655850348, 96.390, 2877.0, 53.6377
9.682110913, 96.390, 2870.0, 53.5724
9.708371478, 96.390, 2789.0, 52.8110
9.734632044, 96.390, 2974.0, 54.5344
9.760892609, 96.390, 2859.0, 53.4696
9.787153175, 96.390, 3004.0, 54.8088
9.813413740, 96.390, 2971.0, 54.5069
9.839674305, 96.390, 3134.0, 55.9821
9.865934871, 96.390, 3129.0, 55.9375
9.892195436, 96.390, 3263.0, 57.1227
9.918456001, 96.390, 3368.0, 58.0345
