[Measurement conditions]
Sample identification,XRD_Centroid08Dec21_Act08Mar22_B2_0714M_NaOH_LS0160_2
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,11/Mar/2022 12:28
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4364.0, 66.0606
5.033990845, 96.390, 4463.0, 66.8057
5.060251411, 96.390, 4499.0, 67.0746
5.086511976, 96.390, 4498.0, 67.0671
5.112772541, 96.390, 4409.0, 66.4003
5.139033107, 96.390, 4397.0, 66.3099
5.165293672, 96.390, 4416.0, 66.4530
5.191554237, 96.390, 4342.0, 65.8939
5.217814803, 96.390, 4219.0, 64.9538
5.244075368, 96.390, 4197.0, 64.7843
5.270335934, 96.390, 4325.0, 65.7647
5.296596499, 96.390, 4183.0, 64.6761
5.322857064, 96.390, 4218.0, 64.9461
5.349117630, 96.390, 4246.0, 65.1613
5.375378195, 96.390, 4124.0, 64.2184
5.401638760, 96.390, 4152.0, 64.4360
5.427899326, 96.390, 4179.0, 64.6452
5.454159891, 96.390, 4044.0, 63.5925
5.480420456, 96.390, 4109.0, 64.1015
5.506681022, 96.390, 4090.0, 63.9531
5.532941587, 96.390, 4062.0, 63.7338
5.559202152, 96.390, 4093.0, 63.9766
5.585462718, 96.390, 4047.0, 63.6160
5.611723283, 96.390, 4029.0, 63.4744
5.637983849, 96.390, 4109.0, 64.1015
5.664244414, 96.390, 4101.0, 64.0391
5.690504979, 96.390, 3993.0, 63.1902
5.716765545, 96.390, 3901.0, 62.4580
5.743026110, 96.390, 4024.0, 63.4350
5.769286675, 96.390, 3944.0, 62.8013
5.795547241, 96.390, 4015.0, 63.3640
5.821807806, 96.390, 3952.0, 62.8649
5.848068371, 96.390, 3916.0, 62.5780
5.874328937, 96.390, 3964.0, 62.9603
5.900589502, 96.390, 3790.0, 61.5630
5.926850067, 96.390, 3956.0, 62.8967
5.953110633, 96.390, 3839.0, 61.9597
5.979371198, 96.390, 3846.0, 62.0161
6.005631763, 96.390, 3875.0, 62.2495
6.031892329, 96.390, 3870.0, 62.2093
6.058152894, 96.390, 3829.0, 61.8789
6.084413460, 96.390, 3779.0, 61.4736
6.110674025, 96.390, 3921.0, 62.6179
6.136934590, 96.390, 3912.0, 62.5460
6.163195156, 96.390, 3793.0, 61.5873
6.189455721, 96.390, 3871.0, 62.2174
6.215716286, 96.390, 3928.0, 62.6738
6.241976852, 96.390, 3796.0, 61.6117
6.268237417, 96.390, 3804.0, 61.6766
6.294497982, 96.390, 3716.0, 60.9590
6.320758548, 96.390, 3840.0, 61.9677
6.347019113, 96.390, 3657.0, 60.4731
6.373279678, 96.390, 3674.0, 60.6135
6.399540244, 96.390, 3706.0, 60.8769
6.425800809, 96.390, 3841.0, 61.9758
6.452061375, 96.390, 3713.0, 60.9344
6.478321940, 96.390, 3667.0, 60.5558
6.504582505, 96.390, 3721.0, 61.0000
6.530843071, 96.390, 3712.0, 60.9262
6.557103636, 96.390, 3684.0, 60.6960
6.583364201, 96.390, 3754.0, 61.2699
6.609624767, 96.390, 3817.0, 61.7819
6.635885332, 96.390, 3643.0, 60.3573
6.662145897, 96.390, 3652.0, 60.4318
6.688406463, 96.390, 3721.0, 61.0000
6.714667028, 96.390, 3738.0, 61.1392
6.740927593, 96.390, 3737.0, 61.1310
6.767188159, 96.390, 3607.0, 60.0583
6.793448724, 96.390, 3569.0, 59.7411
6.819709289, 96.390, 3699.0, 60.8194
6.845969855, 96.390, 3681.0, 60.6712
6.872230420, 96.390, 3667.0, 60.5558
6.898490986, 96.390, 3611.0, 60.0916
6.924751551, 96.390, 3641.0, 60.3407
6.951012116, 96.390, 3595.0, 59.9583
6.977272682, 96.390, 3668.0, 60.5640
7.003533247, 96.390, 3581.0, 59.8415
7.029793812, 96.390, 3629.0, 60.2412
7.056054378, 96.390, 3558.0, 59.6490
7.082314943, 96.390, 3554.0, 59.6154
7.108575508, 96.390, 3576.0, 59.7997
7.134836074, 96.390, 3556.0, 59.6322
7.161096639, 96.390, 3639.0, 60.3241
7.187357204, 96.390, 3629.0, 60.2412
7.213617770, 96.390, 3510.0, 59.2453
7.239878335, 96.390, 3514.0, 59.2790
7.266138900, 96.390, 3499.0, 59.1523
7.292399466, 96.390, 3648.0, 60.3987
7.318660031, 96.390, 3679.0, 60.6548
7.344920597, 96.390, 3491.0, 59.0847
7.371181162, 96.390, 3635.0, 60.2910
7.397441727, 96.390, 3610.0, 60.0833
7.423702293, 96.390, 3547.0, 59.5567
7.449962858, 96.390, 3535.0, 59.4559
7.476223423, 96.390, 3546.0, 59.5483
7.502483989, 96.390, 3647.0, 60.3904
7.528744554, 96.390, 3571.0, 59.7578
7.555005119, 96.390, 3518.0, 59.3127
7.581265685, 96.390, 3414.0, 58.4294
7.607526250, 96.390, 3467.0, 58.8812
7.633786815, 96.390, 3433.0, 58.5918
7.660047381, 96.390, 3503.0, 59.1861
7.686307946, 96.390, 3561.0, 59.6741
7.712568512, 96.390, 3573.0, 59.7746
7.738829077, 96.390, 3442.0, 58.6686
7.765089642, 96.390, 3431.0, 58.5747
7.791350208, 96.390, 3346.0, 57.8446
7.817610773, 96.390, 3403.0, 58.3352
7.843871338, 96.390, 3454.0, 58.7707
7.870131904, 96.390, 3425.0, 58.5235
7.896392469, 96.390, 3544.0, 59.5315
7.922653034, 96.390, 3503.0, 59.1861
7.948913600, 96.390, 3417.0, 58.4551
7.975174165, 96.390, 3505.0, 59.2030
8.001434730, 96.390, 3462.0, 58.8388
8.027695296, 96.390, 3521.0, 59.3380
8.053955861, 96.390, 3630.0, 60.2495
8.080216426, 96.390, 3552.0, 59.5987
8.106476992, 96.390, 3671.0, 60.5888
8.132737557, 96.390, 3710.0, 60.9098
8.158998123, 96.390, 3508.0, 59.2284
8.185258688, 96.390, 3570.0, 59.7495
8.211519253, 96.390, 3449.0, 58.7282
8.237779819, 96.390, 3431.0, 58.5747
8.264040384, 96.390, 3451.0, 58.7452
8.290300949, 96.390, 3500.0, 59.1608
8.316561515, 96.390, 3575.0, 59.7913
8.342822080, 96.390, 3344.0, 57.8273
8.369082645, 96.390, 3366.0, 58.0172
8.395343211, 96.390, 3378.0, 58.1206
8.421603776, 96.390, 3351.0, 57.8878
8.447864341, 96.390, 3516.0, 59.2959
8.474124907, 96.390, 3460.0, 58.8218
8.500385472, 96.390, 3364.0, 58.0000
8.526646038, 96.390, 3457.0, 58.7963
8.552906603, 96.390, 3393.0, 58.2495
8.579167168, 96.390, 3422.0, 58.4979
8.605427734, 96.390, 3403.0, 58.3352
8.631688299, 96.390, 3459.0, 58.8133
8.657948864, 96.390, 3454.0, 58.7707
8.684209430, 96.390, 3416.0, 58.4466
8.710469995, 96.390, 3326.0, 57.6715
8.736730560, 96.390, 3375.0, 58.0948
8.762991126, 96.390, 3444.0, 58.6856
8.789251691, 96.390, 3308.0, 57.5152
8.815512256, 96.390, 3309.0, 57.5239
8.841772822, 96.390, 3308.0, 57.5152
8.868033387, 96.390, 3322.0, 57.6368
8.894293952, 96.390, 3356.0, 57.9310
8.920554518, 96.390, 3450.0, 58.7367
8.946815083, 96.390, 3304.0, 57.4804
8.973075649, 96.390, 3292.0, 57.3760
8.999336214, 96.390, 3232.0, 56.8507
9.025596779, 96.390, 3419.0, 58.4722
9.051857345, 96.390, 3324.0, 57.6541
9.078117910, 96.390, 3335.0, 57.7495
9.104378475, 96.390, 3267.0, 57.1577
9.130639041, 96.390, 3305.0, 57.4891
9.156899606, 96.390, 3277.0, 57.2451
9.183160171, 96.390, 3352.0, 57.8965
9.209420737, 96.390, 3420.0, 58.4808
9.235681302, 96.390, 3310.0, 57.5326
9.261941867, 96.390, 3235.0, 56.8771
9.288202433, 96.390, 3244.0, 56.9561
9.314462998, 96.390, 3321.0, 57.6281
9.340723564, 96.390, 3321.0, 57.6281
9.366984129, 96.390, 3341.0, 57.8014
9.393244694, 96.390, 3317.0, 57.5934
9.419505260, 96.390, 3417.0, 58.4551
9.445765825, 96.390, 3326.0, 57.6715
9.472026390, 96.390, 3287.0, 57.3324
9.498286956, 96.390, 3415.0, 58.4380
9.524547521, 96.390, 3277.0, 57.2451
9.550808086, 96.390, 3307.0, 57.5065
9.577068652, 96.390, 3282.0, 57.2887
9.603329217, 96.390, 3361.0, 57.9741
9.629589782, 96.390, 3224.0, 56.7803
9.655850348, 96.390, 3163.0, 56.2406
9.682110913, 96.390, 3278.0, 57.2538
9.708371478, 96.390, 3312.0, 57.5500
9.734632044, 96.390, 3202.0, 56.5862
9.760892609, 96.390, 3232.0, 56.8507
9.787153175, 96.390, 3253.0, 57.0351
9.813413740, 96.390, 3416.0, 58.4466
9.839674305, 96.390, 3204.0, 56.6039
9.865934871, 96.390, 3279.0, 57.2626
9.892195436, 96.390, 3231.0, 56.8419
9.918456001, 96.390, 3380.0, 58.1378
9.944716567, 96.390, 3317.0, 57.5934
9.970977132, 96.390, 3248.0, 56.9912
9.997237697, 96.390, 3284.0, 57.3062
10.023498263, 96.390, 3181.0, 56.4004
10.049758828, 96.390, 3224.0, 56.7803
10.076019393, 96.390, 3244.0, 56.9561
10.102279959, 96.390, 3246.0, 56.9737
10.128540524, 96.390, 3240.0, 56.9210
10.154801090, 96.390, 3193.0, 56.5066
10.181061655, 96.390, 3323.0, 57.6455
10.207322220, 96.390, 3226.0, 56.7979
10.233582786, 96.390, 3274.0, 57.2189
10.259843351, 96.390, 3326.0, 57.6715
10.286103916, 96.390, 3204.0, 56.6039
10.312364482, 96.390, 3162.0, 56.2317
10.338625047, 96.390, 3263.0, 57.1227
10.364885612, 96.390, 3335.0, 57.7495
10.391146178, 96.390, 3339.0, 57.7841
10.417406743, 96.390, 3446.0, 58.7026
10.443667308, 96.390, 4071.0, 63.8044
10.469927874, 96.390, 3882.0, 62.3057
10.496188439, 96.390, 3387.0, 58.1979
10.522449004, 96.390, 3157.0, 56.1872
10.548709570, 96.390, 3248.0, 56.9912
10.574970135, 96.390, 3160.0, 56.2139
10.601230701, 96.390, 3261.0, 57.1052
10.627491266, 96.390, 3241.0, 56.9298
10.653751831, 96.390, 3261.0, 57.1052
10.680012397, 96.390, 3285.0, 57.3149
10.706272962, 96.390, 3150.0, 56.1249
10.732533527, 96.390, 3201.0, 56.5774
10.758794093, 96.390, 3206.0, 56.6216
10.785054658, 96.390, 3193.0, 56.5066
10.811315223, 96.390, 3236.0, 56.8859
10.837575789, 96.390, 3256.0, 57.0614
10.863836354, 96.390, 3215.0, 56.7010
10.890096919, 96.390, 3189.0, 56.4712
10.916357485, 96.390, 3204.0, 56.6039
10.942618050, 96.390, 3349.0, 57.8705
10.968878616, 96.390, 3756.0, 61.2862
10.995139181, 96.390, 3510.0, 59.2453
11.021399746, 96.390, 3327.0, 57.6802
11.047660312, 96.390, 3224.0, 56.7803
11.073920877, 96.390, 3190.0, 56.4801
11.100181442, 96.390, 3176.0, 56.3560
11.126442008, 96.390, 3097.0, 55.6507
11.152702573, 96.390, 3121.0, 55.8659
11.178963138, 96.390, 3057.0, 55.2901
11.205223704, 96.390, 3178.0, 56.3738
11.231484269, 96.390, 3214.0, 56.6922
11.257744834, 96.390, 3090.0, 55.5878
11.284005400, 96.390, 3074.0, 55.4437
11.310265965, 96.390, 2919.0, 54.0278
11.336526530, 96.390, 3090.0, 55.5878
11.362787096, 96.390, 3004.0, 54.8088
11.389047661, 96.390, 3105.0, 55.7225
11.415308227, 96.390, 3168.0, 56.2850
11.441568792, 96.390, 3078.0, 55.4797
11.467829357, 96.390, 3005.0, 54.8179
11.494089923, 96.390, 2985.0, 54.6352
11.520350488, 96.390, 2983.0, 54.6168
11.546611053, 96.390, 3023.0, 54.9818
11.572871619, 96.390, 3027.0, 55.0182
11.599132184, 96.390, 2892.0, 53.7773
11.625392749, 96.390, 3000.0, 54.7723
11.651653315, 96.390, 3022.0, 54.9727
11.677913880, 96.390, 2910.0, 53.9444
11.704174445, 96.390, 2924.0, 54.0740
11.730435011, 96.390, 3044.0, 55.1725
11.756695576, 96.390, 2851.0, 53.3948
11.782956141, 96.390, 3014.0, 54.8999
11.809216707, 96.390, 2987.0, 54.6535
11.835477272, 96.390, 2899.0, 53.8424
11.861737838, 96.390, 2991.0, 54.6900
11.887998403, 96.390, 2919.0, 54.0278
11.914258968, 96.390, 2838.0, 53.2729
11.940519534, 96.390, 2860.0, 53.4790
11.966780099, 96.390, 2870.0, 53.5724
11.993040664, 96.390, 2906.0, 53.9073
12.019301230, 96.390, 2885.0, 53.7122
12.045561795, 96.390, 2916.0, 54.0000
12.071822360, 96.390, 2882.0, 53.6843
12.098082926, 96.390, 2867.0, 53.5444
12.124343491, 96.390, 2700.0, 51.9615
12.150604056, 96.390, 2902.0, 53.8702
12.176864622, 96.390, 2809.0, 53.0000
12.203125187, 96.390, 2905.0, 53.8981
12.229385753, 96.390, 2806.0, 52.9717
12.255646318, 96.390, 2802.0, 52.9339
12.281906883, 96.390, 2816.0, 53.0660
12.308167449, 96.390, 2751.0, 52.4500
12.334428014, 96.390, 2820.0, 53.1037
12.360688579, 96.390, 2784.0, 52.7636
12.386949145, 96.390, 2881.0, 53.6749
12.413209710, 96.390, 2918.0, 54.0185
12.439470275, 96.390, 2810.0, 53.0094
12.465730841, 96.390, 2845.0, 53.3385
12.491991406, 96.390, 2803.0, 52.9434
12.518251971, 96.390, 2816.0, 53.0660
12.544512537, 96.390, 2851.0, 53.3948
12.570773102, 96.390, 2844.0, 53.3292
12.597033667, 96.390, 2877.0, 53.6377
12.623294233, 96.390, 2960.0, 54.4059
12.649554798, 96.390, 2888.0, 53.7401
12.675815364, 96.390, 2843.0, 53.3198
12.702075929, 96.390, 2888.0, 53.7401
12.728336494, 96.390, 2823.0, 53.1319
12.754597060, 96.390, 2796.0, 52.8772
12.780857625, 96.390, 2738.0, 52.3259
12.807118190, 96.390, 2707.0, 52.0288
12.833378756, 96.390, 2726.0, 52.2111
12.859639321, 96.390, 2626.0, 51.2445
12.885899886, 96.390, 2618.0, 51.1664
12.912160452, 96.390, 2666.0, 51.6333
12.938421017, 96.390, 2703.0, 51.9904
12.964681582, 96.390, 2535.0, 50.3488
12.990942148, 96.390, 2679.0, 51.7591
13.017202713, 96.390, 2606.0, 51.0490
13.043463279, 96.390, 2586.0, 50.8527
13.069723844, 96.390, 2538.0, 50.3786
13.095984409, 96.390, 2540.0, 50.3984
13.122244975, 96.390, 2579.0, 50.7839
13.148505540, 96.390, 2566.0, 50.6557
13.174766105, 96.390, 2581.0, 50.8035
13.201026671, 96.390, 2641.0, 51.3907
13.227287236, 96.390, 2626.0, 51.2445
13.253547801, 96.390, 2608.0, 51.0686
13.279808367, 96.390, 2551.0, 50.5074
13.306068932, 96.390, 2688.0, 51.8459
13.332329497, 96.390, 2627.0, 51.2543
13.358590063, 96.390, 2659.0, 51.5655
13.384850628, 96.390, 2513.0, 50.1298
13.411111193, 96.390, 2597.0, 50.9608
13.437371759, 96.390, 2693.0, 51.8941
13.463632324, 96.390, 2767.0, 52.6023
13.489892890, 96.390, 2724.0, 52.1920
13.516153455, 96.390, 2601.0, 51.0000
13.542414020, 96.390, 2651.0, 51.4879
13.568674586, 96.390, 2551.0, 50.5074
13.594935151, 96.390, 2602.0, 51.0098
13.621195716, 96.390, 2580.0, 50.7937
13.647456282, 96.390, 2583.0, 50.8232
13.673716847, 96.390, 2556.0, 50.5569
13.699977412, 96.390, 2656.0, 51.5364
13.726237978, 96.390, 2807.0, 52.9811
13.752498543, 96.390, 2793.0, 52.8488
13.778759108, 96.390, 2797.0, 52.8867
13.805019674, 96.390, 2650.0, 51.4782
13.831280239, 96.390, 2627.0, 51.2543
13.857540805, 96.390, 2626.0, 51.2445
13.883801370, 96.390, 2548.0, 50.4777
13.910061935, 96.390, 2453.0, 49.5278
13.936322501, 96.390, 2498.0, 49.9800
13.962583066, 96.390, 2451.0, 49.5076
13.988843631, 96.390, 2511.0, 50.1099
14.015104197, 96.390, 2573.0, 50.7247
14.041364762, 96.390, 2539.0, 50.3885
14.067625327, 96.390, 2516.0, 50.1597
14.093885893, 96.390, 2636.0, 51.3420
14.120146458, 96.390, 2559.0, 50.5866
14.146407023, 96.390, 2536.0, 50.3587
14.172667589, 96.390, 2796.0, 52.8772
14.198928154, 96.390, 2929.0, 54.1202
14.225188719, 96.390, 3467.0, 58.8812
14.251449285, 96.390, 3904.0, 62.4820
14.277709850, 96.390, 4848.0, 69.6276
14.303970416, 96.390, 3910.0, 62.5300
14.330230981, 96.390, 3091.0, 55.5968
14.356491546, 96.390, 2564.0, 50.6360
14.382752112, 96.390, 2547.0, 50.4678
14.409012677, 96.390, 2516.0, 50.1597
14.435273242, 96.390, 2642.0, 51.4004
14.461533808, 96.390, 2815.0, 53.0566
14.487794373, 96.390, 2968.0, 54.4794
14.514054938, 96.390, 3161.0, 56.2228
14.540315504, 96.390, 3119.0, 55.8480
14.566576069, 96.390, 2810.0, 53.0094
14.592836634, 96.390, 2464.0, 49.6387
14.619097200, 96.390, 2359.0, 48.5695
14.645357765, 96.390, 2290.0, 47.8539
14.671618331, 96.390, 2381.0, 48.7955
