[Measurement conditions]
Sample identification,XRD_Centroid16Mar22_Act23Mar22_B2_0714M_NaOH_LS0172_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,01/Apr/2022 16:35
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3937.0, 62.7455
5.033990845, 96.390, 3999.0, 63.2376
5.060251411, 96.390, 3948.0, 62.8331
5.086511976, 96.390, 3961.0, 62.9365
5.112772541, 96.390, 3840.0, 61.9677
5.139033107, 96.390, 3808.0, 61.7090
5.165293672, 96.390, 3857.0, 62.1048
5.191554237, 96.390, 3903.0, 62.4740
5.217814803, 96.390, 3935.0, 62.7296
5.244075368, 96.390, 3825.0, 61.8466
5.270335934, 96.390, 3923.0, 62.6339
5.296596499, 96.390, 3815.0, 61.7657
5.322857064, 96.390, 3917.0, 62.5859
5.349117630, 96.390, 3700.0, 60.8276
5.375378195, 96.390, 3729.0, 61.0655
5.401638760, 96.390, 3740.0, 61.1555
5.427899326, 96.390, 3688.0, 60.7289
5.454159891, 96.390, 3714.0, 60.9426
5.480420456, 96.390, 3682.0, 60.6795
5.506681022, 96.390, 3566.0, 59.7160
5.532941587, 96.390, 3682.0, 60.6795
5.559202152, 96.390, 3593.0, 59.9416
5.585462718, 96.390, 3696.0, 60.7947
5.611723283, 96.390, 3609.0, 60.0750
