[Measurement conditions]
Sample identification,XRD_MgCorner08Nov21_Act08Jan22_B1_0714M_NaOH_LS0162_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,11/Jan/2022 12:31
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5204.0, 72.1388
5.033990845, 96.390, 5030.0, 70.9225
5.060251411, 96.390, 5051.0, 71.0704
5.086511976, 96.390, 4860.0, 69.7137
5.112772541, 96.390, 4956.0, 70.3989
5.139033107, 96.390, 5036.0, 70.9648
5.165293672, 96.390, 5031.0, 70.9295
5.191554237, 96.390, 4902.0, 70.0143
5.217814803, 96.390, 5005.0, 70.7460
5.244075368, 96.390, 5068.0, 71.1899
5.270335934, 96.390, 4984.0, 70.5975
5.296596499, 96.390, 4967.0, 70.4769
5.322857064, 96.390, 5035.0, 70.9577
5.349117630, 96.390, 4816.0, 69.3974
5.375378195, 96.390, 4767.0, 69.0435
5.401638760, 96.390, 4835.0, 69.5342
5.427899326, 96.390, 4792.0, 69.2243
5.454159891, 96.390, 4844.0, 69.5989
5.480420456, 96.390, 4942.0, 70.2994
5.506681022, 96.390, 4834.0, 69.5270
5.532941587, 96.390, 4792.0, 69.2243
5.559202152, 96.390, 4828.0, 69.4838
5.585462718, 96.390, 4680.0, 68.4105
5.611723283, 96.390, 4784.0, 69.1665
5.637983849, 96.390, 4827.0, 69.4766
5.664244414, 96.390, 4668.0, 68.3228
5.690504979, 96.390, 4644.0, 68.1469
5.716765545, 96.390, 4593.0, 67.7717
5.743026110, 96.390, 4658.0, 68.2495
5.769286675, 96.390, 4628.0, 68.0294
5.795547241, 96.390, 4709.0, 68.6222
5.821807806, 96.390, 4761.0, 69.0000
5.848068371, 96.390, 4738.0, 68.8331
5.874328937, 96.390, 4769.0, 69.0579
5.900589502, 96.390, 4744.0, 68.8767
5.926850067, 96.390, 4622.0, 67.9853
5.953110633, 96.390, 4547.0, 67.4314
5.979371198, 96.390, 4626.0, 68.0147
6.005631763, 96.390, 4589.0, 67.7422
6.031892329, 96.390, 4646.0, 68.1616
6.058152894, 96.390, 4624.0, 68.0000
6.084413460, 96.390, 4648.0, 68.1762
6.110674025, 96.390, 4637.0, 68.0955
6.136934590, 96.390, 4592.0, 67.7643
6.163195156, 96.390, 4510.0, 67.1565
6.189455721, 96.390, 4598.0, 67.8086
6.215716286, 96.390, 4598.0, 67.8086
6.241976852, 96.390, 4393.0, 66.2797
6.268237417, 96.390, 4610.0, 67.8970
6.294497982, 96.390, 4616.0, 67.9412
6.320758548, 96.390, 4498.0, 67.0671
6.347019113, 96.390, 4561.0, 67.5352
6.373279678, 96.390, 4517.0, 67.2086
6.399540244, 96.390, 4482.0, 66.9477
6.425800809, 96.390, 4572.0, 67.6166
6.452061375, 96.390, 4527.0, 67.2830
6.478321940, 96.390, 4534.0, 67.3350
6.504582505, 96.390, 4409.0, 66.4003
6.530843071, 96.390, 4426.0, 66.5282
6.557103636, 96.390, 4383.0, 66.2042
6.583364201, 96.390, 4348.0, 65.9394
6.609624767, 96.390, 4276.0, 65.3911
6.635885332, 96.390, 4340.0, 65.8787
6.662145897, 96.390, 4454.0, 66.7383
6.688406463, 96.390, 4442.0, 66.6483
6.714667028, 96.390, 4421.0, 66.4906
6.740927593, 96.390, 4471.0, 66.8655
6.767188159, 96.390, 4371.0, 66.1135
6.793448724, 96.390, 4420.0, 66.4831
6.819709289, 96.390, 4340.0, 65.8787
6.845969855, 96.390, 4318.0, 65.7115
6.872230420, 96.390, 4331.0, 65.8103
6.898490986, 96.390, 4485.0, 66.9701
6.924751551, 96.390, 4210.0, 64.8845
6.951012116, 96.390, 4316.0, 65.6963
6.977272682, 96.390, 4381.0, 66.1891
7.003533247, 96.390, 4140.0, 64.3428
7.029793812, 96.390, 4208.0, 64.8691
7.056054378, 96.390, 4253.0, 65.2150
7.082314943, 96.390, 4253.0, 65.2150
7.108575508, 96.390, 4207.0, 64.8614
7.134836074, 96.390, 4297.0, 65.5515
7.161096639, 96.390, 4203.0, 64.8305
7.187357204, 96.390, 4215.0, 64.9230
7.213617770, 96.390, 4150.0, 64.4205
7.239878335, 96.390, 4036.0, 63.5295
7.266138900, 96.390, 4045.0, 63.6003
7.292399466, 96.390, 4167.0, 64.5523
7.318660031, 96.390, 4089.0, 63.9453
7.344920597, 96.390, 4072.0, 63.8122
7.371181162, 96.390, 4120.0, 64.1872
7.397441727, 96.390, 4103.0, 64.0547
7.423702293, 96.390, 4138.0, 64.3273
7.449962858, 96.390, 4083.0, 63.8984
