[Measurement conditions]
Sample identification,XRD_PAxial04Jan22_Act07Jan22_B1_0833M_NaOH_LS0143_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Jan/2022 13:18
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5323.0, 72.9589
5.033990845, 96.390, 5201.0, 72.1180
5.060251411, 96.390, 5235.0, 72.3533
5.086511976, 96.390, 5052.0, 71.0774
5.112772541, 96.390, 5089.0, 71.3372
5.139033107, 96.390, 5103.0, 71.4353
5.165293672, 96.390, 5052.0, 71.0774
5.191554237, 96.390, 5078.0, 71.2601
5.217814803, 96.390, 5082.0, 71.2881
5.244075368, 96.390, 5023.0, 70.8731
5.270335934, 96.390, 4974.0, 70.5266
5.296596499, 96.390, 4806.0, 69.3253
5.322857064, 96.390, 4886.0, 69.8999
5.349117630, 96.390, 5011.0, 70.7884
5.375378195, 96.390, 4751.0, 68.9275
5.401638760, 96.390, 4842.0, 69.5845
5.427899326, 96.390, 4719.0, 68.6950
5.454159891, 96.390, 4845.0, 69.6060
5.480420456, 96.390, 4844.0, 69.5989
5.506681022, 96.390, 4628.0, 68.0294
5.532941587, 96.390, 4920.0, 70.1427
5.559202152, 96.390, 4653.0, 68.2129
5.585462718, 96.390, 4716.0, 68.6731
5.611723283, 96.390, 4681.0, 68.4178
5.637983849, 96.390, 4619.0, 67.9632
5.664244414, 96.390, 4626.0, 68.0147
