[Measurement conditions]
Sample identification,XRD_SiAxial05Nov21_Act10Jan22_B1_0714M_NaOH_LS0162_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,13/Jan/2022 12:16
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4139.0, 64.3351
5.033990845, 96.390, 3949.0, 62.8411
5.060251411, 96.390, 4059.0, 63.7103
5.086511976, 96.390, 3989.0, 63.1585
5.112772541, 96.390, 3919.0, 62.6019
5.139033107, 96.390, 4007.0, 63.3009
5.165293672, 96.390, 3835.0, 61.9274
5.191554237, 96.390, 3963.0, 62.9524
5.217814803, 96.390, 3824.0, 61.8385
5.244075368, 96.390, 3833.0, 61.9112
5.270335934, 96.390, 3923.0, 62.6339
5.296596499, 96.390, 3812.0, 61.7414
5.322857064, 96.390, 3838.0, 61.9516
5.349117630, 96.390, 3786.0, 61.5305
5.375378195, 96.390, 3763.0, 61.3433
5.401638760, 96.390, 3787.0, 61.5386
5.427899326, 96.390, 3856.0, 62.0967
5.454159891, 96.390, 3765.0, 61.3596
5.480420456, 96.390, 3801.0, 61.6523
5.506681022, 96.390, 3732.0, 61.0901
5.532941587, 96.390, 3764.0, 61.3514
5.559202152, 96.390, 3738.0, 61.1392
5.585462718, 96.390, 3694.0, 60.7783
5.611723283, 96.390, 3619.0, 60.1581
5.637983849, 96.390, 3596.0, 59.9667
5.664244414, 96.390, 3616.0, 60.1332
5.690504979, 96.390, 3548.0, 59.5651
5.716765545, 96.390, 3558.0, 59.6490
5.743026110, 96.390, 3491.0, 59.0847
5.769286675, 96.390, 3612.0, 60.0999
5.795547241, 96.390, 3598.0, 59.9833
5.821807806, 96.390, 3502.0, 59.1777
5.848068371, 96.390, 3457.0, 58.7963
5.874328937, 96.390, 3477.0, 58.9661
5.900589502, 96.390, 3528.0, 59.3970
5.926850067, 96.390, 3546.0, 59.5483
5.953110633, 96.390, 3617.0, 60.1415
5.979371198, 96.390, 3519.0, 59.3212
6.005631763, 96.390, 3564.0, 59.6992
6.031892329, 96.390, 3592.0, 59.9333
6.058152894, 96.390, 3578.0, 59.8164
6.084413460, 96.390, 3513.0, 59.2706
6.110674025, 96.390, 3533.0, 59.4390
6.136934590, 96.390, 3472.0, 58.9237
6.163195156, 96.390, 3511.0, 59.2537
6.189455721, 96.390, 3387.0, 58.1979
6.215716286, 96.390, 3544.0, 59.5315
6.241976852, 96.390, 3341.0, 57.8014
6.268237417, 96.390, 3507.0, 59.2199
6.294497982, 96.390, 3483.0, 59.0169
6.320758548, 96.390, 3405.0, 58.3524
6.347019113, 96.390, 3457.0, 58.7963
6.373279678, 96.390, 3491.0, 59.0847
6.399540244, 96.390, 3566.0, 59.7160
6.425800809, 96.390, 3517.0, 59.3043
6.452061375, 96.390, 3474.0, 58.9406
6.478321940, 96.390, 3353.0, 57.9051
6.504582505, 96.390, 3442.0, 58.6686
6.530843071, 96.390, 3416.0, 58.4466
6.557103636, 96.390, 3465.0, 58.8643
6.583364201, 96.390, 3492.0, 59.0931
6.609624767, 96.390, 3445.0, 58.6941
6.635885332, 96.390, 3493.0, 59.1016
6.662145897, 96.390, 3490.0, 59.0762
6.688406463, 96.390, 3507.0, 59.2199
6.714667028, 96.390, 3343.0, 57.8187
6.740927593, 96.390, 3352.0, 57.8965
6.767188159, 96.390, 3310.0, 57.5326
6.793448724, 96.390, 3394.0, 58.2580
6.819709289, 96.390, 3404.0, 58.3438
6.845969855, 96.390, 3413.0, 58.4209
6.872230420, 96.390, 3247.0, 56.9825
6.898490986, 96.390, 3470.0, 58.9067
6.924751551, 96.390, 3357.0, 57.9396
6.951012116, 96.390, 3421.0, 58.4893
6.977272682, 96.390, 3353.0, 57.9051
7.003533247, 96.390, 3329.0, 57.6975
7.029793812, 96.390, 3407.0, 58.3695
7.056054378, 96.390, 3549.0, 59.5735
7.082314943, 96.390, 3380.0, 58.1378
7.108575508, 96.390, 3356.0, 57.9310
7.134836074, 96.390, 3489.0, 59.0678
7.161096639, 96.390, 3452.0, 58.7537
7.187357204, 96.390, 3299.0, 57.4369
7.213617770, 96.390, 3434.0, 58.6003
7.239878335, 96.390, 3477.0, 58.9661
7.266138900, 96.390, 3389.0, 58.2151
7.292399466, 96.390, 3448.0, 58.7197
7.318660031, 96.390, 3434.0, 58.6003
7.344920597, 96.390, 3401.0, 58.3181
7.371181162, 96.390, 3578.0, 59.8164
7.397441727, 96.390, 3445.0, 58.6941
7.423702293, 96.390, 3368.0, 58.0345
7.449962858, 96.390, 3411.0, 58.4038
7.476223423, 96.390, 3475.0, 58.9491
7.502483989, 96.390, 3419.0, 58.4722
7.528744554, 96.390, 3381.0, 58.1464
7.555005119, 96.390, 3489.0, 59.0678
7.581265685, 96.390, 3407.0, 58.3695
7.607526250, 96.390, 3362.0, 57.9828
7.633786815, 96.390, 3495.0, 59.1185
7.660047381, 96.390, 3354.0, 57.9137
7.686307946, 96.390, 3411.0, 58.4038
7.712568512, 96.390, 3458.0, 58.8048
7.738829077, 96.390, 3537.0, 59.4727
7.765089642, 96.390, 3451.0, 58.7452
7.791350208, 96.390, 3541.0, 59.5063
7.817610773, 96.390, 3572.0, 59.7662
7.843871338, 96.390, 3521.0, 59.3380
7.870131904, 96.390, 3470.0, 58.9067
7.896392469, 96.390, 3458.0, 58.8048
7.922653034, 96.390, 3485.0, 59.0339
7.948913600, 96.390, 3538.0, 59.4811
7.975174165, 96.390, 3616.0, 60.1332
8.001434730, 96.390, 3623.0, 60.1914
8.027695296, 96.390, 3592.0, 59.9333
8.053955861, 96.390, 3606.0, 60.0500
8.080216426, 96.390, 3538.0, 59.4811
8.106476992, 96.390, 3579.0, 59.8247
8.132737557, 96.390, 3606.0, 60.0500
8.158998123, 96.390, 3692.0, 60.7618
8.185258688, 96.390, 3673.0, 60.6053
8.211519253, 96.390, 3717.0, 60.9672
8.237779819, 96.390, 3688.0, 60.7289
8.264040384, 96.390, 3636.0, 60.2993
8.290300949, 96.390, 3475.0, 58.9491
8.316561515, 96.390, 3526.0, 59.3801
8.342822080, 96.390, 3573.0, 59.7746
8.369082645, 96.390, 3603.0, 60.0250
8.395343211, 96.390, 3516.0, 59.2959
8.421603776, 96.390, 3592.0, 59.9333
8.447864341, 96.390, 3538.0, 59.4811
8.474124907, 96.390, 3491.0, 59.0847
8.500385472, 96.390, 3505.0, 59.2030
8.526646038, 96.390, 3413.0, 58.4209
8.552906603, 96.390, 3552.0, 59.5987
8.579167168, 96.390, 3510.0, 59.2453
8.605427734, 96.390, 3462.0, 58.8388
8.631688299, 96.390, 3641.0, 60.3407
8.657948864, 96.390, 3545.0, 59.5399
8.684209430, 96.390, 3484.0, 59.0254
8.710469995, 96.390, 3449.0, 58.7282
8.736730560, 96.390, 3537.0, 59.4727
8.762991126, 96.390, 3520.0, 59.3296
8.789251691, 96.390, 3575.0, 59.7913
8.815512256, 96.390, 3537.0, 59.4727
8.841772822, 96.390, 3378.0, 58.1206
8.868033387, 96.390, 3404.0, 58.3438
8.894293952, 96.390, 3490.0, 59.0762
8.920554518, 96.390, 3489.0, 59.0678
8.946815083, 96.390, 3516.0, 59.2959
8.973075649, 96.390, 3500.0, 59.1608
8.999336214, 96.390, 3513.0, 59.2706
9.025596779, 96.390, 3367.0, 58.0259
9.051857345, 96.390, 3339.0, 57.7841
9.078117910, 96.390, 3502.0, 59.1777
9.104378475, 96.390, 3362.0, 57.9828
9.130639041, 96.390, 3484.0, 59.0254
9.156899606, 96.390, 3543.0, 59.5231
9.183160171, 96.390, 3359.0, 57.9569
9.209420737, 96.390, 3312.0, 57.5500
9.235681302, 96.390, 3429.0, 58.5577
9.261941867, 96.390, 3384.0, 58.1722
9.288202433, 96.390, 3437.0, 58.6259
9.314462998, 96.390, 3403.0, 58.3352
9.340723564, 96.390, 3295.0, 57.4021
9.366984129, 96.390, 3427.0, 58.5406
9.393244694, 96.390, 3360.0, 57.9655
9.419505260, 96.390, 3397.0, 58.2838
9.445765825, 96.390, 3372.0, 58.0689
9.472026390, 96.390, 3430.0, 58.5662
9.498286956, 96.390, 3239.0, 56.9122
9.524547521, 96.390, 3318.0, 57.6021
9.550808086, 96.390, 3290.0, 57.3585
9.577068652, 96.390, 3296.0, 57.4108
9.603329217, 96.390, 3278.0, 57.2538
9.629589782, 96.390, 3347.0, 57.8533
9.655850348, 96.390, 3334.0, 57.7408
9.682110913, 96.390, 3224.0, 56.7803
9.708371478, 96.390, 3344.0, 57.8273
9.734632044, 96.390, 3312.0, 57.5500
9.760892609, 96.390, 3234.0, 56.8683
9.787153175, 96.390, 3197.0, 56.5420
9.813413740, 96.390, 3201.0, 56.5774
9.839674305, 96.390, 3311.0, 57.5413
9.865934871, 96.390, 3165.0, 56.2583
9.892195436, 96.390, 3175.0, 56.3471
9.918456001, 96.390, 3266.0, 57.1489
9.944716567, 96.390, 3179.0, 56.3826
9.970977132, 96.390, 3217.0, 56.7186
9.997237697, 96.390, 3265.0, 57.1402
10.023498263, 96.390, 3193.0, 56.5066
10.049758828, 96.390, 3220.0, 56.7450
10.076019393, 96.390, 3085.0, 55.5428
