[Measurement conditions]
Sample identification,XRD_P04Free14Apr22_Act18Apr22_B2_1000M_NaOH_LS0133_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,21/Apr/2022 17:13
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5070.0, 71.2039
5.033990845, 96.390, 4989.0, 70.6329
5.060251411, 96.390, 5000.0, 70.7107
5.086511976, 96.390, 4984.0, 70.5975
5.112772541, 96.390, 4819.0, 69.4190
5.139033107, 96.390, 4882.0, 69.8713
5.165293672, 96.390, 4892.0, 69.9428
5.191554237, 96.390, 4948.0, 70.3420
5.217814803, 96.390, 4963.0, 70.4486
5.244075368, 96.390, 4972.0, 70.5124
5.270335934, 96.390, 4938.0, 70.2709
5.296596499, 96.390, 4908.0, 70.0571
5.322857064, 96.390, 4817.0, 69.4046
5.349117630, 96.390, 4986.0, 70.6116
5.375378195, 96.390, 4971.0, 70.5053
5.401638760, 96.390, 5039.0, 70.9859
5.427899326, 96.390, 5129.0, 71.6170
5.454159891, 96.390, 5192.0, 72.0555
5.480420456, 96.390, 5198.0, 72.0972
5.506681022, 96.390, 5369.0, 73.2735
5.532941587, 96.390, 5293.0, 72.7530
5.559202152, 96.390, 5405.0, 73.5187
5.585462718, 96.390, 5679.0, 75.3591
5.611723283, 96.390, 5680.0, 75.3658
