[Measurement conditions],,,
Sample identification,MNASPH_CentroidPC25Oct21_Act27Oct21,,
Comment - 1,Exposed to air for long period,,
Comment - 2,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM",,
Comment - 3,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 4,Sample stage=Stage for flat samples/holders,,
Comment - 5,Diffractometer system=EMPYREAN,,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.25,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,11/15/2021 15:40,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Time per step,96.39,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,4740,68.8477
5.033990845,96.39,4695,68.5201
5.060251411,96.39,4789,69.2026
5.086511976,96.39,4791,69.217
5.112772541,96.39,4661,68.2715
5.139033107,96.39,4638,68.1029
5.165293672,96.39,4542,67.3944
5.191554237,96.39,4497,67.0597
5.217814803,96.39,4497,67.0597
5.244075368,96.39,4452,66.7233
5.270335934,96.39,4509,67.1491
5.296596499,96.39,4468,66.8431
5.322857064,96.39,4476,66.9029
5.34911763,96.39,4500,67.082
5.375378195,96.39,4413,66.4304
5.40163876,96.39,4366,66.0757
5.427899326,96.39,4452,66.7233
5.454159891,96.39,4341,65.8863
5.480420456,96.39,4382,66.1967
5.506681022,96.39,4395,66.2948
5.532941587,96.39,4424,66.5132
5.559202152,96.39,4363,66.053
5.585462718,96.39,4414,66.4379
5.611723283,96.39,4406,66.3777
5.637983849,96.39,4355,65.9924
5.664244414,96.39,4210,64.8845
5.690504979,96.39,4304,65.6049
5.716765545,96.39,4403,66.3551
5.74302611,96.39,4430,66.5582
5.769286675,96.39,4276,65.3911
5.795547241,96.39,4380,66.1816
5.821807806,96.39,4351,65.9621
5.848068371,96.39,4150,64.4205
5.874328937,96.39,4243,65.1383
5.900589502,96.39,4239,65.1076
5.926850067,96.39,4318,65.7115
5.953110633,96.39,4239,65.1076
5.979371198,96.39,4191,64.7379
6.005631763,96.39,4164,64.5291
6.031892329,96.39,4256,65.238
6.058152894,96.39,4242,65.1306
6.08441346,96.39,4279,65.4141
6.110674025,96.39,4250,65.192
6.13693459,96.39,4162,64.5136
6.163195156,96.39,4201,64.8151
6.189455721,96.39,4290,65.4981
6.215716286,96.39,4280,65.4217
6.241976852,96.39,4158,64.4826
6.268237417,96.39,4189,64.7225
6.294497982,96.39,4192,64.7457
6.320758548,96.39,4197,64.7843
6.347019113,96.39,4157,64.4748
6.373279678,96.39,4106,64.0781
6.399540244,96.39,4159,64.4903
6.425800809,96.39,4243,65.1383
6.452061375,96.39,4267,65.3223
6.47832194,96.39,4222,64.9769
6.504582505,96.39,4144,64.3739
6.530843071,96.39,4149,64.4127
6.557103636,96.39,4123,64.2106
6.583364201,96.39,4106,64.0781
6.609624767,96.39,4069,63.7887
6.635885332,96.39,4044,63.5925
