[Measurement conditions]
Sample identification,XRD_AlCornernul_Act03May22_B1_0714M_NaOH_LS0172_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 14:45
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3373.0, 58.0775
5.033990845, 96.390, 3467.0, 58.8812
5.060251411, 96.390, 3521.0, 59.3380
5.086511976, 96.390, 3474.0, 58.9406
5.112772541, 96.390, 3439.0, 58.6430
5.139033107, 96.390, 3384.0, 58.1722
5.165293672, 96.390, 3451.0, 58.7452
5.191554237, 96.390, 3344.0, 57.8273
5.217814803, 96.390, 3359.0, 57.9569
5.244075368, 96.390, 3276.0, 57.2364
5.270335934, 96.390, 3266.0, 57.1489
5.296596499, 96.390, 3141.0, 56.0446
5.322857064, 96.390, 3205.0, 56.6127
5.349117630, 96.390, 3298.0, 57.4282
5.375378195, 96.390, 3102.0, 55.6956
5.401638760, 96.390, 3025.0, 55.0000
5.427899326, 96.390, 3100.0, 55.6776
5.454159891, 96.390, 3088.0, 55.5698
5.480420456, 96.390, 3211.0, 56.6657
5.506681022, 96.390, 3118.0, 55.8391
5.532941587, 96.390, 3116.0, 55.8211
5.559202152, 96.390, 3183.0, 56.4181
5.585462718, 96.390, 3073.0, 55.4346
5.611723283, 96.390, 3094.0, 55.6237
