[Measurement conditions]
Sample identification,XRD_MgAxialnul_Act03May22_B1_0714M_NaOH_LS0171_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 14:26
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4691.0, 68.4909
5.033990845, 96.390, 4567.0, 67.5796
5.060251411, 96.390, 4614.0, 67.9264
5.086511976, 96.390, 4610.0, 67.8970
5.112772541, 96.390, 4509.0, 67.1491
5.139033107, 96.390, 4590.0, 67.7495
5.165293672, 96.390, 4458.0, 66.7683
5.191554237, 96.390, 4579.0, 67.6683
5.217814803, 96.390, 4380.0, 66.1816
5.244075368, 96.390, 4355.0, 65.9924
5.270335934, 96.390, 4307.0, 65.6277
5.296596499, 96.390, 4400.0, 66.3325
5.322857064, 96.390, 4336.0, 65.8483
5.349117630, 96.390, 4333.0, 65.8255
5.375378195, 96.390, 4183.0, 64.6761
5.401638760, 96.390, 4276.0, 65.3911
5.427899326, 96.390, 4221.0, 64.9692
5.454159891, 96.390, 4213.0, 64.9076
5.480420456, 96.390, 4274.0, 65.3758
5.506681022, 96.390, 4149.0, 64.4127
5.532941587, 96.390, 4139.0, 64.3351
5.559202152, 96.390, 4104.0, 64.0625
5.585462718, 96.390, 4113.0, 64.1327
5.611723283, 96.390, 4128.0, 64.2495
5.637983849, 96.390, 4067.0, 63.7730
5.664244414, 96.390, 4026.0, 63.4508
5.690504979, 96.390, 4075.0, 63.8357
5.716765545, 96.390, 4034.0, 63.5138
5.743026110, 96.390, 4152.0, 64.4360
5.769286675, 96.390, 4051.0, 63.6475
5.795547241, 96.390, 4104.0, 64.0625
5.821807806, 96.390, 4083.0, 63.8984
5.848068371, 96.390, 4024.0, 63.4350
5.874328937, 96.390, 3971.0, 63.0159
5.900589502, 96.390, 3924.0, 62.6418
