[Measurement conditions]
Sample identification,XRD_P04Free14Apr22_Act03May22_B1_0065M_TSP_LS0111_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 16:32
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5609.0, 74.8933
5.033990845, 96.390, 5385.0, 73.3826
5.060251411, 96.390, 5465.0, 73.9256
5.086511976, 96.390, 5544.0, 74.4580
5.112772541, 96.390, 5520.0, 74.2967
5.139033107, 96.390, 5516.0, 74.2698
5.165293672, 96.390, 5385.0, 73.3826
5.191554237, 96.390, 5339.0, 73.0685
5.217814803, 96.390, 5204.0, 72.1388
5.244075368, 96.390, 5398.0, 73.4711
5.270335934, 96.390, 5161.0, 71.8401
5.296596499, 96.390, 5154.0, 71.7914
5.322857064, 96.390, 5152.0, 71.7774
5.349117630, 96.390, 5294.0, 72.7599
5.375378195, 96.390, 5192.0, 72.0555
5.401638760, 96.390, 5175.0, 71.9375
5.427899326, 96.390, 5029.0, 70.9154
5.454159891, 96.390, 5052.0, 71.0774
5.480420456, 96.390, 5137.0, 71.6729
5.506681022, 96.390, 5036.0, 70.9648
5.532941587, 96.390, 5020.0, 70.8520
5.559202152, 96.390, 4990.0, 70.6399
5.585462718, 96.390, 5006.0, 70.7531
5.611723283, 96.390, 5010.0, 70.7814
5.637983849, 96.390, 4952.0, 70.3704
5.664244414, 96.390, 4816.0, 69.3974
5.690504979, 96.390, 4794.0, 69.2387
5.716765545, 96.390, 4835.0, 69.5342
5.743026110, 96.390, 4731.0, 68.7823
5.769286675, 96.390, 4813.0, 69.3758
5.795547241, 96.390, 4822.0, 69.4406
5.821807806, 96.390, 4762.0, 69.0072
5.848068371, 96.390, 4782.0, 69.1520
5.874328937, 96.390, 4729.0, 68.7677
5.900589502, 96.390, 4871.0, 69.7925
5.926850067, 96.390, 4546.0, 67.4240
5.953110633, 96.390, 4675.0, 68.3740
5.979371198, 96.390, 4636.0, 68.0882
6.005631763, 96.390, 4742.0, 68.8622
6.031892329, 96.390, 4764.0, 69.0217
6.058152894, 96.390, 4790.0, 69.2098
6.084413460, 96.390, 4643.0, 68.1396
6.110674025, 96.390, 4635.0, 68.0808
6.136934590, 96.390, 4590.0, 67.7495
6.163195156, 96.390, 4501.0, 67.0895
6.189455721, 96.390, 4484.0, 66.9627
6.215716286, 96.390, 4525.0, 67.2681
6.241976852, 96.390, 4553.0, 67.4759
6.268237417, 96.390, 4554.0, 67.4833
6.294497982, 96.390, 4642.0, 68.1322
6.320758548, 96.390, 4514.0, 67.1863
6.347019113, 96.390, 4588.0, 67.7348
6.373279678, 96.390, 4515.0, 67.1937
6.399540244, 96.390, 4466.0, 66.8281
6.425800809, 96.390, 4434.0, 66.5883
6.452061375, 96.390, 4565.0, 67.5648
6.478321940, 96.390, 4500.0, 67.0820
6.504582505, 96.390, 4508.0, 67.1416
6.530843071, 96.390, 4386.0, 66.2269
6.557103636, 96.390, 4507.0, 67.1342
6.583364201, 96.390, 4338.0, 65.8635
6.609624767, 96.390, 4407.0, 66.3852
6.635885332, 96.390, 4162.0, 64.5136
6.662145897, 96.390, 4280.0, 65.4217
6.688406463, 96.390, 4244.0, 65.1460
6.714667028, 96.390, 4344.0, 65.9090
6.740927593, 96.390, 4383.0, 66.2042
6.767188159, 96.390, 4343.0, 65.9014
6.793448724, 96.390, 4288.0, 65.4828
6.819709289, 96.390, 4406.0, 66.3777
6.845969855, 96.390, 4273.0, 65.3682
6.872230420, 96.390, 4191.0, 64.7379
6.898490986, 96.390, 4292.0, 65.5134
6.924751551, 96.390, 4201.0, 64.8151
6.951012116, 96.390, 4188.0, 64.7148
6.977272682, 96.390, 4183.0, 64.6761
7.003533247, 96.390, 4234.0, 65.0692
7.029793812, 96.390, 4278.0, 65.4064
7.056054378, 96.390, 4230.0, 65.0385
7.082314943, 96.390, 4124.0, 64.2184
7.108575508, 96.390, 4202.0, 64.8228
7.134836074, 96.390, 4216.0, 64.9307
7.161096639, 96.390, 4230.0, 65.0385
7.187357204, 96.390, 4243.0, 65.1383
7.213617770, 96.390, 4264.0, 65.2993
7.239878335, 96.390, 4242.0, 65.1306
7.266138900, 96.390, 4208.0, 64.8691
7.292399466, 96.390, 4010.0, 63.3246
7.318660031, 96.390, 4129.0, 64.2573
7.344920597, 96.390, 3969.0, 63.0000
7.371181162, 96.390, 4089.0, 63.9453
7.397441727, 96.390, 4176.0, 64.6220
7.423702293, 96.390, 4142.0, 64.3584
7.449962858, 96.390, 4084.0, 63.9062
7.476223423, 96.390, 4034.0, 63.5138
7.502483989, 96.390, 4083.0, 63.8984
7.528744554, 96.390, 4108.0, 64.0937
7.555005119, 96.390, 3997.0, 63.2218
7.581265685, 96.390, 4003.0, 63.2693
7.607526250, 96.390, 4064.0, 63.7495
7.633786815, 96.390, 4009.0, 63.3167
7.660047381, 96.390, 4034.0, 63.5138
7.686307946, 96.390, 4030.0, 63.4823
7.712568512, 96.390, 4021.0, 63.4114
7.738829077, 96.390, 3949.0, 62.8411
7.765089642, 96.390, 4029.0, 63.4744
7.791350208, 96.390, 3961.0, 62.9365
7.817610773, 96.390, 4044.0, 63.5925
7.843871338, 96.390, 4001.0, 63.2535
7.870131904, 96.390, 3946.0, 62.8172
7.896392469, 96.390, 3853.0, 62.0725
7.922653034, 96.390, 3918.0, 62.5939
7.948913600, 96.390, 3911.0, 62.5380
7.975174165, 96.390, 4088.0, 63.9375
8.001434730, 96.390, 4015.0, 63.3640
8.027695296, 96.390, 4063.0, 63.7417
8.053955861, 96.390, 4021.0, 63.4114
8.080216426, 96.390, 3840.0, 61.9677
8.106476992, 96.390, 3957.0, 62.9047
8.132737557, 96.390, 3953.0, 62.8729
8.158998123, 96.390, 3878.0, 62.2736
8.185258688, 96.390, 3847.0, 62.0242
8.211519253, 96.390, 3760.0, 61.3188
