[Measurement conditions]
Sample identification,XRD_P04Free14Apr22_Act03May22_B1_1000M_NaOH_LS0131_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 16:09
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4986.0, 70.6116
5.033990845, 96.390, 5171.0, 71.9097
5.060251411, 96.390, 5012.0, 70.7955
5.086511976, 96.390, 5017.0, 70.8308
5.112772541, 96.390, 4935.0, 70.2496
5.139033107, 96.390, 4962.0, 70.4415
5.165293672, 96.390, 5064.0, 71.1618
5.191554237, 96.390, 4990.0, 70.6399
5.217814803, 96.390, 5074.0, 71.2320
5.244075368, 96.390, 5127.0, 71.6031
5.270335934, 96.390, 4920.0, 70.1427
5.296596499, 96.390, 5178.0, 71.9583
5.322857064, 96.390, 5038.0, 70.9789
5.349117630, 96.390, 5140.0, 71.6938
5.375378195, 96.390, 5283.0, 72.6842
5.401638760, 96.390, 5355.0, 73.1779
5.427899326, 96.390, 5201.0, 72.1180
5.454159891, 96.390, 5298.0, 72.7874
5.480420456, 96.390, 5335.0, 73.0411
5.506681022, 96.390, 5607.0, 74.8799
5.532941587, 96.390, 5736.0, 75.7364
5.559202152, 96.390, 5714.0, 75.5910
5.585462718, 96.390, 5812.0, 76.2365
5.611723283, 96.390, 5943.0, 77.0909
5.637983849, 96.390, 6086.0, 78.0128
5.664244414, 96.390, 6195.0, 78.7083
5.690504979, 96.390, 6414.0, 80.0875
5.716765545, 96.390, 6661.0, 81.6149
5.743026110, 96.390, 6926.0, 83.2226
5.769286675, 96.390, 7010.0, 83.7257
5.795547241, 96.390, 6933.0, 83.2646
5.821807806, 96.390, 7147.0, 84.5399
5.848068371, 96.390, 7388.0, 85.9535
5.874328937, 96.390, 7375.0, 85.8778
5.900589502, 96.390, 7389.0, 85.9593
5.926850067, 96.390, 7260.0, 85.2056
5.953110633, 96.390, 7097.0, 84.2437
5.979371198, 96.390, 7129.0, 84.4334
6.005631763, 96.390, 7307.0, 85.4810
6.031892329, 96.390, 7166.0, 84.6522
6.058152894, 96.390, 7020.0, 83.7854
6.084413460, 96.390, 7051.0, 83.9702
6.110674025, 96.390, 7016.0, 83.7616
6.136934590, 96.390, 7091.0, 84.2081
6.163195156, 96.390, 7098.0, 84.2496
6.189455721, 96.390, 7003.0, 83.6839
6.215716286, 96.390, 6985.0, 83.5763
6.241976852, 96.390, 6924.0, 83.2106
6.268237417, 96.390, 6818.0, 82.5712
6.294497982, 96.390, 6919.0, 83.1805
6.320758548, 96.390, 6709.0, 81.9085
6.347019113, 96.390, 6647.0, 81.5291
6.373279678, 96.390, 6590.0, 81.1788
6.399540244, 96.390, 6565.0, 81.0247
6.425800809, 96.390, 6532.0, 80.8208
6.452061375, 96.390, 6536.0, 80.8455
6.478321940, 96.390, 6469.0, 80.4301
6.504582505, 96.390, 6312.0, 79.4481
6.530843071, 96.390, 6248.0, 79.0443
6.557103636, 96.390, 6059.0, 77.8396
6.583364201, 96.390, 6285.0, 79.2780
6.609624767, 96.390, 6022.0, 77.6015
6.635885332, 96.390, 5960.0, 77.2010
6.662145897, 96.390, 5912.0, 76.8895
6.688406463, 96.390, 5679.0, 75.3591
6.714667028, 96.390, 5631.0, 75.0400
6.740927593, 96.390, 5801.0, 76.1643
6.767188159, 96.390, 5687.0, 75.4122
6.793448724, 96.390, 5398.0, 73.4711
6.819709289, 96.390, 5407.0, 73.5323
6.845969855, 96.390, 5309.0, 72.8629
6.872230420, 96.390, 5235.0, 72.3533
6.898490986, 96.390, 5283.0, 72.6842
6.924751551, 96.390, 5199.0, 72.1041
6.951012116, 96.390, 5182.0, 71.9861
6.977272682, 96.390, 5113.0, 71.5052
7.003533247, 96.390, 4990.0, 70.6399
7.029793812, 96.390, 5010.0, 70.7814
7.056054378, 96.390, 5000.0, 70.7107
7.082314943, 96.390, 4915.0, 70.1071
7.108575508, 96.390, 4756.0, 68.9638
7.134836074, 96.390, 4761.0, 69.0000
7.161096639, 96.390, 4697.0, 68.5347
7.187357204, 96.390, 4793.0, 69.2315
7.213617770, 96.390, 4643.0, 68.1396
7.239878335, 96.390, 4489.0, 67.0000
7.266138900, 96.390, 4566.0, 67.5722
7.292399466, 96.390, 4483.0, 66.9552
7.318660031, 96.390, 4484.0, 66.9627
7.344920597, 96.390, 4422.0, 66.4981
7.371181162, 96.390, 4375.0, 66.1438
7.397441727, 96.390, 4311.0, 65.6582
7.423702293, 96.390, 4286.0, 65.4675
7.449962858, 96.390, 4163.0, 64.5213
7.476223423, 96.390, 4221.0, 64.9692
7.502483989, 96.390, 4168.0, 64.5600
7.528744554, 96.390, 4167.0, 64.5523
7.555005119, 96.390, 3984.0, 63.1189
7.581265685, 96.390, 3974.0, 63.0397
7.607526250, 96.390, 4020.0, 63.4035
7.633786815, 96.390, 3910.0, 62.5300
7.660047381, 96.390, 3912.0, 62.5460
7.686307946, 96.390, 3884.0, 62.3217
7.712568512, 96.390, 3813.0, 61.7495
7.738829077, 96.390, 3789.0, 61.5549
7.765089642, 96.390, 3810.0, 61.7252
7.791350208, 96.390, 3711.0, 60.9180
7.817610773, 96.390, 3698.0, 60.8112
7.843871338, 96.390, 3669.0, 60.5723
7.870131904, 96.390, 3679.0, 60.6548
7.896392469, 96.390, 3700.0, 60.8276
7.922653034, 96.390, 3626.0, 60.2163
7.948913600, 96.390, 3417.0, 58.4551
7.975174165, 96.390, 3510.0, 59.2453
8.001434730, 96.390, 3471.0, 58.9152
8.027695296, 96.390, 3459.0, 58.8133
8.053955861, 96.390, 3375.0, 58.0948
8.080216426, 96.390, 3351.0, 57.8878
8.106476992, 96.390, 3500.0, 59.1608
8.132737557, 96.390, 3375.0, 58.0948
8.158998123, 96.390, 3344.0, 57.8273
8.185258688, 96.390, 3348.0, 57.8619
8.211519253, 96.390, 3348.0, 57.8619
8.237779819, 96.390, 3296.0, 57.4108
