[Measurement conditions]
Sample identification,XRD_PAxialnul_Act03May22_B1_1000M_NaOH_LS0133_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 15:46
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4287.0, 65.4752
5.033990845, 96.390, 4096.0, 64.0000
5.060251411, 96.390, 4175.0, 64.6142
5.086511976, 96.390, 4060.0, 63.7181
5.112772541, 96.390, 4050.0, 63.6396
5.139033107, 96.390, 3984.0, 63.1189
5.165293672, 96.390, 4033.0, 63.5059
5.191554237, 96.390, 3958.0, 62.9126
5.217814803, 96.390, 3852.0, 62.0645
5.244075368, 96.390, 4015.0, 63.3640
5.270335934, 96.390, 3900.0, 62.4500
5.296596499, 96.390, 3920.0, 62.6099
5.322857064, 96.390, 3909.0, 62.5220
5.349117630, 96.390, 3996.0, 63.2139
5.375378195, 96.390, 3871.0, 62.2174
5.401638760, 96.390, 3884.0, 62.3217
5.427899326, 96.390, 3862.0, 62.1450
5.454159891, 96.390, 3787.0, 61.5386
5.480420456, 96.390, 3788.0, 61.5467
5.506681022, 96.390, 3732.0, 61.0901
5.532941587, 96.390, 3755.0, 61.2781
5.559202152, 96.390, 3660.0, 60.4979
5.585462718, 96.390, 3648.0, 60.3987
5.611723283, 96.390, 3723.0, 61.0164
5.637983849, 96.390, 3679.0, 60.6548
5.664244414, 96.390, 3606.0, 60.0500
5.690504979, 96.390, 3805.0, 61.6847
5.716765545, 96.390, 3631.0, 60.2578
5.743026110, 96.390, 3637.0, 60.3075
5.769286675, 96.390, 3679.0, 60.6548
5.795547241, 96.390, 3618.0, 60.1498
5.821807806, 96.390, 3622.0, 60.1831
5.848068371, 96.390, 3536.0, 59.4643
5.874328937, 96.390, 3597.0, 59.9750
5.900589502, 96.390, 3559.0, 59.6574
5.926850067, 96.390, 3509.0, 59.2368
5.953110633, 96.390, 3656.0, 60.4649
5.979371198, 96.390, 3565.0, 59.7076
6.005631763, 96.390, 3604.0, 60.0333
6.031892329, 96.390, 3579.0, 59.8247
6.058152894, 96.390, 3463.0, 58.8473
6.084413460, 96.390, 3583.0, 59.8582
6.110674025, 96.390, 3481.0, 59.0000
6.136934590, 96.390, 3529.0, 59.4054
6.163195156, 96.390, 3499.0, 59.1523
6.189455721, 96.390, 3548.0, 59.5651
6.215716286, 96.390, 3427.0, 58.5406
6.241976852, 96.390, 3483.0, 59.0169
6.268237417, 96.390, 3420.0, 58.4808
6.294497982, 96.390, 3499.0, 59.1523
6.320758548, 96.390, 3483.0, 59.0169
6.347019113, 96.390, 3505.0, 59.2030
6.373279678, 96.390, 3547.0, 59.5567
6.399540244, 96.390, 3595.0, 59.9583
6.425800809, 96.390, 3569.0, 59.7411
6.452061375, 96.390, 3423.0, 58.5064
6.478321940, 96.390, 3479.0, 58.9830
6.504582505, 96.390, 3515.0, 59.2874
6.530843071, 96.390, 3526.0, 59.3801
6.557103636, 96.390, 3421.0, 58.4893
6.583364201, 96.390, 3424.0, 58.5150
6.609624767, 96.390, 3446.0, 58.7026
6.635885332, 96.390, 3417.0, 58.4551
6.662145897, 96.390, 3479.0, 58.9830
