[Measurement conditions]
Sample identification,XRD_PCornernul_Act03May22_B1_1000M_NaOH_LS0133_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 15:26
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5764.0, 75.9210
5.033990845, 96.390, 5721.0, 75.6373
5.060251411, 96.390, 5668.0, 75.2861
5.086511976, 96.390, 5609.0, 74.8933
5.112772541, 96.390, 5511.0, 74.2361
5.139033107, 96.390, 5457.0, 73.8715
5.165293672, 96.390, 5426.0, 73.6614
5.191554237, 96.390, 5438.0, 73.7428
5.217814803, 96.390, 5301.0, 72.8080
5.244075368, 96.390, 5202.0, 72.1249
5.270335934, 96.390, 5145.0, 71.7287
5.296596499, 96.390, 5270.0, 72.5948
5.322857064, 96.390, 5248.0, 72.4431
5.349117630, 96.390, 5063.0, 71.1548
5.375378195, 96.390, 5076.0, 71.2461
5.401638760, 96.390, 5152.0, 71.7774
5.427899326, 96.390, 4818.0, 69.4118
5.454159891, 96.390, 4951.0, 70.3633
5.480420456, 96.390, 4893.0, 69.9500
5.506681022, 96.390, 4937.0, 70.2638
5.532941587, 96.390, 4938.0, 70.2709
5.559202152, 96.390, 4905.0, 70.0357
5.585462718, 96.390, 4969.0, 70.4911
5.611723283, 96.390, 4666.0, 68.3081
5.637983849, 96.390, 4949.0, 70.3491
5.664244414, 96.390, 4800.0, 69.2820
5.690504979, 96.390, 4744.0, 68.8767
5.716765545, 96.390, 4661.0, 68.2715
5.743026110, 96.390, 4723.0, 68.7241
5.769286675, 96.390, 4690.0, 68.4836
5.795547241, 96.390, 4672.0, 68.3520
5.821807806, 96.390, 4681.0, 68.4178
5.848068371, 96.390, 4565.0, 67.5648
5.874328937, 96.390, 4469.0, 66.8506
5.900589502, 96.390, 4488.0, 66.9925
5.926850067, 96.390, 4506.0, 67.1267
5.953110633, 96.390, 4524.0, 67.2607
5.979371198, 96.390, 4513.0, 67.1789
6.005631763, 96.390, 4441.0, 66.6408
6.031892329, 96.390, 4458.0, 66.7683
6.058152894, 96.390, 4433.0, 66.5808
6.084413460, 96.390, 4209.0, 64.8768
6.110674025, 96.390, 4424.0, 66.5132
6.136934590, 96.390, 4477.0, 66.9104
6.163195156, 96.390, 4269.0, 65.3376
6.189455721, 96.390, 4405.0, 66.3702
6.215716286, 96.390, 4326.0, 65.7723
6.241976852, 96.390, 4277.0, 65.3988
6.268237417, 96.390, 4348.0, 65.9394
6.294497982, 96.390, 4274.0, 65.3758
6.320758548, 96.390, 4254.0, 65.2227
6.347019113, 96.390, 4286.0, 65.4675
6.373279678, 96.390, 4157.0, 64.4748
6.399540244, 96.390, 4168.0, 64.5600
6.425800809, 96.390, 4095.0, 63.9922
6.452061375, 96.390, 4173.0, 64.5988
