[Measurement conditions]
Sample identification,XRD_SiAxialnul_Act03May22_B1_0833M_NaOH_LS0152_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 13:49
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4115.0, 64.1483
5.033990845, 96.390, 4107.0, 64.0859
5.060251411, 96.390, 4058.0, 63.7024
5.086511976, 96.390, 4106.0, 64.0781
5.112772541, 96.390, 4026.0, 63.4508
5.139033107, 96.390, 3976.0, 63.0555
5.165293672, 96.390, 3853.0, 62.0725
5.191554237, 96.390, 4001.0, 63.2535
5.217814803, 96.390, 3776.0, 61.4492
5.244075368, 96.390, 3897.0, 62.4260
5.270335934, 96.390, 3881.0, 62.2977
5.296596499, 96.390, 3822.0, 61.8223
5.322857064, 96.390, 3995.0, 63.2060
5.349117630, 96.390, 3780.0, 61.4817
5.375378195, 96.390, 3862.0, 62.1450
5.401638760, 96.390, 3828.0, 61.8708
5.427899326, 96.390, 3921.0, 62.6179
5.454159891, 96.390, 3798.0, 61.6279
5.480420456, 96.390, 3729.0, 61.0655
5.506681022, 96.390, 3772.0, 61.4166
5.532941587, 96.390, 3815.0, 61.7657
5.559202152, 96.390, 3719.0, 60.9836
5.585462718, 96.390, 3635.0, 60.2910
5.611723283, 96.390, 3735.0, 61.1146
5.637983849, 96.390, 3765.0, 61.3596
5.664244414, 96.390, 3640.0, 60.3324
5.690504979, 96.390, 3688.0, 60.7289
5.716765545, 96.390, 3762.0, 61.3351
5.743026110, 96.390, 3802.0, 61.6604
5.769286675, 96.390, 3576.0, 59.7997
5.795547241, 96.390, 3599.0, 59.9917
5.821807806, 96.390, 3591.0, 59.9250
5.848068371, 96.390, 3660.0, 60.4979
5.874328937, 96.390, 3619.0, 60.1581
5.900589502, 96.390, 3650.0, 60.4152
5.926850067, 96.390, 3711.0, 60.9180
5.953110633, 96.390, 3577.0, 59.8080
