[Measurement conditions]
Sample identification,XRD_SiCornernul_Act03May22_B1_0714M_NaOH_LS0173_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Jun/2022 13:31
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3846.0, 62.0161
5.033990845, 96.390, 4041.0, 63.5689
5.060251411, 96.390, 4066.0, 63.7652
5.086511976, 96.390, 3903.0, 62.4740
5.112772541, 96.390, 3775.0, 61.4410
5.139033107, 96.390, 3910.0, 62.5300
5.165293672, 96.390, 3795.0, 61.6036
5.191554237, 96.390, 3884.0, 62.3217
5.217814803, 96.390, 3836.0, 61.9355
5.244075368, 96.390, 3867.0, 62.1852
5.270335934, 96.390, 3708.0, 60.8933
5.296596499, 96.390, 3731.0, 61.0819
5.322857064, 96.390, 3634.0, 60.2827
5.349117630, 96.390, 3647.0, 60.3904
5.375378195, 96.390, 3723.0, 61.0164
5.401638760, 96.390, 3733.0, 61.0983
5.427899326, 96.390, 3637.0, 60.3075
5.454159891, 96.390, 3630.0, 60.2495
5.480420456, 96.390, 3672.0, 60.5970
5.506681022, 96.390, 3685.0, 60.7042
5.532941587, 96.390, 3723.0, 61.0164
5.559202152, 96.390, 3552.0, 59.5987
5.585462718, 96.390, 3543.0, 59.5231
5.611723283, 96.390, 3618.0, 60.1498
5.637983849, 96.390, 3615.0, 60.1249
5.664244414, 96.390, 3546.0, 59.5483
5.690504979, 96.390, 3631.0, 60.2578
5.716765545, 96.390, 3609.0, 60.0750
5.743026110, 96.390, 3525.0, 59.3717
5.769286675, 96.390, 3531.0, 59.4222
5.795547241, 96.390, 3455.0, 58.7792
5.821807806, 96.390, 3580.0, 59.8331
5.848068371, 96.390, 3670.0, 60.5805
5.874328937, 96.390, 3486.0, 59.0424
5.900589502, 96.390, 3514.0, 59.2790
5.926850067, 96.390, 3428.0, 58.5491
5.953110633, 96.390, 3524.0, 59.3633
5.979371198, 96.390, 3489.0, 59.0678
6.005631763, 96.390, 3451.0, 58.7452
6.031892329, 96.390, 3507.0, 59.2199
6.058152894, 96.390, 3464.0, 58.8558
6.084413460, 96.390, 3543.0, 59.5231
6.110674025, 96.390, 3485.0, 59.0339
6.136934590, 96.390, 3495.0, 59.1185
6.163195156, 96.390, 3475.0, 58.9491
6.189455721, 96.390, 3468.0, 58.8897
6.215716286, 96.390, 3407.0, 58.3695
6.241976852, 96.390, 3525.0, 59.3717
6.268237417, 96.390, 3517.0, 59.3043
6.294497982, 96.390, 3462.0, 58.8388
6.320758548, 96.390, 3467.0, 58.8812
6.347019113, 96.390, 3300.0, 57.4456
6.373279678, 96.390, 3328.0, 57.6888
6.399540244, 96.390, 3514.0, 59.2790
6.425800809, 96.390, 3475.0, 58.9491
6.452061375, 96.390, 3460.0, 58.8218
6.478321940, 96.390, 3390.0, 58.2237
6.504582505, 96.390, 3420.0, 58.4808
6.530843071, 96.390, 3460.0, 58.8218
6.557103636, 96.390, 3347.0, 57.8533
6.583364201, 96.390, 3356.0, 57.9310
6.609624767, 96.390, 3367.0, 58.0259
6.635885332, 96.390, 3515.0, 59.2874
6.662145897, 96.390, 3401.0, 58.3181
6.688406463, 96.390, 3356.0, 57.9310
6.714667028, 96.390, 3351.0, 57.8878
6.740927593, 96.390, 3383.0, 58.1636
6.767188159, 96.390, 3433.0, 58.5918
6.793448724, 96.390, 3436.0, 58.6174
6.819709289, 96.390, 3277.0, 57.2451
6.845969855, 96.390, 3330.0, 57.7062
6.872230420, 96.390, 3364.0, 58.0000
6.898490986, 96.390, 3415.0, 58.4380
6.924751551, 96.390, 3374.0, 58.0861
6.951012116, 96.390, 3362.0, 57.9828
6.977272682, 96.390, 3342.0, 57.8100
7.003533247, 96.390, 3467.0, 58.8812
7.029793812, 96.390, 3328.0, 57.6888
7.056054378, 96.390, 3390.0, 58.2237
7.082314943, 96.390, 3461.0, 58.8303
7.108575508, 96.390, 3329.0, 57.6975
7.134836074, 96.390, 3424.0, 58.5150
7.161096639, 96.390, 3431.0, 58.5747
7.187357204, 96.390, 3381.0, 58.1464
7.213617770, 96.390, 3499.0, 59.1523
7.239878335, 96.390, 3371.0, 58.0603
7.266138900, 96.390, 3428.0, 58.5491
7.292399466, 96.390, 3436.0, 58.6174
7.318660031, 96.390, 3412.0, 58.4123
