[Measurement conditions]
Sample identification,AlAxial23Mar22_Act12Feb23_B1_1000M_NaOH_LS0133_Num156
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 19:58
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3645.0, 60.3738
5.033990845, 96.390, 3580.0, 59.8331
5.060251411, 96.390, 3571.0, 59.7578
5.086511976, 96.390, 3691.0, 60.7536
5.112772541, 96.390, 3725.0, 61.0328
5.139033107, 96.390, 3561.0, 59.6741
5.165293672, 96.390, 3525.0, 59.3717
5.191554237, 96.390, 3635.0, 60.2910
5.217814803, 96.390, 3499.0, 59.1523
5.244075368, 96.390, 3552.0, 59.5987
5.270335934, 96.390, 3599.0, 59.9917
5.296596499, 96.390, 3422.0, 58.4979
5.322857064, 96.390, 3481.0, 59.0000
5.349117630, 96.390, 3416.0, 58.4466
5.375378195, 96.390, 3387.0, 58.1979
5.401638760, 96.390, 3427.0, 58.5406
5.427899326, 96.390, 3482.0, 59.0085
5.454159891, 96.390, 3471.0, 58.9152
5.480420456, 96.390, 3310.0, 57.5326
5.506681022, 96.390, 3233.0, 56.8595
5.532941587, 96.390, 3248.0, 56.9912
5.559202152, 96.390, 3359.0, 57.9569
5.585462718, 96.390, 3329.0, 57.6975
5.611723283, 96.390, 3338.0, 57.7754
5.637983849, 96.390, 3322.0, 57.6368
5.664244414, 96.390, 3293.0, 57.3847
5.690504979, 96.390, 3216.0, 56.7098
5.716765545, 96.390, 3289.0, 57.3498
5.743026110, 96.390, 3206.0, 56.6216
5.769286675, 96.390, 3222.0, 56.7627
5.795547241, 96.390, 3212.0, 56.6745
5.821807806, 96.390, 3240.0, 56.9210
5.848068371, 96.390, 3189.0, 56.4712
5.874328937, 96.390, 3170.0, 56.3028
5.900589502, 96.390, 3217.0, 56.7186
5.926850067, 96.390, 3142.0, 56.0535
5.953110633, 96.390, 3147.0, 56.0981
5.979371198, 96.390, 3087.0, 55.5608
6.005631763, 96.390, 3119.0, 55.8480
6.031892329, 96.390, 3113.0, 55.7943
6.058152894, 96.390, 3187.0, 56.4535
6.084413460, 96.390, 3196.0, 56.5332
6.110674025, 96.390, 3229.0, 56.8243
6.136934590, 96.390, 3090.0, 55.5878
6.163195156, 96.390, 3057.0, 55.2901
6.189455721, 96.390, 3116.0, 55.8211
6.215716286, 96.390, 3208.0, 56.6392
6.241976852, 96.390, 3261.0, 57.1052
6.268237417, 96.390, 3084.0, 55.5338
6.294497982, 96.390, 3122.0, 55.8749
6.320758548, 96.390, 3115.0, 55.8122
6.347019113, 96.390, 3018.0, 54.9363
6.373279678, 96.390, 3165.0, 56.2583
6.399540244, 96.390, 3225.0, 56.7891
6.425800809, 96.390, 3023.0, 54.9818
6.452061375, 96.390, 3191.0, 56.4889
6.478321940, 96.390, 3058.0, 55.2992
6.504582505, 96.390, 3089.0, 55.5788
6.530843071, 96.390, 3005.0, 54.8179
6.557103636, 96.390, 3007.0, 54.8361
6.583364201, 96.390, 3015.0, 54.9090
6.609624767, 96.390, 3166.0, 56.2672
6.635885332, 96.390, 3042.0, 55.1543
6.662145897, 96.390, 3117.0, 55.8301
6.688406463, 96.390, 3202.0, 56.5862
6.714667028, 96.390, 3156.0, 56.1783
6.740927593, 96.390, 3173.0, 56.3294
6.767188159, 96.390, 3203.0, 56.5951
6.793448724, 96.390, 3165.0, 56.2583
6.819709289, 96.390, 3138.0, 56.0179
6.845969855, 96.390, 3164.0, 56.2494
6.872230420, 96.390, 3129.0, 55.9375
6.898490986, 96.390, 3241.0, 56.9298
6.924751551, 96.390, 3277.0, 57.2451
6.951012116, 96.390, 3322.0, 57.6368
6.977272682, 96.390, 3362.0, 57.9828
7.003533247, 96.390, 3316.0, 57.5847
7.029793812, 96.390, 3529.0, 59.4054
7.056054378, 96.390, 3727.0, 61.0492
7.082314943, 96.390, 3869.0, 62.2013
7.108575508, 96.390, 4167.0, 64.5523
7.134836074, 96.390, 4521.0, 67.2384
7.161096639, 96.390, 5095.0, 71.3793
7.187357204, 96.390, 5600.0, 74.8331
7.213617770, 96.390, 5141.0, 71.7008
7.239878335, 96.390, 3750.0, 61.2372
7.266138900, 96.390, 3226.0, 56.7979
7.292399466, 96.390, 3041.0, 55.1453
7.318660031, 96.390, 3088.0, 55.5698
7.344920597, 96.390, 2975.0, 54.5436
7.371181162, 96.390, 3064.0, 55.3534
7.397441727, 96.390, 2888.0, 53.7401
7.423702293, 96.390, 2886.0, 53.7215
7.449962858, 96.390, 2920.0, 54.0370
7.476223423, 96.390, 2992.0, 54.6992
7.502483989, 96.390, 3013.0, 54.8908
7.528744554, 96.390, 2838.0, 53.2729
7.555005119, 96.390, 2967.0, 54.4702
