[Measurement conditions]
Sample identification,Centroid08Dec21_Act12Feb23_B1_0714M_NaOH_LS0173_Num150
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 18:04
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4020.0, 63.4035
5.033990845, 96.390, 4203.0, 64.8305
5.060251411, 96.390, 3985.0, 63.1269
5.086511976, 96.390, 4125.0, 64.2262
5.112772541, 96.390, 4144.0, 64.3739
5.139033107, 96.390, 4045.0, 63.6003
5.165293672, 96.390, 4106.0, 64.0781
5.191554237, 96.390, 4048.0, 63.6239
5.217814803, 96.390, 4026.0, 63.4508
5.244075368, 96.390, 4174.0, 64.6065
5.270335934, 96.390, 3946.0, 62.8172
5.296596499, 96.390, 4021.0, 63.4114
5.322857064, 96.390, 4064.0, 63.7495
5.349117630, 96.390, 4061.0, 63.7260
5.375378195, 96.390, 3979.0, 63.0793
5.401638760, 96.390, 3855.0, 62.0886
5.427899326, 96.390, 3875.0, 62.2495
5.454159891, 96.390, 3814.0, 61.7576
5.480420456, 96.390, 3819.0, 61.7981
5.506681022, 96.390, 3711.0, 60.9180
5.532941587, 96.390, 3800.0, 61.6441
5.559202152, 96.390, 3929.0, 62.6817
5.585462718, 96.390, 3645.0, 60.3738
5.611723283, 96.390, 3723.0, 61.0164
5.637983849, 96.390, 3701.0, 60.8358
5.664244414, 96.390, 3770.0, 61.4003
5.690504979, 96.390, 3775.0, 61.4410
5.716765545, 96.390, 3661.0, 60.5062
5.743026110, 96.390, 3693.0, 60.7701
5.769286675, 96.390, 3590.0, 59.9166
5.795547241, 96.390, 3679.0, 60.6548
5.821807806, 96.390, 3668.0, 60.5640
5.848068371, 96.390, 3705.0, 60.8687
5.874328937, 96.390, 3680.0, 60.6630
5.900589502, 96.390, 3511.0, 59.2537
5.926850067, 96.390, 3706.0, 60.8769
5.953110633, 96.390, 3715.0, 60.9508
5.979371198, 96.390, 3675.0, 60.6218
6.005631763, 96.390, 3585.0, 59.8749
6.031892329, 96.390, 3594.0, 59.9500
6.058152894, 96.390, 3626.0, 60.2163
6.084413460, 96.390, 3734.0, 61.1065
6.110674025, 96.390, 3672.0, 60.5970
6.136934590, 96.390, 3715.0, 60.9508
6.163195156, 96.390, 3517.0, 59.3043
6.189455721, 96.390, 3485.0, 59.0339
6.215716286, 96.390, 3589.0, 59.9083
6.241976852, 96.390, 3680.0, 60.6630
6.268237417, 96.390, 3551.0, 59.5903
6.294497982, 96.390, 3608.0, 60.0666
6.320758548, 96.390, 3580.0, 59.8331
6.347019113, 96.390, 3583.0, 59.8582
6.373279678, 96.390, 3668.0, 60.5640
6.399540244, 96.390, 3603.0, 60.0250
6.425800809, 96.390, 3503.0, 59.1861
6.452061375, 96.390, 3456.0, 58.7878
6.478321940, 96.390, 3580.0, 59.8331
6.504582505, 96.390, 3555.0, 59.6238
6.530843071, 96.390, 3469.0, 58.8982
6.557103636, 96.390, 3547.0, 59.5567
6.583364201, 96.390, 3527.0, 59.3886
6.609624767, 96.390, 3760.0, 61.3188
6.635885332, 96.390, 3633.0, 60.2744
6.662145897, 96.390, 3533.0, 59.4390
6.688406463, 96.390, 3676.0, 60.6300
6.714667028, 96.390, 3594.0, 59.9500
6.740927593, 96.390, 3600.0, 60.0000
6.767188159, 96.390, 3457.0, 58.7963
6.793448724, 96.390, 3485.0, 59.0339
6.819709289, 96.390, 3438.0, 58.6345
6.845969855, 96.390, 3578.0, 59.8164
6.872230420, 96.390, 3642.0, 60.3490
6.898490986, 96.390, 3490.0, 59.0762
6.924751551, 96.390, 3537.0, 59.4727
6.951012116, 96.390, 3464.0, 58.8558
6.977272682, 96.390, 3586.0, 59.8832
7.003533247, 96.390, 3589.0, 59.9083
7.029793812, 96.390, 3501.0, 59.1692
7.056054378, 96.390, 3490.0, 59.0762
7.082314943, 96.390, 3578.0, 59.8164
7.108575508, 96.390, 3474.0, 58.9406
7.134836074, 96.390, 3521.0, 59.3380
7.161096639, 96.390, 3653.0, 60.4401
7.187357204, 96.390, 3434.0, 58.6003
7.213617770, 96.390, 3513.0, 59.2706
7.239878335, 96.390, 3601.0, 60.0083
7.266138900, 96.390, 3544.0, 59.5315
7.292399466, 96.390, 3530.0, 59.4138
7.318660031, 96.390, 3518.0, 59.3127
7.344920597, 96.390, 3517.0, 59.3043
7.371181162, 96.390, 3536.0, 59.4643
7.397441727, 96.390, 3556.0, 59.6322
7.423702293, 96.390, 3424.0, 58.5150
7.449962858, 96.390, 3537.0, 59.4727
