[Measurement conditions],,,
Sample identification,MgAxial24Jan22_Act12Feb23_B1_0714M_NaOH_LS0173_Num154,,
Comment - 2,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM",,
Comment - 3,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 4,Sample stage=Stage for flat samples/holders,,
Comment - 5,Diffractometer system=EMPYREAN,,
Comment - 6,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.25,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/15/2023 19:20,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Time per step,96.39,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,4178,64.6375
5.033990845,96.39,4165,64.5368
5.060251411,96.39,4215,64.923
5.086511976,96.39,4192,64.7457
5.112772541,96.39,4247,65.169
5.139033107,96.39,4262,65.284
5.165293672,96.39,4156,64.467
5.191554237,96.39,3992,63.1823
5.217814803,96.39,4144,64.3739
5.244075368,96.39,4145,64.3817
5.270335934,96.39,4015,63.364
5.296596499,96.39,4059,63.7103
5.322857064,96.39,4019,63.3956
5.34911763,96.39,4088,63.9375
5.375378195,96.39,3921,62.6179
5.40163876,96.39,3957,62.9047
5.427899326,96.39,3885,62.3298
5.454159891,96.39,3835,61.9274
5.480420456,96.39,3907,62.506
5.506681022,96.39,3900,62.45
5.532941587,96.39,3884,62.3217
5.559202152,96.39,3839,61.9597
5.585462718,96.39,3837,61.9435
5.611723283,96.39,3754,61.2699
5.637983849,96.39,3778,61.4654
5.664244414,96.39,3799,61.636
5.690504979,96.39,3839,61.9597
5.716765545,96.39,3811,61.7333
5.74302611,96.39,3731,61.0819
5.769286675,96.39,3718,60.9754
5.795547241,96.39,3712,60.9262
5.821807806,96.39,3688,60.7289
5.848068371,96.39,3779,61.4736
5.874328937,96.39,3731,61.0819
5.900589502,96.39,3873,62.2334
5.926850067,96.39,3733,61.0983
5.953110633,96.39,3644,60.3656
5.979371198,96.39,3621,60.1747
6.005631763,96.39,3701,60.8358
6.031892329,96.39,3869,62.2013
6.058152894,96.39,3653,60.4401
6.08441346,96.39,3677,60.6383
6.110674025,96.39,3553,59.607
6.13693459,96.39,3636,60.2993
6.163195156,96.39,3786,61.5305
6.189455721,96.39,3579,59.8247
6.215716286,96.39,3657,60.4731
6.241976852,96.39,3712,60.9262
6.268237417,96.39,3675,60.6218
6.294497982,96.39,3558,59.649
6.320758548,96.39,3578,59.8164
6.347019113,96.39,3564,59.6992
6.373279678,96.39,3571,59.7578
6.399540244,96.39,3613,60.1082
6.425800809,96.39,3710,60.9098
6.452061375,96.39,3557,59.6406
6.47832194,96.39,3551,59.5903
6.504582505,96.39,3550,59.5819
6.530843071,96.39,3485,59.0339
6.557103636,96.39,3576,59.7997
6.583364201,96.39,3538,59.4811
6.609624767,96.39,3573,59.7746
6.635885332,96.39,3482,59.0085
6.662145897,96.39,3456,58.7878
6.688406463,96.39,3566,59.716
6.714667028,96.39,3411,58.4038
6.740927593,96.39,3443,58.6771
6.767188159,96.39,3478,58.9746
6.793448724,96.39,3494,59.1101
6.819709289,96.39,3462,58.8388
6.845969855,96.39,3412,58.4123
6.87223042,96.39,3352,57.8965
6.898490986,96.39,3384,58.1722
6.924751551,96.39,3455,58.7792
6.951012116,96.39,3523,59.3549
6.977272682,96.39,3392,58.2409
7.003533247,96.39,3477,58.9661
7.029793812,96.39,3412,58.4123
7.056054378,96.39,3358,57.9483
7.082314943,96.39,3349,57.8705
7.108575508,96.39,3471,58.9152
7.134836074,96.39,3484,59.0254
7.161096639,96.39,3464,58.8558
7.187357204,96.39,3380,58.1378
7.21361777,96.39,3363,57.9914
7.239878335,96.39,3346,57.8446
7.2661389,96.39,3443,58.6771
7.292399466,96.39,3368,58.0345
7.318660031,96.39,3379,58.1292
7.344920597,96.39,3474,58.9406
7.371181162,96.39,3538,59.4811
7.397441727,96.39,3419,58.4722
7.423702293,96.39,3402,58.3267
7.449962858,96.39,3348,57.8619
7.476223423,96.39,3250,57.0088
7.502483989,96.39,3261,57.1052
7.528744554,96.39,3354,57.9137
7.555005119,96.39,3390,58.2237
7.581265685,96.39,3506,59.2115
7.60752625,96.39,3290,57.3585
7.633786815,96.39,3462,58.8388
7.660047381,96.39,3356,57.931
7.686307946,96.39,3235,56.8771
7.712568512,96.39,3364,58
7.738829077,96.39,3300,57.4456
7.765089642,96.39,3387,58.1979
7.791350208,96.39,3355,57.9224
7.817610773,96.39,3316,57.5847
7.843871338,96.39,3404,58.3438
7.870131904,96.39,3339,57.7841
7.896392469,96.39,3431,58.5747
7.922653034,96.39,3313,57.5587
7.9489136,96.39,3417,58.4551
7.975174165,96.39,3375,58.0948
8.00143473,96.39,3332,57.7235
8.027695296,96.39,3490,59.0762
8.053955861,96.39,3456,58.7878
8.080216426,96.39,3530,59.4138
8.106476992,96.39,3584,59.8665
8.132737557,96.39,3774,61.4329
8.158998123,96.39,3648,60.3987
8.185258688,96.39,3424,58.515
8.211519253,96.39,3300,57.4456
8.237779819,96.39,3368,58.0345
8.264040384,96.39,3223,56.7715
8.290300949,96.39,3287,57.3324
8.316561515,96.39,3296,57.4108
8.34282208,96.39,3221,56.7539
8.369082645,96.39,3295,57.4021
8.395343211,96.39,3191,56.4889
8.421603776,96.39,3201,56.5774
8.447864341,96.39,3334,57.7408
8.474124907,96.39,3317,57.5934
8.500385472,96.39,3294,57.3934
8.526646038,96.39,3349,57.8705
8.552906603,96.39,3274,57.2189
8.579167168,96.39,3241,56.9298
8.605427734,96.39,3369,58.0431
8.631688299,96.39,3324,57.6541
8.657948864,96.39,3263,57.1227
8.68420943,96.39,3219,56.7362
8.710469995,96.39,3273,57.2101
8.73673056,96.39,3292,57.376
8.762991126,96.39,3352,57.8965
8.789251691,96.39,3300,57.4456
8.815512256,96.39,3310,57.5326
8.841772822,96.39,3238,56.9034
8.868033387,96.39,3338,57.7754
8.894293952,96.39,3317,57.5934
8.920554518,96.39,3305,57.4891
8.946815083,96.39,3342,57.81
8.973075649,96.39,3267,57.1577
8.999336214,96.39,3213,56.6833
9.025596779,96.39,3319,57.6108
9.051857345,96.39,3270,57.1839
9.07811791,96.39,3302,57.463
9.104378475,96.39,3341,57.8014
9.130639041,96.39,3249,57
9.156899606,96.39,3374,58.0861
9.183160171,96.39,3349,57.8705
9.209420737,96.39,3461,58.8303
9.235681302,96.39,3414,58.4294
9.261941867,96.39,3396,58.2752
9.288202433,96.39,3391,58.2323
9.314462998,96.39,3342,57.81
9.340723564,96.39,3404,58.3438
9.366984129,96.39,3387,58.1979
9.393244694,96.39,3456,58.7878
9.41950526,96.39,3459,58.8133
9.445765825,96.39,3421,58.4893
9.47202639,96.39,3516,59.2959
9.498286956,96.39,3391,58.2323
9.524547521,96.39,3400,58.3095
9.550808086,96.39,3468,58.8897
9.577068652,96.39,3481,59
9.603329217,96.39,3597,59.975
9.629589782,96.39,3516,59.2959
9.655850348,96.39,3579,59.8247
9.682110913,96.39,3462,58.8388
9.708371478,96.39,3532,59.4306
9.734632044,96.39,3637,60.3075
9.760892609,96.39,3599,59.9917
9.787153175,96.39,3648,60.3987
9.81341374,96.39,3523,59.3549
9.839674305,96.39,3678,60.6465
9.865934871,96.39,3623,60.1914
9.892195436,96.39,3560,59.6657
9.918456001,96.39,3655,60.4566
9.944716567,96.39,3650,60.4152
9.970977132,96.39,3553,59.607
9.997237697,96.39,3670,60.5805
10.02349826,96.39,3742,61.1719
10.04975883,96.39,3803,61.6685
10.07601939,96.39,3722,61.0082
10.10227996,96.39,3637,60.3075
10.12854052,96.39,3820,61.8061
10.15480109,96.39,3784,61.5142
10.18106166,96.39,3744,61.1882
10.20732222,96.39,3788,61.5467
10.23358279,96.39,3935,62.7296
10.25984335,96.39,3783,61.5061
10.28610392,96.39,3945,62.8092
10.31236448,96.39,3871,62.2174
10.33862505,96.39,3856,62.0967
10.36488561,96.39,3910,62.53
10.39114618,96.39,3900,62.45
10.41740674,96.39,3927,62.6658
10.44366731,96.39,3975,63.0476
10.46992787,96.39,4010,63.3246
10.49618844,96.39,4112,64.1249
10.522449,96.39,3924,62.6418
10.54870957,96.39,4083,63.8984
10.57497014,96.39,3982,63.1031
10.6012307,96.39,3998,63.2297
10.62749127,96.39,3991,63.1744
10.65375183,96.39,3921,62.6179
