[Measurement conditions]
Sample identification,Corner10Feb22_Act12Feb23_B1_1000M_NaOH_LS0133_Num157
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 20:17
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5020.0, 70.8520
5.033990845, 96.390, 4957.0, 70.4060
5.060251411, 96.390, 5021.0, 70.8590
5.086511976, 96.390, 4991.0, 70.6470
5.112772541, 96.390, 4861.0, 69.7209
5.139033107, 96.390, 4972.0, 70.5124
5.165293672, 96.390, 5011.0, 70.7884
5.191554237, 96.390, 4887.0, 69.9071
5.217814803, 96.390, 4824.0, 69.4550
5.244075368, 96.390, 4936.0, 70.2567
5.270335934, 96.390, 4688.0, 68.4690
5.296596499, 96.390, 4752.0, 68.9348
5.322857064, 96.390, 4800.0, 69.2820
5.349117630, 96.390, 4751.0, 68.9275
5.375378195, 96.390, 4718.0, 68.6877
5.401638760, 96.390, 4606.0, 67.8675
5.427899326, 96.390, 4557.0, 67.5056
5.454159891, 96.390, 4473.0, 66.8805
5.480420456, 96.390, 4516.0, 67.2012
5.506681022, 96.390, 4485.0, 66.9701
5.532941587, 96.390, 4410.0, 66.4078
5.559202152, 96.390, 4291.0, 65.5057
5.585462718, 96.390, 4461.0, 66.7907
5.611723283, 96.390, 4352.0, 65.9697
5.637983849, 96.390, 4386.0, 66.2269
5.664244414, 96.390, 4184.0, 64.6838
5.690504979, 96.390, 4374.0, 66.1362
5.716765545, 96.390, 4333.0, 65.8255
5.743026110, 96.390, 4307.0, 65.6277
5.769286675, 96.390, 4259.0, 65.2610
5.795547241, 96.390, 4262.0, 65.2840
5.821807806, 96.390, 4274.0, 65.3758
5.848068371, 96.390, 4268.0, 65.3299
5.874328937, 96.390, 4289.0, 65.4905
5.900589502, 96.390, 4255.0, 65.2304
5.926850067, 96.390, 4151.0, 64.4283
5.953110633, 96.390, 4212.0, 64.8999
5.979371198, 96.390, 4102.0, 64.0469
6.005631763, 96.390, 4234.0, 65.0692
6.031892329, 96.390, 4106.0, 64.0781
6.058152894, 96.390, 4316.0, 65.6963
6.084413460, 96.390, 4139.0, 64.3351
6.110674025, 96.390, 4107.0, 64.0859
6.136934590, 96.390, 4015.0, 63.3640
6.163195156, 96.390, 4119.0, 64.1794
6.189455721, 96.390, 4025.0, 63.4429
6.215716286, 96.390, 4045.0, 63.6003
6.241976852, 96.390, 4025.0, 63.4429
6.268237417, 96.390, 3969.0, 63.0000
6.294497982, 96.390, 4042.0, 63.5767
6.320758548, 96.390, 4045.0, 63.6003
6.347019113, 96.390, 3917.0, 62.5859
6.373279678, 96.390, 3832.0, 61.9032
6.399540244, 96.390, 3918.0, 62.5939
6.425800809, 96.390, 3949.0, 62.8411
6.452061375, 96.390, 3956.0, 62.8967
6.478321940, 96.390, 4007.0, 63.3009
6.504582505, 96.390, 4011.0, 63.3325
6.530843071, 96.390, 3957.0, 62.9047
6.557103636, 96.390, 3987.0, 63.1427
