[Measurement conditions]
Sample identification,PO4Free14Apr22_Act12Feb23_B1_1000M_NaOH_LS0133_Num159
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 20:55
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4697.0, 68.5347
5.033990845, 96.390, 4790.0, 69.2098
5.060251411, 96.390, 4740.0, 68.8477
5.086511976, 96.390, 4714.0, 68.6586
5.112772541, 96.390, 4837.0, 69.5485
5.139033107, 96.390, 4831.0, 69.5054
5.165293672, 96.390, 4645.0, 68.1542
5.191554237, 96.390, 4646.0, 68.1616
5.217814803, 96.390, 4742.0, 68.8622
5.244075368, 96.390, 4847.0, 69.6204
5.270335934, 96.390, 4846.0, 69.6132
5.296596499, 96.390, 4678.0, 68.3959
5.322857064, 96.390, 4813.0, 69.3758
5.349117630, 96.390, 4756.0, 68.9638
5.375378195, 96.390, 4844.0, 69.5989
5.401638760, 96.390, 4868.0, 69.7711
5.427899326, 96.390, 4855.0, 69.6778
5.454159891, 96.390, 4905.0, 70.0357
5.480420456, 96.390, 5069.0, 71.1969
5.506681022, 96.390, 5010.0, 70.7814
5.532941587, 96.390, 5013.0, 70.8025
5.559202152, 96.390, 5223.0, 72.2703
5.585462718, 96.390, 5251.0, 72.4638
5.611723283, 96.390, 5249.0, 72.4500
5.637983849, 96.390, 5373.0, 73.3008
5.664244414, 96.390, 5665.0, 75.2662
5.690504979, 96.390, 5712.0, 75.5778
5.716765545, 96.390, 5983.0, 77.3499
5.743026110, 96.390, 5998.0, 77.4468
5.769286675, 96.390, 6312.0, 79.4481
5.795547241, 96.390, 6391.0, 79.9437
5.821807806, 96.390, 6355.0, 79.7183
