[Measurement conditions],,,
Sample identification,SiAxial30Mar22_Act12Feb23_B1_0714M_NaOH_LS0173_Num152,,
Comment - 2,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM",,
Comment - 3,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 4,Sample stage=Stage for flat samples/holders,,
Comment - 5,Diffractometer system=EMPYREAN,,
Comment - 6,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.25,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/15/2023 18:42,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Time per step,96.39,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,4379,66.174
5.033990845,96.39,4210,64.8845
5.060251411,96.39,4342,65.8939
5.086511976,96.39,4249,65.1844
5.112772541,96.39,4318,65.7115
5.139033107,96.39,4243,65.1383
5.165293672,96.39,4107,64.0859
5.191554237,96.39,4108,64.0937
5.217814803,96.39,4168,64.56
5.244075368,96.39,4125,64.2262
5.270335934,96.39,4152,64.436
5.296596499,96.39,4063,63.7417
5.322857064,96.39,4111,64.1171
5.34911763,96.39,4020,63.4035
5.375378195,96.39,3858,62.1128
5.40163876,96.39,3975,63.0476
5.427899326,96.39,4021,63.4114
5.454159891,96.39,3916,62.578
5.480420456,96.39,3971,63.0159
5.506681022,96.39,3900,62.45
5.532941587,96.39,3800,61.6441
5.559202152,96.39,3836,61.9355
5.585462718,96.39,3948,62.8331
5.611723283,96.39,3828,61.8708
5.637983849,96.39,3876,62.2575
5.664244414,96.39,3760,61.3188
5.690504979,96.39,3782,61.498
5.716765545,96.39,3815,61.7657
5.74302611,96.39,3691,60.7536
5.769286675,96.39,3742,61.1719
5.795547241,96.39,3760,61.3188
5.821807806,96.39,3915,62.57
5.848068371,96.39,3795,61.6036
5.874328937,96.39,3709,60.9016
5.900589502,96.39,3766,61.3677
5.926850067,96.39,3622,60.1831
5.953110633,96.39,3702,60.8441
5.979371198,96.39,3728,61.0574
6.005631763,96.39,3702,60.8441
6.031892329,96.39,3690,60.7454
6.058152894,96.39,3696,60.7947
6.08441346,96.39,3710,60.9098
6.110674025,96.39,3665,60.5392
6.13693459,96.39,3604,60.0333
6.163195156,96.39,3660,60.4979
6.189455721,96.39,3742,61.1719
6.215716286,96.39,3670,60.5805
6.241976852,96.39,3656,60.4649
6.268237417,96.39,3664,60.531
6.294497982,96.39,3679,60.6548
6.320758548,96.39,3637,60.3075
6.347019113,96.39,3571,59.7578
6.373279678,96.39,3646,60.3821
6.399540244,96.39,3601,60.0083
6.425800809,96.39,3746,61.2046
6.452061375,96.39,3595,59.9583
6.47832194,96.39,3682,60.6795
6.504582505,96.39,3685,60.7042
6.530843071,96.39,3609,60.075
6.557103636,96.39,3627,60.2246
6.583364201,96.39,3717,60.9672
6.609624767,96.39,3749,61.2291
6.635885332,96.39,3591,59.925
6.662145897,96.39,3612,60.0999
6.688406463,96.39,3657,60.4731
6.714667028,96.39,3631,60.2578
6.740927593,96.39,3655,60.4566
6.767188159,96.39,3555,59.6238
6.793448724,96.39,3595,59.9583
6.819709289,96.39,3584,59.8665
6.845969855,96.39,3630,60.2495
6.87223042,96.39,3536,59.4643
6.898490986,96.39,3574,59.7829
6.924751551,96.39,3670,60.5805
6.951012116,96.39,3596,59.9667
6.977272682,96.39,3478,58.9746
7.003533247,96.39,3564,59.6992
7.029793812,96.39,3609,60.075
7.056054378,96.39,3493,59.1016
7.082314943,96.39,3659,60.4897
7.108575508,96.39,3557,59.6406
7.134836074,96.39,3547,59.5567
7.161096639,96.39,3531,59.4222
7.187357204,96.39,3534,59.4475
7.21361777,96.39,3660,60.4979
7.239878335,96.39,3612,60.0999
7.2661389,96.39,3582,59.8498
7.292399466,96.39,3600,60
7.318660031,96.39,3576,59.7997
7.344920597,96.39,3689,60.7371
7.371181162,96.39,3494,59.1101
7.397441727,96.39,3628,60.2329
7.423702293,96.39,3539,59.4895
7.449962858,96.39,3551,59.5903
7.476223423,96.39,3587,59.8916
7.502483989,96.39,3553,59.607
7.528744554,96.39,3523,59.3549
7.555005119,96.39,3567,59.7244
7.581265685,96.39,3572,59.7662
7.60752625,96.39,3494,59.1101
7.633786815,96.39,3578,59.8164
7.660047381,96.39,3577,59.808
7.686307946,96.39,3582,59.8498
7.712568512,96.39,3617,60.1415
7.738829077,96.39,3679,60.6548
7.765089642,96.39,3612,60.0999
7.791350208,96.39,3664,60.531
7.817610773,96.39,3584,59.8665
7.843871338,96.39,3553,59.607
7.870131904,96.39,3620,60.1664
7.896392469,96.39,3635,60.291
7.922653034,96.39,3532,59.4306
7.9489136,96.39,3599,59.9917
7.975174165,96.39,3655,60.4566
8.00143473,96.39,3712,60.9262
8.027695296,96.39,3662,60.5145
8.053955861,96.39,3563,59.6909
8.080216426,96.39,3608,60.0666
8.106476992,96.39,3630,60.2495
8.132737557,96.39,3603,60.025
8.158998123,96.39,3658,60.4814
8.185258688,96.39,3587,59.8916
8.211519253,96.39,3551,59.5903
8.237779819,96.39,3561,59.6741
8.264040384,96.39,3529,59.4054
8.290300949,96.39,3686,60.7124
8.316561515,96.39,3606,60.05
8.34282208,96.39,3553,59.607
8.369082645,96.39,3549,59.5735
8.395343211,96.39,3540,59.4979
8.421603776,96.39,3488,59.0593
8.447864341,96.39,3648,60.3987
8.474124907,96.39,3577,59.808
8.500385472,96.39,3536,59.4643
8.526646038,96.39,3548,59.5651
8.552906603,96.39,3599,59.9917
8.579167168,96.39,3651,60.4235
8.605427734,96.39,3491,59.0847
8.631688299,96.39,3541,59.5063
8.657948864,96.39,3597,59.975
8.68420943,96.39,3639,60.3241
8.710469995,96.39,3564,59.6992
8.73673056,96.39,3564,59.6992
8.762991126,96.39,3638,60.3158
8.789251691,96.39,3537,59.4727
8.815512256,96.39,3587,59.8916
8.841772822,96.39,3404,58.3438
8.868033387,96.39,3479,58.983
8.894293952,96.39,3535,59.4559
8.920554518,96.39,3584,59.8665
8.946815083,96.39,3620,60.1664
8.973075649,96.39,3537,59.4727
8.999336214,96.39,3410,58.3952
9.025596779,96.39,3536,59.4643
9.051857345,96.39,3407,58.3695
9.07811791,96.39,3485,59.0339
9.104378475,96.39,3494,59.1101
9.130639041,96.39,3511,59.2537
9.156899606,96.39,3353,57.9051
9.183160171,96.39,3548,59.5651
9.209420737,96.39,3428,58.5491
9.235681302,96.39,3537,59.4727
9.261941867,96.39,3421,58.4893
9.288202433,96.39,3417,58.4551
9.314462998,96.39,3452,58.7537
9.340723564,96.39,3474,58.9406
9.366984129,96.39,3372,58.0689
9.393244694,96.39,3431,58.5747
9.41950526,96.39,3413,58.4209
9.445765825,96.39,3319,57.6108
9.47202639,96.39,3402,58.3267
9.498286956,96.39,3440,58.6515
9.524547521,96.39,3383,58.1636
9.550808086,96.39,3366,58.0172
9.577068652,96.39,3374,58.0861
9.603329217,96.39,3463,58.8473
9.629589782,96.39,3412,58.4123
9.655850348,96.39,3265,57.1402
9.682110913,96.39,3297,57.4195
9.708371478,96.39,3311,57.5413
9.734632044,96.39,3297,57.4195
9.760892609,96.39,3213,56.6833
9.787153175,96.39,3385,58.1808
9.81341374,96.39,3275,57.2276
9.839674305,96.39,3311,57.5413
9.865934871,96.39,3241,56.9298
9.892195436,96.39,3285,57.3149
9.918456001,96.39,3196,56.5332
9.944716567,96.39,3356,57.931
9.970977132,96.39,3332,57.7235
9.997237697,96.39,3261,57.1052
10.02349826,96.39,3300,57.4456
10.04975883,96.39,3267,57.1577
10.07601939,96.39,3258,57.0789
10.10227996,96.39,3260,57.0964
10.12854052,96.39,3295,57.4021
10.15480109,96.39,3213,56.6833
10.18106166,96.39,3202,56.5862
10.20732222,96.39,3167,56.2761
10.23358279,96.39,3327,57.6802
10.25984335,96.39,3078,55.4797
10.28610392,96.39,3333,57.7321
10.31236448,96.39,3123,55.8838
10.33862505,96.39,3242,56.9386
10.36488561,96.39,3208,56.6392
10.39114618,96.39,3101,55.6866
10.41740674,96.39,3273,57.2101
10.44366731,96.39,3358,57.9483
10.46992787,96.39,3266,57.1489
10.49618844,96.39,3162,56.2317
10.522449,96.39,3115,55.8122
10.54870957,96.39,3043,55.1634
10.57497014,96.39,3081,55.5068
10.6012307,96.39,3083,55.5248
10.62749127,96.39,3116,55.8211
10.65375183,96.39,3111,55.7763
