[Measurement conditions]
Sample identification,SiCorner03Nov21_Act12Feb23_B1_0833M_NaOH_LS0153_Num151
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 18:23
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3938.0, 62.7535
5.033990845, 96.390, 3985.0, 63.1269
5.060251411, 96.390, 3882.0, 62.3057
5.086511976, 96.390, 3871.0, 62.2174
5.112772541, 96.390, 3840.0, 61.9677
5.139033107, 96.390, 3804.0, 61.6766
5.165293672, 96.390, 3910.0, 62.5300
5.191554237, 96.390, 3886.0, 62.3378
5.217814803, 96.390, 3647.0, 60.3904
5.244075368, 96.390, 3598.0, 59.9833
5.270335934, 96.390, 3742.0, 61.1719
5.296596499, 96.390, 3696.0, 60.7947
5.322857064, 96.390, 3687.0, 60.7207
5.349117630, 96.390, 3646.0, 60.3821
5.375378195, 96.390, 3576.0, 59.7997
5.401638760, 96.390, 3590.0, 59.9166
5.427899326, 96.390, 3554.0, 59.6154
5.454159891, 96.390, 3561.0, 59.6741
5.480420456, 96.390, 3538.0, 59.4811
5.506681022, 96.390, 3594.0, 59.9500
5.532941587, 96.390, 3619.0, 60.1581
5.559202152, 96.390, 3497.0, 59.1354
5.585462718, 96.390, 3491.0, 59.0847
5.611723283, 96.390, 3470.0, 58.9067
5.637983849, 96.390, 3588.0, 59.8999
5.664244414, 96.390, 3492.0, 59.0931
5.690504979, 96.390, 3488.0, 59.0593
5.716765545, 96.390, 3572.0, 59.7662
5.743026110, 96.390, 3611.0, 60.0916
5.769286675, 96.390, 3514.0, 59.2790
5.795547241, 96.390, 3543.0, 59.5231
5.821807806, 96.390, 3461.0, 58.8303
5.848068371, 96.390, 3531.0, 59.4222
5.874328937, 96.390, 3487.0, 59.0508
5.900589502, 96.390, 3420.0, 58.4808
5.926850067, 96.390, 3511.0, 59.2537
5.953110633, 96.390, 3442.0, 58.6686
5.979371198, 96.390, 3545.0, 59.5399
6.005631763, 96.390, 3527.0, 59.3886
6.031892329, 96.390, 3393.0, 58.2495
6.058152894, 96.390, 3485.0, 59.0339
6.084413460, 96.390, 3388.0, 58.2065
6.110674025, 96.390, 3535.0, 59.4559
6.136934590, 96.390, 3468.0, 58.8897
6.163195156, 96.390, 3375.0, 58.0948
6.189455721, 96.390, 3563.0, 59.6909
6.215716286, 96.390, 3471.0, 58.9152
6.241976852, 96.390, 3444.0, 58.6856
6.268237417, 96.390, 3489.0, 59.0678
6.294497982, 96.390, 3482.0, 59.0085
6.320758548, 96.390, 3401.0, 58.3181
6.347019113, 96.390, 3435.0, 58.6089
6.373279678, 96.390, 3445.0, 58.6941
6.399540244, 96.390, 3444.0, 58.6856
6.425800809, 96.390, 3464.0, 58.8558
6.452061375, 96.390, 3568.0, 59.7327
6.478321940, 96.390, 3489.0, 59.0678
6.504582505, 96.390, 3389.0, 58.2151
6.530843071, 96.390, 3469.0, 58.8982
6.557103636, 96.390, 3505.0, 59.2030
6.583364201, 96.390, 3382.0, 58.1550
6.609624767, 96.390, 3411.0, 58.4038
6.635885332, 96.390, 3432.0, 58.5833
6.662145897, 96.390, 3527.0, 59.3886
6.688406463, 96.390, 3381.0, 58.1464
6.714667028, 96.390, 3380.0, 58.1378
6.740927593, 96.390, 3481.0, 59.0000
6.767188159, 96.390, 3557.0, 59.6406
6.793448724, 96.390, 3438.0, 58.6345
6.819709289, 96.390, 3534.0, 59.4475
6.845969855, 96.390, 3322.0, 57.6368
6.872230420, 96.390, 3361.0, 57.9741
6.898490986, 96.390, 3397.0, 58.2838
6.924751551, 96.390, 3248.0, 56.9912
6.951012116, 96.390, 3361.0, 57.9741
6.977272682, 96.390, 3310.0, 57.5326
7.003533247, 96.390, 3500.0, 59.1608
7.029793812, 96.390, 3469.0, 58.8982
7.056054378, 96.390, 3417.0, 58.4551
7.082314943, 96.390, 3412.0, 58.4123
7.108575508, 96.390, 3355.0, 57.9224
7.134836074, 96.390, 3366.0, 58.0172
7.161096639, 96.390, 3335.0, 57.7495
