[Measurement conditions],,,
Sample identification,Centroid08Dec21_Act13Feb23_B1_0714M_NaOH_LS0173_Num160,,
Comment - 2,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM",,
Comment - 3,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 4,Sample stage=Stage for flat samples/holders,,
Comment - 5,Diffractometer system=EMPYREAN,,
Comment - 6,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.25,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/15/2023 21:13,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Time per step,96.39,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,4150,64.4205
5.033990845,96.39,4110,64.1093
5.060251411,96.39,4181,64.6607
5.086511976,96.39,4068,63.7809
5.112772541,96.39,4125,64.2262
5.139033107,96.39,4088,63.9375
5.165293672,96.39,4039,63.5531
5.191554237,96.39,3997,63.2218
5.217814803,96.39,3923,62.6339
5.244075368,96.39,3973,63.0317
5.270335934,96.39,4032,63.498
5.296596499,96.39,3836,61.9355
5.322857064,96.39,3993,63.1902
5.34911763,96.39,3958,62.9126
5.375378195,96.39,3802,61.6604
5.40163876,96.39,3885,62.3298
5.427899326,96.39,3758,61.3025
5.454159891,96.39,3799,61.636
5.480420456,96.39,3778,61.4654
5.506681022,96.39,3855,62.0886
5.532941587,96.39,3710,60.9098
5.559202152,96.39,3883,62.3137
5.585462718,96.39,3592,59.9333
5.611723283,96.39,3631,60.2578
5.637983849,96.39,3753,61.2617
5.664244414,96.39,3496,59.127
5.690504979,96.39,3703,60.8523
5.716765545,96.39,3657,60.4731
5.74302611,96.39,3595,59.9583
5.769286675,96.39,3681,60.6712
5.795547241,96.39,3601,60.0083
5.821807806,96.39,3664,60.531
5.848068371,96.39,3680,60.663
5.874328937,96.39,3586,59.8832
5.900589502,96.39,3527,59.3886
5.926850067,96.39,3610,60.0833
5.953110633,96.39,3581,59.8415
5.979371198,96.39,3623,60.1914
6.005631763,96.39,3513,59.2706
6.031892329,96.39,3620,60.1664
6.058152894,96.39,3569,59.7411
6.08441346,96.39,3632,60.2661
6.110674025,96.39,3589,59.9083
6.13693459,96.39,3596,59.9667
6.163195156,96.39,3624,60.1997
6.189455721,96.39,3608,60.0666
6.215716286,96.39,3556,59.6322
6.241976852,96.39,3484,59.0254
6.268237417,96.39,3530,59.4138
6.294497982,96.39,3606,60.05
6.320758548,96.39,3479,58.983
6.347019113,96.39,3622,60.1831
6.373279678,96.39,3481,59
6.399540244,96.39,3414,58.4294
6.425800809,96.39,3455,58.7792
6.452061375,96.39,3515,59.2874
6.47832194,96.39,3406,58.3609
6.504582505,96.39,3448,58.7197
6.530843071,96.39,3479,58.983
6.557103636,96.39,3410,58.3952
6.583364201,96.39,3312,57.55
6.609624767,96.39,3556,59.6322
6.635885332,96.39,3491,59.0847
6.662145897,96.39,3466,58.8727
6.688406463,96.39,3436,58.6174
6.714667028,96.39,3470,58.9067
6.740927593,96.39,3412,58.4123
6.767188159,96.39,3454,58.7707
6.793448724,96.39,3416,58.4466
6.819709289,96.39,3479,58.983
6.845969855,96.39,3451,58.7452
6.87223042,96.39,3340,57.7927
6.898490986,96.39,3437,58.6259
6.924751551,96.39,3493,59.1016
6.951012116,96.39,3460,58.8218
6.977272682,96.39,3413,58.4209
7.003533247,96.39,3439,58.643
7.029793812,96.39,3480,58.9915
7.056054378,96.39,3382,58.155
7.082314943,96.39,3403,58.3352
7.108575508,96.39,3541,59.5063
7.134836074,96.39,3384,58.1722
7.161096639,96.39,3320,57.6194
7.187357204,96.39,3332,57.7235
7.21361777,96.39,3398,58.2924
7.239878335,96.39,3480,58.9915
7.2661389,96.39,3353,57.9051
7.292399466,96.39,3353,57.9051
7.318660031,96.39,3399,58.3009
7.344920597,96.39,3375,58.0948
7.371181162,96.39,3395,58.2666
7.397441727,96.39,3435,58.6089
7.423702293,96.39,3350,57.8792
7.449962858,96.39,3470,58.9067
7.476223423,96.39,3351,57.8878
7.502483989,96.39,3408,58.3781
7.528744554,96.39,3315,57.576
7.555005119,96.39,3403,58.3352
7.581265685,96.39,3345,57.836
7.60752625,96.39,3470,58.9067
7.633786815,96.39,3439,58.643
7.660047381,96.39,3225,56.7891
7.686307946,96.39,3333,57.7321
7.712568512,96.39,3415,58.438
7.738829077,96.39,3420,58.4808
7.765089642,96.39,3341,57.8014
7.791350208,96.39,3436,58.6174
7.817610773,96.39,3366,58.0172
7.843871338,96.39,3341,57.8014
7.870131904,96.39,3417,58.4551
7.896392469,96.39,3365,58.0086
7.922653034,96.39,3453,58.7622
7.9489136,96.39,3415,58.438
7.975174165,96.39,3463,58.8473
8.00143473,96.39,3303,57.4717
8.027695296,96.39,3316,57.5847
8.053955861,96.39,3330,57.7062
8.080216426,96.39,3333,57.7321
8.106476992,96.39,3391,58.2323
8.132737557,96.39,3429,58.5577
8.158998123,96.39,3374,58.0861
8.185258688,96.39,3399,58.3009
8.211519253,96.39,3328,57.6888
8.237779819,96.39,3487,59.0508
8.264040384,96.39,3409,58.3866
8.290300949,96.39,3371,58.0603
8.316561515,96.39,3378,58.1206
8.34282208,96.39,3279,57.2626
8.369082645,96.39,3377,58.112
8.395343211,96.39,3415,58.438
8.421603776,96.39,3397,58.2838
8.447864341,96.39,3469,58.8982
8.474124907,96.39,3411,58.4038
8.500385472,96.39,3457,58.7963
8.526646038,96.39,3457,58.7963
8.552906603,96.39,3472,58.9237
8.579167168,96.39,3357,57.9396
8.605427734,96.39,3424,58.515
8.631688299,96.39,3290,57.3585
8.657948864,96.39,3343,57.8187
8.68420943,96.39,3320,57.6194
8.710469995,96.39,3287,57.3324
8.73673056,96.39,3434,58.6003
8.762991126,96.39,3303,57.4717
8.789251691,96.39,3457,58.7963
8.815512256,96.39,3277,57.2451
8.841772822,96.39,3379,58.1292
8.868033387,96.39,3327,57.6802
8.894293952,96.39,3417,58.4551
8.920554518,96.39,3368,58.0345
8.946815083,96.39,3432,58.5833
8.973075649,96.39,3437,58.6259
8.999336214,96.39,3353,57.9051
9.025596779,96.39,3391,58.2323
9.051857345,96.39,3188,56.4624
9.07811791,96.39,3399,58.3009
9.104378475,96.39,3374,58.0861
9.130639041,96.39,3268,57.1664
9.156899606,96.39,3274,57.2189
9.183160171,96.39,3264,57.1314
9.209420737,96.39,3304,57.4804
9.235681302,96.39,3366,58.0172
9.261941867,96.39,3379,58.1292
9.288202433,96.39,3296,57.4108
9.314462998,96.39,3347,57.8533
9.340723564,96.39,3348,57.8619
9.366984129,96.39,3309,57.5239
9.393244694,96.39,3310,57.5326
9.41950526,96.39,3376,58.1034
9.445765825,96.39,3268,57.1664
9.47202639,96.39,3405,58.3524
9.498286956,96.39,3457,58.7963
9.524547521,96.39,3354,57.9137
9.550808086,96.39,3368,58.0345
9.577068652,96.39,3380,58.1378
9.603329217,96.39,3336,57.7581
9.629589782,96.39,3331,57.7148
9.655850348,96.39,3295,57.4021
9.682110913,96.39,3372,58.0689
9.708371478,96.39,3297,57.4195
9.734632044,96.39,3334,57.7408
9.760892609,96.39,3291,57.3672
9.787153175,96.39,3296,57.4108
9.81341374,96.39,3250,57.0088
9.839674305,96.39,3248,56.9912
9.865934871,96.39,3309,57.5239
9.892195436,96.39,3282,57.2887
9.918456001,96.39,3329,57.6975
9.944716567,96.39,3371,58.0603
9.970977132,96.39,3363,57.9914
9.997237697,96.39,3283,57.2975
10.02349826,96.39,3278,57.2538
10.04975883,96.39,3302,57.463
10.07601939,96.39,3284,57.3062
10.10227996,96.39,3338,57.7754
10.12854052,96.39,3326,57.6715
10.15480109,96.39,3349,57.8705
10.18106166,96.39,3345,57.836
10.20732222,96.39,3341,57.8014
10.23358279,96.39,3291,57.3672
10.25984335,96.39,3254,57.0438
10.28610392,96.39,3252,57.0263
10.31236448,96.39,3241,56.9298
10.33862505,96.39,3309,57.5239
10.36488561,96.39,3360,57.9655
10.39114618,96.39,3252,57.0263
10.41740674,96.39,3382,58.155
10.44366731,96.39,3280,57.2713
10.46992787,96.39,3324,57.6541
10.49618844,96.39,3267,57.1577
10.522449,96.39,3314,57.5674
10.54870957,96.39,3245,56.9649
10.57497014,96.39,3271,57.1927
10.6012307,96.39,3245,56.9649
10.62749127,96.39,3261,57.1052
10.65375183,96.39,3235,56.8771
