[Measurement conditions]
Sample identification,XRD_AlCorner31Jan22_Act15Feb22_B2_0465M_NaOH_LS0120_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,18/Feb/2022 12:45
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 6807.0, 82.5045
5.033990845, 96.390, 6732.0, 82.0488
5.060251411, 96.390, 6622.0, 81.3757
5.086511976, 96.390, 6590.0, 81.1788
5.112772541, 96.390, 6557.0, 80.9753
5.139033107, 96.390, 6612.0, 81.3142
5.165293672, 96.390, 6572.0, 81.0679
5.191554237, 96.390, 6499.0, 80.6164
5.217814803, 96.390, 6373.0, 79.8311
5.244075368, 96.390, 6388.0, 79.9250
5.270335934, 96.390, 6352.0, 79.6994
5.296596499, 96.390, 6252.0, 79.0696
5.322857064, 96.390, 6398.0, 79.9875
5.349117630, 96.390, 6124.0, 78.2560
5.375378195, 96.390, 6171.0, 78.5557
5.401638760, 96.390, 6182.0, 78.6257
5.427899326, 96.390, 6142.0, 78.3709
5.454159891, 96.390, 6156.0, 78.4602
5.480420456, 96.390, 6050.0, 77.7817
5.506681022, 96.390, 6004.0, 77.4855
5.532941587, 96.390, 6071.0, 77.9166
5.559202152, 96.390, 6041.0, 77.7239
5.585462718, 96.390, 5926.0, 76.9805
5.611723283, 96.390, 5713.0, 75.5844
5.637983849, 96.390, 5871.0, 76.6225
5.664244414, 96.390, 5876.0, 76.6551
5.690504979, 96.390, 5844.0, 76.4461
5.716765545, 96.390, 5952.0, 77.1492
5.743026110, 96.390, 5769.0, 75.9539
5.769286675, 96.390, 5775.0, 75.9934
5.795547241, 96.390, 5746.0, 75.8024
5.821807806, 96.390, 5661.0, 75.2396
5.848068371, 96.390, 5856.0, 76.5245
5.874328937, 96.390, 5678.0, 75.3525
5.900589502, 96.390, 5696.0, 75.4718
5.926850067, 96.390, 5562.0, 74.5788
5.953110633, 96.390, 5350.0, 73.1437
5.979371198, 96.390, 5532.0, 74.3774
6.005631763, 96.390, 5546.0, 74.4715
6.031892329, 96.390, 5550.0, 74.4983
6.058152894, 96.390, 5536.0, 74.4043
6.084413460, 96.390, 5445.0, 73.7902
6.110674025, 96.390, 5450.0, 73.8241
6.136934590, 96.390, 5309.0, 72.8629
6.163195156, 96.390, 5337.0, 73.0548
6.189455721, 96.390, 5403.0, 73.5051
6.215716286, 96.390, 5361.0, 73.2189
6.241976852, 96.390, 5311.0, 72.8766
6.268237417, 96.390, 5322.0, 72.9520
6.294497982, 96.390, 5255.0, 72.4914
6.320758548, 96.390, 5300.0, 72.8011
6.347019113, 96.390, 5152.0, 71.7774
6.373279678, 96.390, 5185.0, 72.0069
6.399540244, 96.390, 5097.0, 71.3933
6.425800809, 96.390, 5103.0, 71.4353
6.452061375, 96.390, 5158.0, 71.8192
6.478321940, 96.390, 5060.0, 71.1337
6.504582505, 96.390, 4953.0, 70.3776
6.530843071, 96.390, 5153.0, 71.7844
6.557103636, 96.390, 5179.0, 71.9653
6.583364201, 96.390, 5013.0, 70.8025
6.609624767, 96.390, 5074.0, 71.2320
6.635885332, 96.390, 5034.0, 70.9507
6.662145897, 96.390, 5029.0, 70.9154
6.688406463, 96.390, 5101.0, 71.4213
6.714667028, 96.390, 4926.0, 70.1855
6.740927593, 96.390, 5094.0, 71.3723
6.767188159, 96.390, 4926.0, 70.1855
6.793448724, 96.390, 4903.0, 70.0214
6.819709289, 96.390, 4882.0, 69.8713
6.845969855, 96.390, 4947.0, 70.3349
6.872230420, 96.390, 4780.0, 69.1375
6.898490986, 96.390, 4885.0, 69.8928
6.924751551, 96.390, 4863.0, 69.7352
6.951012116, 96.390, 4826.0, 69.4694
6.977272682, 96.390, 4775.0, 69.1014
7.003533247, 96.390, 4962.0, 70.4415
7.029793812, 96.390, 4657.0, 68.2422
7.056054378, 96.390, 4755.0, 68.9565
7.082314943, 96.390, 4729.0, 68.7677
7.108575508, 96.390, 4584.0, 67.7052
7.134836074, 96.390, 4785.0, 69.1737
7.161096639, 96.390, 4692.0, 68.4982
7.187357204, 96.390, 4688.0, 68.4690
7.213617770, 96.390, 4501.0, 67.0895
7.239878335, 96.390, 4673.0, 68.3593
7.266138900, 96.390, 4509.0, 67.1491
7.292399466, 96.390, 4466.0, 66.8281
7.318660031, 96.390, 4660.0, 68.2642
7.344920597, 96.390, 4555.0, 67.4907
7.371181162, 96.390, 4567.0, 67.5796
7.397441727, 96.390, 4598.0, 67.8086
7.423702293, 96.390, 4446.0, 66.6783
7.449962858, 96.390, 4573.0, 67.6240
7.476223423, 96.390, 4482.0, 66.9477
7.502483989, 96.390, 4572.0, 67.6166
