[Measurement conditions]
Sample identification,XRD_PAxial04Jan22_Act21Feb22_B2_0455M_NaOH_LS0124_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,24/Feb/2022 13:31
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 6636.0, 81.4616
5.033990845, 96.390, 6343.0, 79.6430
5.060251411, 96.390, 6450.0, 80.3119
5.086511976, 96.390, 6484.0, 80.5233
5.112772541, 96.390, 6529.0, 80.8022
5.139033107, 96.390, 6374.0, 79.8373
5.165293672, 96.390, 6192.0, 78.6893
5.191554237, 96.390, 6073.0, 77.9295
5.217814803, 96.390, 6082.0, 77.9872
5.244075368, 96.390, 5975.0, 77.2981
5.270335934, 96.390, 6017.0, 77.5693
5.296596499, 96.390, 5999.0, 77.4532
5.322857064, 96.390, 5912.0, 76.8895
5.349117630, 96.390, 5937.0, 77.0519
5.375378195, 96.390, 5797.0, 76.1380
5.401638760, 96.390, 5799.0, 76.1512
5.427899326, 96.390, 5606.0, 74.8732
5.454159891, 96.390, 5786.0, 76.0658
5.480420456, 96.390, 5539.0, 74.4245
5.506681022, 96.390, 5547.0, 74.4782
5.532941587, 96.390, 5696.0, 75.4718
5.559202152, 96.390, 5551.0, 74.5050
5.585462718, 96.390, 5567.0, 74.6123
5.611723283, 96.390, 5526.0, 74.3371
5.637983849, 96.390, 5538.0, 74.4177
5.664244414, 96.390, 5393.0, 73.4370
5.690504979, 96.390, 5288.0, 72.7186
5.716765545, 96.390, 5329.0, 73.0000
5.743026110, 96.390, 5213.0, 72.2011
5.769286675, 96.390, 5272.0, 72.6085
5.795547241, 96.390, 5313.0, 72.8903
5.821807806, 96.390, 5191.0, 72.0486
5.848068371, 96.390, 5125.0, 71.5891
5.874328937, 96.390, 5280.0, 72.6636
5.900589502, 96.390, 5239.0, 72.3809
5.926850067, 96.390, 5341.0, 73.0821
5.953110633, 96.390, 5228.0, 72.3049
5.979371198, 96.390, 5104.0, 71.4423
6.005631763, 96.390, 5176.0, 71.9444
6.031892329, 96.390, 5028.0, 70.9084
6.058152894, 96.390, 4908.0, 70.0571
6.084413460, 96.390, 4948.0, 70.3420
6.110674025, 96.390, 4997.0, 70.6895
6.136934590, 96.390, 4959.0, 70.4202
6.163195156, 96.390, 4879.0, 69.8498
6.189455721, 96.390, 4872.0, 69.7997
6.215716286, 96.390, 4927.0, 70.1926
6.241976852, 96.390, 4906.0, 70.0428
6.268237417, 96.390, 4978.0, 70.5549
6.294497982, 96.390, 4886.0, 69.8999
6.320758548, 96.390, 4913.0, 70.0928
6.347019113, 96.390, 4762.0, 69.0072
6.373279678, 96.390, 4752.0, 68.9348
6.399540244, 96.390, 4735.0, 68.8113
6.425800809, 96.390, 4824.0, 69.4550
6.452061375, 96.390, 4747.0, 68.8985
6.478321940, 96.390, 4792.0, 69.2243
6.504582505, 96.390, 4788.0, 69.1954
6.530843071, 96.390, 4700.0, 68.5565
6.557103636, 96.390, 4708.0, 68.6149
6.583364201, 96.390, 4684.0, 68.4398
6.609624767, 96.390, 4659.0, 68.2569
6.635885332, 96.390, 4672.0, 68.3520
6.662145897, 96.390, 4693.0, 68.5055
6.688406463, 96.390, 4544.0, 67.4092
6.714667028, 96.390, 4572.0, 67.6166
6.740927593, 96.390, 4592.0, 67.7643
6.767188159, 96.390, 4534.0, 67.3350
6.793448724, 96.390, 4552.0, 67.4685
6.819709289, 96.390, 4507.0, 67.1342
6.845969855, 96.390, 4467.0, 66.8356
6.872230420, 96.390, 4633.0, 68.0661
6.898490986, 96.390, 4516.0, 67.2012
6.924751551, 96.390, 4602.0, 67.8380
6.951012116, 96.390, 4452.0, 66.7233
6.977272682, 96.390, 4515.0, 67.1937
7.003533247, 96.390, 4392.0, 66.2722
7.029793812, 96.390, 4468.0, 66.8431
7.056054378, 96.390, 4410.0, 66.4078
7.082314943, 96.390, 4493.0, 67.0298
7.108575508, 96.390, 4408.0, 66.3928
7.134836074, 96.390, 4455.0, 66.7458
7.161096639, 96.390, 4285.0, 65.4599
7.187357204, 96.390, 4328.0, 65.7875
7.213617770, 96.390, 4381.0, 66.1891
7.239878335, 96.390, 4321.0, 65.7343
7.266138900, 96.390, 4335.0, 65.8407
7.292399466, 96.390, 4433.0, 66.5808
7.318660031, 96.390, 4347.0, 65.9318
7.344920597, 96.390, 4351.0, 65.9621
7.371181162, 96.390, 4325.0, 65.7647
7.397441727, 96.390, 4378.0, 66.1665
7.423702293, 96.390, 4329.0, 65.7951
7.449962858, 96.390, 4213.0, 64.9076
7.476223423, 96.390, 4276.0, 65.3911
7.502483989, 96.390, 4356.0, 66.0000
7.528744554, 96.390, 4280.0, 65.4217
7.555005119, 96.390, 4203.0, 64.8305
7.581265685, 96.390, 4322.0, 65.7419
7.607526250, 96.390, 4371.0, 66.1135
7.633786815, 96.390, 4185.0, 64.6916
7.660047381, 96.390, 4363.0, 66.0530
7.686307946, 96.390, 4310.0, 65.6506
7.712568512, 96.390, 4444.0, 66.6633
7.738829077, 96.390, 4283.0, 65.4446
7.765089642, 96.390, 4387.0, 66.2344
7.791350208, 96.390, 4358.0, 66.0151
7.817610773, 96.390, 4338.0, 65.8635
7.843871338, 96.390, 4446.0, 66.6783
7.870131904, 96.390, 4430.0, 66.5582
7.896392469, 96.390, 4345.0, 65.9166
7.922653034, 96.390, 4375.0, 66.1438
7.948913600, 96.390, 4367.0, 66.0833
7.975174165, 96.390, 4389.0, 66.2495
8.001434730, 96.390, 4468.0, 66.8431
8.027695296, 96.390, 4511.0, 67.1640
8.053955861, 96.390, 4571.0, 67.6092
8.080216426, 96.390, 4568.0, 67.5870
8.106476992, 96.390, 4555.0, 67.4907
8.132737557, 96.390, 4657.0, 68.2422
8.158998123, 96.390, 4416.0, 66.4530
8.185258688, 96.390, 4710.0, 68.6294
8.211519253, 96.390, 4676.0, 68.3813
8.237779819, 96.390, 4563.0, 67.5500
8.264040384, 96.390, 4733.0, 68.7968
8.290300949, 96.390, 4677.0, 68.3886
8.316561515, 96.390, 4769.0, 69.0579
8.342822080, 96.390, 4846.0, 69.6132
8.369082645, 96.390, 4840.0, 69.5701
8.395343211, 96.390, 4812.0, 69.3686
8.421603776, 96.390, 4908.0, 70.0571
8.447864341, 96.390, 4900.0, 70.0000
8.474124907, 96.390, 5014.0, 70.8096
8.500385472, 96.390, 4947.0, 70.3349
8.526646038, 96.390, 4916.0, 70.1142
8.552906603, 96.390, 5120.0, 71.5542
8.579167168, 96.390, 5172.0, 71.9166
8.605427734, 96.390, 5099.0, 71.4073
8.631688299, 96.390, 5161.0, 71.8401
8.657948864, 96.390, 4925.0, 70.1783
8.684209430, 96.390, 5150.0, 71.7635
8.710469995, 96.390, 4932.0, 70.2282
8.736730560, 96.390, 5135.0, 71.6589
8.762991126, 96.390, 5054.0, 71.0915
8.789251691, 96.390, 4939.0, 70.2780
8.815512256, 96.390, 4888.0, 69.9142
8.841772822, 96.390, 4884.0, 69.8856
8.868033387, 96.390, 4802.0, 69.2965
8.894293952, 96.390, 4701.0, 68.5638
8.920554518, 96.390, 4814.0, 69.3830
8.946815083, 96.390, 4718.0, 68.6877
8.973075649, 96.390, 4615.0, 67.9338
8.999336214, 96.390, 4557.0, 67.5056
9.025596779, 96.390, 4571.0, 67.6092
9.051857345, 96.390, 4575.0, 67.6387
9.078117910, 96.390, 4291.0, 65.5057
9.104378475, 96.390, 4279.0, 65.4141
9.130639041, 96.390, 4281.0, 65.4294
9.156899606, 96.390, 4182.0, 64.6684
9.183160171, 96.390, 4077.0, 63.8514
9.209420737, 96.390, 4042.0, 63.5767
9.235681302, 96.390, 4052.0, 63.6553
9.261941867, 96.390, 3980.0, 63.0872
9.288202433, 96.390, 3990.0, 63.1664
9.314462998, 96.390, 3877.0, 62.2656
9.340723564, 96.390, 3810.0, 61.7252
9.366984129, 96.390, 3802.0, 61.6604
9.393244694, 96.390, 3753.0, 61.2617
9.419505260, 96.390, 3760.0, 61.3188
9.445765825, 96.390, 3697.0, 60.8030
9.472026390, 96.390, 3780.0, 61.4817
9.498286956, 96.390, 3586.0, 59.8832
9.524547521, 96.390, 3541.0, 59.5063
9.550808086, 96.390, 3527.0, 59.3886
9.577068652, 96.390, 3600.0, 60.0000
9.603329217, 96.390, 3513.0, 59.2706
9.629589782, 96.390, 3473.0, 58.9322
9.655850348, 96.390, 3465.0, 58.8643
9.682110913, 96.390, 3383.0, 58.1636
9.708371478, 96.390, 3350.0, 57.8792
9.734632044, 96.390, 3323.0, 57.6455
9.760892609, 96.390, 3316.0, 57.5847
9.787153175, 96.390, 3389.0, 58.2151
9.813413740, 96.390, 3334.0, 57.7408
9.839674305, 96.390, 3255.0, 57.0526
9.865934871, 96.390, 3416.0, 58.4466
