[Measurement conditions]
Sample identification,XRD_SiAxial12Jan22_Act01Mar22_B1_0385M_NaOH_LS0142_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,04/Mar/2022 12:37
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5266.0, 72.5672
5.033990845, 96.390, 5190.0, 72.0417
5.060251411, 96.390, 5085.0, 71.3092
5.086511976, 96.390, 5083.0, 71.2952
5.112772541, 96.390, 4938.0, 70.2709
5.139033107, 96.390, 4885.0, 69.8928
5.165293672, 96.390, 4874.0, 69.8140
5.191554237, 96.390, 4950.0, 70.3562
5.217814803, 96.390, 5048.0, 71.0493
5.244075368, 96.390, 4848.0, 69.6276
5.270335934, 96.390, 4814.0, 69.3830
5.296596499, 96.390, 4758.0, 68.9783
5.322857064, 96.390, 4787.0, 69.1881
5.349117630, 96.390, 4788.0, 69.1954
5.375378195, 96.390, 4583.0, 67.6979
5.401638760, 96.390, 4678.0, 68.3959
5.427899326, 96.390, 4633.0, 68.0661
5.454159891, 96.390, 4697.0, 68.5347
5.480420456, 96.390, 4689.0, 68.4763
5.506681022, 96.390, 4678.0, 68.3959
5.532941587, 96.390, 4686.0, 68.4544
5.559202152, 96.390, 4598.0, 67.8086
5.585462718, 96.390, 4510.0, 67.1565
5.611723283, 96.390, 4437.0, 66.6108
5.637983849, 96.390, 4592.0, 67.7643
5.664244414, 96.390, 4607.0, 67.8749
5.690504979, 96.390, 4540.0, 67.3795
5.716765545, 96.390, 4529.0, 67.2978
5.743026110, 96.390, 4503.0, 67.1044
5.769286675, 96.390, 4507.0, 67.1342
5.795547241, 96.390, 4531.0, 67.3127
5.821807806, 96.390, 4600.0, 67.8233
5.848068371, 96.390, 4418.0, 66.4680
5.874328937, 96.390, 4385.0, 66.2193
5.900589502, 96.390, 4470.0, 66.8581
5.926850067, 96.390, 4433.0, 66.5808
5.953110633, 96.390, 4450.0, 66.7083
5.979371198, 96.390, 4363.0, 66.0530
6.005631763, 96.390, 4324.0, 65.7571
6.031892329, 96.390, 4377.0, 66.1589
6.058152894, 96.390, 4326.0, 65.7723
6.084413460, 96.390, 4363.0, 66.0530
6.110674025, 96.390, 4290.0, 65.4981
6.136934590, 96.390, 4385.0, 66.2193
6.163195156, 96.390, 4373.0, 66.1287
6.189455721, 96.390, 4274.0, 65.3758
6.215716286, 96.390, 4318.0, 65.7115
6.241976852, 96.390, 4295.0, 65.5362
6.268237417, 96.390, 4258.0, 65.2534
6.294497982, 96.390, 4283.0, 65.4446
6.320758548, 96.390, 4204.0, 64.8383
6.347019113, 96.390, 4246.0, 65.1613
6.373279678, 96.390, 4250.0, 65.1920
6.399540244, 96.390, 4330.0, 65.8027
6.425800809, 96.390, 4235.0, 65.0769
6.452061375, 96.390, 4339.0, 65.8711
6.478321940, 96.390, 4151.0, 64.4283
6.504582505, 96.390, 4237.0, 65.0922
6.530843071, 96.390, 4243.0, 65.1383
6.557103636, 96.390, 4164.0, 64.5291
6.583364201, 96.390, 4150.0, 64.4205
6.609624767, 96.390, 4149.0, 64.4127
6.635885332, 96.390, 4094.0, 63.9844
6.662145897, 96.390, 4308.0, 65.6354
6.688406463, 96.390, 4184.0, 64.6838
6.714667028, 96.390, 4105.0, 64.0703
6.740927593, 96.390, 4101.0, 64.0391
6.767188159, 96.390, 4196.0, 64.7765
6.793448724, 96.390, 4185.0, 64.6916
6.819709289, 96.390, 4089.0, 63.9453
6.845969855, 96.390, 4091.0, 63.9609
6.872230420, 96.390, 4135.0, 64.3040
6.898490986, 96.390, 4162.0, 64.5136
6.924751551, 96.390, 4126.0, 64.2339
6.951012116, 96.390, 4071.0, 63.8044
6.977272682, 96.390, 4117.0, 64.1639
7.003533247, 96.390, 4070.0, 63.7966
7.029793812, 96.390, 4000.0, 63.2456
7.056054378, 96.390, 4011.0, 63.3325
7.082314943, 96.390, 4158.0, 64.4826
7.108575508, 96.390, 4158.0, 64.4826
7.134836074, 96.390, 3928.0, 62.6738
7.161096639, 96.390, 4234.0, 65.0692
7.187357204, 96.390, 3940.0, 62.7694
7.213617770, 96.390, 3960.0, 62.9285
7.239878335, 96.390, 4084.0, 63.9062
7.266138900, 96.390, 4080.0, 63.8749
7.292399466, 96.390, 3964.0, 62.9603
7.318660031, 96.390, 3970.0, 63.0079
7.344920597, 96.390, 4021.0, 63.4114
7.371181162, 96.390, 4062.0, 63.7338
7.397441727, 96.390, 3989.0, 63.1585
7.423702293, 96.390, 4054.0, 63.6710
7.449962858, 96.390, 3924.0, 62.6418
7.476223423, 96.390, 4068.0, 63.7809
