[Measurement conditions]
Sample identification,XRD_Si Corner03Feb22_Act01Mar22_B2_0455M_NaOH_LS0122_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,04/Mar/2022 12:55
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4739.0, 68.8404
5.033990845, 96.390, 4696.0, 68.5274
5.060251411, 96.390, 4781.0, 69.1448
5.086511976, 96.390, 4680.0, 68.4105
5.112772541, 96.390, 4670.0, 68.3374
5.139033107, 96.390, 4663.0, 68.2862
5.165293672, 96.390, 4568.0, 67.5870
5.191554237, 96.390, 4508.0, 67.1416
5.217814803, 96.390, 4469.0, 66.8506
5.244075368, 96.390, 4386.0, 66.2269
5.270335934, 96.390, 4412.0, 66.4229
5.296596499, 96.390, 4436.0, 66.6033
5.322857064, 96.390, 4431.0, 66.5658
5.349117630, 96.390, 4252.0, 65.2074
5.375378195, 96.390, 4378.0, 66.1665
5.401638760, 96.390, 4222.0, 64.9769
5.427899326, 96.390, 4224.0, 64.9923
5.454159891, 96.390, 4115.0, 64.1483
5.480420456, 96.390, 4283.0, 65.4446
5.506681022, 96.390, 4168.0, 64.5600
5.532941587, 96.390, 4128.0, 64.2495
5.559202152, 96.390, 4063.0, 63.7417
5.585462718, 96.390, 4112.0, 64.1249
5.611723283, 96.390, 4215.0, 64.9230
5.637983849, 96.390, 4138.0, 64.3273
5.664244414, 96.390, 3994.0, 63.1981
5.690504979, 96.390, 3967.0, 62.9841
5.716765545, 96.390, 4046.0, 63.6082
5.743026110, 96.390, 3929.0, 62.6817
5.769286675, 96.390, 3981.0, 63.0952
5.795547241, 96.390, 3952.0, 62.8649
5.821807806, 96.390, 4005.0, 63.2851
5.848068371, 96.390, 4027.0, 63.4586
5.874328937, 96.390, 3967.0, 62.9841
5.900589502, 96.390, 3864.0, 62.1611
5.926850067, 96.390, 3910.0, 62.5300
5.953110633, 96.390, 3918.0, 62.5939
5.979371198, 96.390, 3910.0, 62.5300
6.005631763, 96.390, 3888.0, 62.3538
6.031892329, 96.390, 3924.0, 62.6418
6.058152894, 96.390, 3866.0, 62.1772
6.084413460, 96.390, 3880.0, 62.2896
6.110674025, 96.390, 3907.0, 62.5060
6.136934590, 96.390, 3776.0, 61.4492
6.163195156, 96.390, 3930.0, 62.6897
6.189455721, 96.390, 3871.0, 62.2174
6.215716286, 96.390, 3851.0, 62.0564
6.241976852, 96.390, 3813.0, 61.7495
6.268237417, 96.390, 3840.0, 61.9677
6.294497982, 96.390, 3727.0, 61.0492
6.320758548, 96.390, 3884.0, 62.3217
6.347019113, 96.390, 3805.0, 61.6847
6.373279678, 96.390, 3763.0, 61.3433
6.399540244, 96.390, 3831.0, 61.8951
6.425800809, 96.390, 3763.0, 61.3433
6.452061375, 96.390, 3787.0, 61.5386
6.478321940, 96.390, 3819.0, 61.7981
6.504582505, 96.390, 3874.0, 62.2415
6.530843071, 96.390, 3679.0, 60.6548
6.557103636, 96.390, 3653.0, 60.4401
6.583364201, 96.390, 3821.0, 61.8142
6.609624767, 96.390, 3745.0, 61.1964
6.635885332, 96.390, 3718.0, 60.9754
6.662145897, 96.390, 3676.0, 60.6300
6.688406463, 96.390, 3751.0, 61.2454
6.714667028, 96.390, 3622.0, 60.1831
6.740927593, 96.390, 3746.0, 61.2046
6.767188159, 96.390, 3794.0, 61.5955
6.793448724, 96.390, 3754.0, 61.2699
6.819709289, 96.390, 3683.0, 60.6877
6.845969855, 96.390, 3758.0, 61.3025
6.872230420, 96.390, 3713.0, 60.9344
6.898490986, 96.390, 3676.0, 60.6300
6.924751551, 96.390, 3615.0, 60.1249
6.951012116, 96.390, 3637.0, 60.3075
6.977272682, 96.390, 3653.0, 60.4401
7.003533247, 96.390, 3622.0, 60.1831
7.029793812, 96.390, 3640.0, 60.3324
7.056054378, 96.390, 3600.0, 60.0000
7.082314943, 96.390, 3696.0, 60.7947
7.108575508, 96.390, 3648.0, 60.3987
7.134836074, 96.390, 3588.0, 59.8999
7.161096639, 96.390, 3619.0, 60.1581
7.187357204, 96.390, 3691.0, 60.7536
7.213617770, 96.390, 3595.0, 59.9583
7.239878335, 96.390, 3629.0, 60.2412
7.266138900, 96.390, 3583.0, 59.8582
7.292399466, 96.390, 3665.0, 60.5392
