[Measurement conditions]
Sample identification,XRD_AlAxial01Nov21_Act07Jan22_B1_1000M_NaOH_LS0124_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Jan/2022 13:00
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3897.0, 62.4260
5.033990845, 96.390, 3972.0, 63.0238
5.060251411, 96.390, 3866.0, 62.1772
5.086511976, 96.390, 3909.0, 62.5220
5.112772541, 96.390, 3874.0, 62.2415
5.139033107, 96.390, 3948.0, 62.8331
5.165293672, 96.390, 3850.0, 62.0484
5.191554237, 96.390, 3847.0, 62.0242
5.217814803, 96.390, 3647.0, 60.3904
5.244075368, 96.390, 3725.0, 61.0328
5.270335934, 96.390, 3684.0, 60.6960
5.296596499, 96.390, 3596.0, 59.9667
5.322857064, 96.390, 3555.0, 59.6238
5.349117630, 96.390, 3629.0, 60.2412
5.375378195, 96.390, 3541.0, 59.5063
5.401638760, 96.390, 3563.0, 59.6909
5.427899326, 96.390, 3495.0, 59.1185
5.454159891, 96.390, 3617.0, 60.1415
5.480420456, 96.390, 3484.0, 59.0254
5.506681022, 96.390, 3600.0, 60.0000
5.532941587, 96.390, 3524.0, 59.3633
5.559202152, 96.390, 3563.0, 59.6909
5.585462718, 96.390, 3538.0, 59.4811
5.611723283, 96.390, 3469.0, 58.8982
5.637983849, 96.390, 3474.0, 58.9406
5.664244414, 96.390, 3478.0, 58.9746
5.690504979, 96.390, 3496.0, 59.1270
5.716765545, 96.390, 3503.0, 59.1861
5.743026110, 96.390, 3425.0, 58.5235
5.769286675, 96.390, 3484.0, 59.0254
5.795547241, 96.390, 3413.0, 58.4209
5.821807806, 96.390, 3392.0, 58.2409
5.848068371, 96.390, 3379.0, 58.1292
5.874328937, 96.390, 3433.0, 58.5918
5.900589502, 96.390, 3429.0, 58.5577
5.926850067, 96.390, 3361.0, 57.9741
5.953110633, 96.390, 3463.0, 58.8473
5.979371198, 96.390, 3399.0, 58.3009
6.005631763, 96.390, 3315.0, 57.5760
6.031892329, 96.390, 3264.0, 57.1314
6.058152894, 96.390, 3376.0, 58.1034
6.084413460, 96.390, 3373.0, 58.0775
6.110674025, 96.390, 3260.0, 57.0964
6.136934590, 96.390, 3200.0, 56.5685
6.163195156, 96.390, 3331.0, 57.7148
6.189455721, 96.390, 3380.0, 58.1378
6.215716286, 96.390, 3276.0, 57.2364
6.241976852, 96.390, 3303.0, 57.4717
6.268237417, 96.390, 3274.0, 57.2189
6.294497982, 96.390, 3257.0, 57.0701
6.320758548, 96.390, 3312.0, 57.5500
6.347019113, 96.390, 3263.0, 57.1227
6.373279678, 96.390, 3160.0, 56.2139
6.399540244, 96.390, 3193.0, 56.5066
6.425800809, 96.390, 3187.0, 56.4535
6.452061375, 96.390, 3156.0, 56.1783
6.478321940, 96.390, 3233.0, 56.8595
6.504582505, 96.390, 3152.0, 56.1427
6.530843071, 96.390, 3157.0, 56.1872
6.557103636, 96.390, 3235.0, 56.8771
6.583364201, 96.390, 3205.0, 56.6127
6.609624767, 96.390, 3151.0, 56.1338
6.635885332, 96.390, 3170.0, 56.3028
6.662145897, 96.390, 3181.0, 56.4004
6.688406463, 96.390, 3193.0, 56.5066
6.714667028, 96.390, 3158.0, 56.1961
6.740927593, 96.390, 3271.0, 57.1927
6.767188159, 96.390, 3106.0, 55.7315
6.793448724, 96.390, 3176.0, 56.3560
6.819709289, 96.390, 3070.0, 55.4076
6.845969855, 96.390, 3072.0, 55.4256
6.872230420, 96.390, 3159.0, 56.2050
6.898490986, 96.390, 3091.0, 55.5968
6.924751551, 96.390, 3118.0, 55.8391
6.951012116, 96.390, 3068.0, 55.3895
6.977272682, 96.390, 3181.0, 56.4004
7.003533247, 96.390, 3093.0, 55.6147
7.029793812, 96.390, 3155.0, 56.1694
7.056054378, 96.390, 3031.0, 55.0545
7.082314943, 96.390, 3094.0, 55.6237
7.108575508, 96.390, 3033.0, 55.0727
7.134836074, 96.390, 3106.0, 55.7315
7.161096639, 96.390, 3098.0, 55.6597
7.187357204, 96.390, 3089.0, 55.5788
7.213617770, 96.390, 3109.0, 55.7584
7.239878335, 96.390, 3096.0, 55.6417
7.266138900, 96.390, 3013.0, 54.8908
7.292399466, 96.390, 3042.0, 55.1543
7.318660031, 96.390, 3081.0, 55.5068
7.344920597, 96.390, 3142.0, 56.0535
7.371181162, 96.390, 2974.0, 54.5344
7.397441727, 96.390, 3184.0, 56.4269
7.423702293, 96.390, 3119.0, 55.8480
7.449962858, 96.390, 3067.0, 55.3805
7.476223423, 96.390, 3007.0, 54.8361
7.502483989, 96.390, 2979.0, 54.5802
7.528744554, 96.390, 3072.0, 55.4256
7.555005119, 96.390, 3090.0, 55.5878
7.581265685, 96.390, 2949.0, 54.3047
7.607526250, 96.390, 3022.0, 54.9727
7.633786815, 96.390, 2935.0, 54.1756
7.660047381, 96.390, 2970.0, 54.4977
7.686307946, 96.390, 3036.0, 55.0999
7.712568512, 96.390, 2980.0, 54.5894
7.738829077, 96.390, 3043.0, 55.1634
7.765089642, 96.390, 3044.0, 55.1725
7.791350208, 96.390, 3051.0, 55.2359
7.817610773, 96.390, 3045.0, 55.1815
7.843871338, 96.390, 3122.0, 55.8749
7.870131904, 96.390, 2969.0, 54.4885
7.896392469, 96.390, 2989.0, 54.6717
7.922653034, 96.390, 2967.0, 54.4702
7.948913600, 96.390, 3110.0, 55.7674
7.975174165, 96.390, 3083.0, 55.5248
8.001434730, 96.390, 3031.0, 55.0545
8.027695296, 96.390, 3069.0, 55.3986
8.053955861, 96.390, 3076.0, 55.4617
8.080216426, 96.390, 3225.0, 56.7891
8.106476992, 96.390, 3232.0, 56.8507
