[Measurement conditions]
Sample identification,XRD_Centroid25Oct21_Act23Jan22_B3_0325M_NaOH_LS0134_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,26/Jan/2022 11:25
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5961.0, 77.2075
5.033990845, 96.390, 5929.0, 77.0000
5.060251411, 96.390, 5816.0, 76.2627
5.086511976, 96.390, 5829.0, 76.3479
5.112772541, 96.390, 5742.0, 75.7760
5.139033107, 96.390, 5742.0, 75.7760
5.165293672, 96.390, 5842.0, 76.4330
5.191554237, 96.390, 5711.0, 75.5712
5.217814803, 96.390, 5764.0, 75.9210
5.244075368, 96.390, 5703.0, 75.5182
5.270335934, 96.390, 5589.0, 74.7596
5.296596499, 96.390, 5588.0, 74.7529
5.322857064, 96.390, 5783.0, 76.0460
5.349117630, 96.390, 5558.0, 74.5520
5.375378195, 96.390, 5489.0, 74.0878
5.401638760, 96.390, 5591.0, 74.7730
5.427899326, 96.390, 5589.0, 74.7596
5.454159891, 96.390, 5488.0, 74.0810
5.480420456, 96.390, 5488.0, 74.0810
5.506681022, 96.390, 5482.0, 74.0405
5.532941587, 96.390, 5517.0, 74.2765
5.559202152, 96.390, 5401.0, 73.4915
5.585462718, 96.390, 5530.0, 74.3640
5.611723283, 96.390, 5412.0, 73.5663
5.637983849, 96.390, 5452.0, 73.8377
5.664244414, 96.390, 5388.0, 73.4030
5.690504979, 96.390, 5223.0, 72.2703
5.716765545, 96.390, 5364.0, 73.2393
5.743026110, 96.390, 5297.0, 72.7805
5.769286675, 96.390, 5408.0, 73.5391
5.795547241, 96.390, 5431.0, 73.6953
5.821807806, 96.390, 5437.0, 73.7360
5.848068371, 96.390, 5235.0, 72.3533
5.874328937, 96.390, 5304.0, 72.8286
5.900589502, 96.390, 5351.0, 73.1505
5.926850067, 96.390, 5321.0, 72.9452
5.953110633, 96.390, 5423.0, 73.6410
5.979371198, 96.390, 5301.0, 72.8080
6.005631763, 96.390, 5305.0, 72.8354
6.031892329, 96.390, 5379.0, 73.3417
6.058152894, 96.390, 5349.0, 73.1369
6.084413460, 96.390, 5036.0, 70.9648
6.110674025, 96.390, 5170.0, 71.9027
6.136934590, 96.390, 5213.0, 72.2011
6.163195156, 96.390, 5192.0, 72.0555
6.189455721, 96.390, 5188.0, 72.0278
6.215716286, 96.390, 5213.0, 72.2011
6.241976852, 96.390, 5264.0, 72.5534
6.268237417, 96.390, 5301.0, 72.8080
6.294497982, 96.390, 5201.0, 72.1180
