[Measurement conditions]
Sample identification,XRD_MgAxial24Jan22_Act07Feb22_B2_0255M_NaOH_LS0146_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Feb/2022 13:19
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 6727.0, 82.0183
5.033990845, 96.390, 6791.0, 82.4075
5.060251411, 96.390, 6531.0, 80.8146
5.086511976, 96.390, 6720.0, 81.9756
5.112772541, 96.390, 6592.0, 81.1911
5.139033107, 96.390, 6410.0, 80.0625
5.165293672, 96.390, 6409.0, 80.0562
5.191554237, 96.390, 6625.0, 81.3941
5.217814803, 96.390, 6458.0, 80.3617
5.244075368, 96.390, 6385.0, 79.9062
5.270335934, 96.390, 6285.0, 79.2780
5.296596499, 96.390, 6343.0, 79.6430
5.322857064, 96.390, 6206.0, 78.7782
5.349117630, 96.390, 6185.0, 78.6448
5.375378195, 96.390, 6150.0, 78.4219
5.401638760, 96.390, 5905.0, 76.8440
5.427899326, 96.390, 5957.0, 77.1816
5.454159891, 96.390, 5995.0, 77.4274
5.480420456, 96.390, 6030.0, 77.6531
5.506681022, 96.390, 6027.0, 77.6338
5.532941587, 96.390, 5901.0, 76.8180
5.559202152, 96.390, 5925.0, 76.9740
5.585462718, 96.390, 5994.0, 77.4209
5.611723283, 96.390, 5914.0, 76.9025
5.637983849, 96.390, 5968.0, 77.2528
5.664244414, 96.390, 5868.0, 76.6029
5.690504979, 96.390, 5787.0, 76.0723
5.716765545, 96.390, 5875.0, 76.6485
5.743026110, 96.390, 5732.0, 75.7100
5.769286675, 96.390, 5719.0, 75.6241
5.795547241, 96.390, 5702.0, 75.5116
5.821807806, 96.390, 5811.0, 76.2299
5.848068371, 96.390, 5680.0, 75.3658
5.874328937, 96.390, 5600.0, 74.8331
5.900589502, 96.390, 5649.0, 75.1598
5.926850067, 96.390, 5501.0, 74.1687
5.953110633, 96.390, 5656.0, 75.2064
5.979371198, 96.390, 5619.0, 74.9600
6.005631763, 96.390, 5511.0, 74.2361
6.031892329, 96.390, 5537.0, 74.4110
6.058152894, 96.390, 5610.0, 74.8999
6.084413460, 96.390, 5426.0, 73.6614
6.110674025, 96.390, 5483.0, 74.0473
6.136934590, 96.390, 5395.0, 73.4507
6.163195156, 96.390, 5419.0, 73.6139
6.189455721, 96.390, 5509.0, 74.2226
6.215716286, 96.390, 5458.0, 73.8783
6.241976852, 96.390, 5584.0, 74.7262
6.268237417, 96.390, 5332.0, 73.0205
6.294497982, 96.390, 5488.0, 74.0810
6.320758548, 96.390, 5354.0, 73.1710
6.347019113, 96.390, 5370.0, 73.2803
6.373279678, 96.390, 5316.0, 72.9109
6.399540244, 96.390, 5385.0, 73.3826
6.425800809, 96.390, 5379.0, 73.3417
6.452061375, 96.390, 5147.0, 71.7426
6.478321940, 96.390, 5313.0, 72.8903
6.504582505, 96.390, 5238.0, 72.3740
6.530843071, 96.390, 5275.0, 72.6292
6.557103636, 96.390, 5188.0, 72.0278
6.583364201, 96.390, 5123.0, 71.5751
6.609624767, 96.390, 5134.0, 71.6519
6.635885332, 96.390, 5140.0, 71.6938
6.662145897, 96.390, 5028.0, 70.9084
6.688406463, 96.390, 5013.0, 70.8025
6.714667028, 96.390, 5159.0, 71.8262
6.740927593, 96.390, 4963.0, 70.4486
6.767188159, 96.390, 4900.0, 70.0000
6.793448724, 96.390, 5097.0, 71.3933
6.819709289, 96.390, 5075.0, 71.2390
6.845969855, 96.390, 5018.0, 70.8378
6.872230420, 96.390, 5109.0, 71.4773
6.898490986, 96.390, 4994.0, 70.6682
6.924751551, 96.390, 4999.0, 70.7036
6.951012116, 96.390, 4817.0, 69.4046
6.977272682, 96.390, 4993.0, 70.6612
7.003533247, 96.390, 4899.0, 69.9929
7.029793812, 96.390, 4944.0, 70.3136
7.056054378, 96.390, 4856.0, 69.6850
7.082314943, 96.390, 4970.0, 70.4982
7.108575508, 96.390, 4790.0, 69.2098
7.134836074, 96.390, 4734.0, 68.8041
7.161096639, 96.390, 4850.0, 69.6419
7.187357204, 96.390, 4796.0, 69.2532
7.213617770, 96.390, 4770.0, 69.0652
7.239878335, 96.390, 4725.0, 68.7386
7.266138900, 96.390, 4720.0, 68.7023
7.292399466, 96.390, 4824.0, 69.4550
7.318660031, 96.390, 4806.0, 69.3253
7.344920597, 96.390, 4716.0, 68.6731
7.371181162, 96.390, 4823.0, 69.4478
7.397441727, 96.390, 4885.0, 69.8928
7.423702293, 96.390, 4692.0, 68.4982
7.449962858, 96.390, 4663.0, 68.2862
7.476223423, 96.390, 4805.0, 69.3181
7.502483989, 96.390, 4680.0, 68.4105
7.528744554, 96.390, 4651.0, 68.1982
7.555005119, 96.390, 4622.0, 67.9853
7.581265685, 96.390, 4634.0, 68.0735
7.607526250, 96.390, 4804.0, 69.3109
7.633786815, 96.390, 4674.0, 68.3667
7.660047381, 96.390, 4726.0, 68.7459
7.686307946, 96.390, 4648.0, 68.1762
7.712568512, 96.390, 4646.0, 68.1616
7.738829077, 96.390, 4529.0, 67.2978
7.765089642, 96.390, 4540.0, 67.3795
7.791350208, 96.390, 4432.0, 66.5733
7.817610773, 96.390, 4571.0, 67.6092
7.843871338, 96.390, 4516.0, 67.2012
7.870131904, 96.390, 4596.0, 67.7938
7.896392469, 96.390, 4521.0, 67.2384
7.922653034, 96.390, 4493.0, 67.0298
7.948913600, 96.390, 4452.0, 66.7233
