[Measurement conditions]
Sample identification,XRD_MgCorner17Dec21_Act18Jan22_B4_0251M_NaOH_LS0113_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,21/Jan/2022 11:24
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 6272.0, 79.1960
5.033990845, 96.390, 6345.0, 79.6555
5.060251411, 96.390, 6480.0, 80.4984
5.086511976, 96.390, 6316.0, 79.4733
5.112772541, 96.390, 6349.0, 79.6806
5.139033107, 96.390, 6250.0, 79.0569
5.165293672, 96.390, 6192.0, 78.6893
5.191554237, 96.390, 6032.0, 77.6660
5.217814803, 96.390, 6060.0, 77.8460
5.244075368, 96.390, 6080.0, 77.9744
5.270335934, 96.390, 6070.0, 77.9102
5.296596499, 96.390, 5966.0, 77.2399
5.322857064, 96.390, 5952.0, 77.1492
5.349117630, 96.390, 6008.0, 77.5113
5.375378195, 96.390, 6101.0, 78.1089
5.401638760, 96.390, 6077.0, 77.9551
5.427899326, 96.390, 5824.0, 76.3151
5.454159891, 96.390, 6014.0, 77.5500
5.480420456, 96.390, 5868.0, 76.6029
5.506681022, 96.390, 5826.0, 76.3282
5.532941587, 96.390, 5811.0, 76.2299
5.559202152, 96.390, 5823.0, 76.3086
5.585462718, 96.390, 5788.0, 76.0789
5.611723283, 96.390, 5709.0, 75.5579
5.637983849, 96.390, 5659.0, 75.2263
5.664244414, 96.390, 5739.0, 75.7562
5.690504979, 96.390, 5818.0, 76.2758
5.716765545, 96.390, 5633.0, 75.0533
5.743026110, 96.390, 5770.0, 75.9605
5.769286675, 96.390, 5622.0, 74.9800
5.795547241, 96.390, 5490.0, 74.0945
5.821807806, 96.390, 5595.0, 74.7997
5.848068371, 96.390, 5725.0, 75.6637
5.874328937, 96.390, 5705.0, 75.5315
5.900589502, 96.390, 5645.0, 75.1332
5.926850067, 96.390, 5649.0, 75.1598
5.953110633, 96.390, 5495.0, 74.1283
5.979371198, 96.390, 5471.0, 73.9662
6.005631763, 96.390, 5548.0, 74.4849
6.031892329, 96.390, 5703.0, 75.5182
6.058152894, 96.390, 5443.0, 73.7767
6.084413460, 96.390, 5566.0, 74.6056
6.110674025, 96.390, 5655.0, 75.1997
6.136934590, 96.390, 5572.0, 74.6458
6.163195156, 96.390, 5465.0, 73.9256
6.189455721, 96.390, 5461.0, 73.8986
6.215716286, 96.390, 5401.0, 73.4915
6.241976852, 96.390, 5309.0, 72.8629
6.268237417, 96.390, 5415.0, 73.5867
6.294497982, 96.390, 5511.0, 74.2361
6.320758548, 96.390, 5414.0, 73.5799
6.347019113, 96.390, 5446.0, 73.7970
6.373279678, 96.390, 5559.0, 74.5587
6.399540244, 96.390, 5317.0, 72.9178
6.425800809, 96.390, 5403.0, 73.5051
6.452061375, 96.390, 5451.0, 73.8309
6.478321940, 96.390, 5390.0, 73.4166
6.504582505, 96.390, 5343.0, 73.0958
6.530843071, 96.390, 5253.0, 72.4776
6.557103636, 96.390, 5284.0, 72.6911
6.583364201, 96.390, 5294.0, 72.7599
6.609624767, 96.390, 5341.0, 73.0821
6.635885332, 96.390, 5434.0, 73.7157
6.662145897, 96.390, 5331.0, 73.0137
6.688406463, 96.390, 5309.0, 72.8629
6.714667028, 96.390, 5344.0, 73.1027
6.740927593, 96.390, 5354.0, 73.1710
6.767188159, 96.390, 5325.0, 72.9726
6.793448724, 96.390, 5053.0, 71.0845
6.819709289, 96.390, 5233.0, 72.3395
6.845969855, 96.390, 5142.0, 71.7077
6.872230420, 96.390, 5155.0, 71.7983
6.898490986, 96.390, 5138.0, 71.6798
6.924751551, 96.390, 5130.0, 71.6240
6.951012116, 96.390, 5055.0, 71.0985
6.977272682, 96.390, 5132.0, 71.6380
7.003533247, 96.390, 5099.0, 71.4073
7.029793812, 96.390, 5129.0, 71.6170
7.056054378, 96.390, 5066.0, 71.1758
7.082314943, 96.390, 4991.0, 70.6470
7.108575508, 96.390, 5133.0, 71.6450
7.134836074, 96.390, 5161.0, 71.8401
7.161096639, 96.390, 5120.0, 71.5542
7.187357204, 96.390, 5031.0, 70.9295
7.213617770, 96.390, 5001.0, 70.7177
7.239878335, 96.390, 5055.0, 71.0985
7.266138900, 96.390, 5025.0, 70.8872
7.292399466, 96.390, 4946.0, 70.3278
7.318660031, 96.390, 5030.0, 70.9225
7.344920597, 96.390, 4928.0, 70.1997
7.371181162, 96.390, 4953.0, 70.3776
7.397441727, 96.390, 4972.0, 70.5124
7.423702293, 96.390, 4838.0, 69.5557
7.449962858, 96.390, 4916.0, 70.1142
7.476223423, 96.390, 4909.0, 70.0643
7.502483989, 96.390, 4953.0, 70.3776
7.528744554, 96.390, 4979.0, 70.5620
7.555005119, 96.390, 4749.0, 68.9130
7.581265685, 96.390, 4830.0, 69.4982
7.607526250, 96.390, 4732.0, 68.7895
7.633786815, 96.390, 4857.0, 69.6922
7.660047381, 96.390, 4863.0, 69.7352
7.686307946, 96.390, 4830.0, 69.4982
7.712568512, 96.390, 4783.0, 69.1592
7.738829077, 96.390, 4685.0, 68.4471
7.765089642, 96.390, 4725.0, 68.7386
7.791350208, 96.390, 4797.0, 69.2604
7.817610773, 96.390, 4823.0, 69.4478
7.843871338, 96.390, 4800.0, 69.2820
7.870131904, 96.390, 4893.0, 69.9500
7.896392469, 96.390, 4672.0, 68.3520
7.922653034, 96.390, 4789.0, 69.2026
7.948913600, 96.390, 4792.0, 69.2243
7.975174165, 96.390, 4714.0, 68.6586
8.001434730, 96.390, 4772.0, 69.0797
8.027695296, 96.390, 4673.0, 68.3593
8.053955861, 96.390, 4728.0, 68.7605
8.080216426, 96.390, 4718.0, 68.6877
8.106476992, 96.390, 4812.0, 69.3686
8.132737557, 96.390, 4594.0, 67.7791
8.158998123, 96.390, 4749.0, 68.9130
8.185258688, 96.390, 4612.0, 67.9117
8.211519253, 96.390, 4592.0, 67.7643
8.237779819, 96.390, 4497.0, 67.0597
8.264040384, 96.390, 4743.0, 68.8694
8.290300949, 96.390, 4682.0, 68.4251
8.316561515, 96.390, 4600.0, 67.8233
8.342822080, 96.390, 4606.0, 67.8675
8.369082645, 96.390, 4687.0, 68.4617
8.395343211, 96.390, 4557.0, 67.5056
8.421603776, 96.390, 4730.0, 68.7750
8.447864341, 96.390, 4594.0, 67.7791
8.474124907, 96.390, 4614.0, 67.9264
8.500385472, 96.390, 4536.0, 67.3498
8.526646038, 96.390, 4681.0, 68.4178
8.552906603, 96.390, 4639.0, 68.1102
8.579167168, 96.390, 4605.0, 67.8602
8.605427734, 96.390, 4590.0, 67.7495
8.631688299, 96.390, 4597.0, 67.8012
8.657948864, 96.390, 4520.0, 67.2309
8.684209430, 96.390, 4511.0, 67.1640
8.710469995, 96.390, 4667.0, 68.3154
8.736730560, 96.390, 4456.0, 66.7533
8.762991126, 96.390, 4494.0, 67.0373
8.789251691, 96.390, 4469.0, 66.8506
8.815512256, 96.390, 4502.0, 67.0969
8.841772822, 96.390, 4594.0, 67.7791
8.868033387, 96.390, 4574.0, 67.6314
8.894293952, 96.390, 4570.0, 67.6018
8.920554518, 96.390, 4530.0, 67.3053
8.946815083, 96.390, 4606.0, 67.8675
8.973075649, 96.390, 4475.0, 66.8954
8.999336214, 96.390, 4488.0, 66.9925
9.025596779, 96.390, 4533.0, 67.3276
9.051857345, 96.390, 4489.0, 67.0000
9.078117910, 96.390, 4656.0, 68.2349
9.104378475, 96.390, 4392.0, 66.2722
9.130639041, 96.390, 4608.0, 67.8823
9.156899606, 96.390, 4523.0, 67.2533
9.183160171, 96.390, 4469.0, 66.8506
9.209420737, 96.390, 4588.0, 67.7348
9.235681302, 96.390, 4501.0, 67.0895
9.261941867, 96.390, 4370.0, 66.1060
9.288202433, 96.390, 4408.0, 66.3928
9.314462998, 96.390, 4435.0, 66.5958
9.340723564, 96.390, 4453.0, 66.7308
9.366984129, 96.390, 4499.0, 67.0746
9.393244694, 96.390, 4387.0, 66.2344
9.419505260, 96.390, 4350.0, 65.9545
9.445765825, 96.390, 4497.0, 67.0597
9.472026390, 96.390, 4545.0, 67.4166
9.498286956, 96.390, 4536.0, 67.3498
9.524547521, 96.390, 4421.0, 66.4906
9.550808086, 96.390, 4505.0, 67.1193
9.577068652, 96.390, 4523.0, 67.2533
9.603329217, 96.390, 4570.0, 67.6018
9.629589782, 96.390, 4488.0, 66.9925
9.655850348, 96.390, 4539.0, 67.3721
9.682110913, 96.390, 4469.0, 66.8506
9.708371478, 96.390, 4420.0, 66.4831
9.734632044, 96.390, 4471.0, 66.8655
9.760892609, 96.390, 4589.0, 67.7422
9.787153175, 96.390, 4461.0, 66.7907
9.813413740, 96.390, 4576.0, 67.6461
9.839674305, 96.390, 4454.0, 66.7383
9.865934871, 96.390, 4656.0, 68.2349
9.892195436, 96.390, 4590.0, 67.7495
9.918456001, 96.390, 4617.0, 67.9485
9.944716567, 96.390, 4580.0, 67.6757
9.970977132, 96.390, 4578.0, 67.6609
9.997237697, 96.390, 4639.0, 68.1102
10.023498263, 96.390, 4743.0, 68.8694
10.049758828, 96.390, 4738.0, 68.8331
10.076019393, 96.390, 4644.0, 68.1469
10.102279959, 96.390, 4498.0, 67.0671
10.128540524, 96.390, 4652.0, 68.2056
10.154801090, 96.390, 4609.0, 67.8896
10.181061655, 96.390, 4717.0, 68.6804
10.207322220, 96.390, 4710.0, 68.6294
10.233582786, 96.390, 4752.0, 68.9348
10.259843351, 96.390, 4682.0, 68.4251
10.286103916, 96.390, 4582.0, 67.6905
10.312364482, 96.390, 4770.0, 69.0652
10.338625047, 96.390, 4759.0, 68.9855
10.364885612, 96.390, 4594.0, 67.7791
10.391146178, 96.390, 4616.0, 67.9412
10.417406743, 96.390, 4638.0, 68.1029
10.443667308, 96.390, 4662.0, 68.2788
10.469927874, 96.390, 4633.0, 68.0661
10.496188439, 96.390, 4787.0, 69.1881
10.522449004, 96.390, 4725.0, 68.7386
10.548709570, 96.390, 4702.0, 68.5711
10.574970135, 96.390, 4727.0, 68.7532
10.601230701, 96.390, 4633.0, 68.0661
10.627491266, 96.390, 4733.0, 68.7968
10.653751831, 96.390, 4690.0, 68.4836
10.680012397, 96.390, 4769.0, 69.0579
10.706272962, 96.390, 4539.0, 67.3721
10.732533527, 96.390, 4675.0, 68.3740
10.758794093, 96.390, 4775.0, 69.1014
10.785054658, 96.390, 4760.0, 68.9928
10.811315223, 96.390, 4650.0, 68.1909
10.837575789, 96.390, 4625.0, 68.0074
10.863836354, 96.390, 4663.0, 68.2862
10.890096919, 96.390, 4632.0, 68.0588
10.916357485, 96.390, 4622.0, 67.9853
10.942618050, 96.390, 4667.0, 68.3154
10.968878616, 96.390, 4682.0, 68.4251
10.995139181, 96.390, 4689.0, 68.4763
11.021399746, 96.390, 4715.0, 68.6659
11.047660312, 96.390, 4575.0, 67.6387
11.073920877, 96.390, 4703.0, 68.5784
11.100181442, 96.390, 4638.0, 68.1029
11.126442008, 96.390, 4481.0, 66.9403
11.152702573, 96.390, 4532.0, 67.3201
11.178963138, 96.390, 4586.0, 67.7200
11.205223704, 96.390, 4548.0, 67.4389
11.231484269, 96.390, 4382.0, 66.1967
11.257744834, 96.390, 4601.0, 67.8307
11.284005400, 96.390, 4505.0, 67.1193
11.310265965, 96.390, 4398.0, 66.3174
11.336526530, 96.390, 4356.0, 66.0000
11.362787096, 96.390, 4364.0, 66.0606
11.389047661, 96.390, 4412.0, 66.4229
11.415308227, 96.390, 4253.0, 65.2150
11.441568792, 96.390, 4275.0, 65.3835
11.467829357, 96.390, 4216.0, 64.9307
11.494089923, 96.390, 4293.0, 65.5210
11.520350488, 96.390, 4155.0, 64.4593
11.546611053, 96.390, 4195.0, 64.7688
11.572871619, 96.390, 4173.0, 64.5988
11.599132184, 96.390, 4131.0, 64.2729
11.625392749, 96.390, 4073.0, 63.8201
11.651653315, 96.390, 4170.0, 64.5755
11.677913880, 96.390, 4046.0, 63.6082
11.704174445, 96.390, 3967.0, 62.9841
11.730435011, 96.390, 3895.0, 62.4099
11.756695576, 96.390, 3968.0, 62.9921
11.782956141, 96.390, 3971.0, 63.0159
11.809216707, 96.390, 3988.0, 63.1506
11.835477272, 96.390, 3783.0, 61.5061
11.861737838, 96.390, 3827.0, 61.8628
11.887998403, 96.390, 3886.0, 62.3378
11.914258968, 96.390, 3730.0, 61.0737
11.940519534, 96.390, 3754.0, 61.2699
11.966780099, 96.390, 3698.0, 60.8112
11.993040664, 96.390, 3730.0, 61.0737
12.019301230, 96.390, 3626.0, 60.2163
12.045561795, 96.390, 3652.0, 60.4318
12.071822360, 96.390, 3567.0, 59.7244
12.098082926, 96.390, 3637.0, 60.3075
12.124343491, 96.390, 3549.0, 59.5735
12.150604056, 96.390, 3606.0, 60.0500
12.176864622, 96.390, 3548.0, 59.5651
12.203125187, 96.390, 3472.0, 58.9237
12.229385753, 96.390, 3446.0, 58.7026
12.255646318, 96.390, 3422.0, 58.4979
12.281906883, 96.390, 3368.0, 58.0345
12.308167449, 96.390, 3414.0, 58.4294
12.334428014, 96.390, 3390.0, 58.2237
12.360688579, 96.390, 3306.0, 57.4978
12.386949145, 96.390, 3354.0, 57.9137
12.413209710, 96.390, 3321.0, 57.6281
12.439470275, 96.390, 3228.0, 56.8155
12.465730841, 96.390, 3207.0, 56.6304
12.491991406, 96.390, 3307.0, 57.5065
12.518251971, 96.390, 3241.0, 56.9298
12.544512537, 96.390, 3229.0, 56.8243
12.570773102, 96.390, 3182.0, 56.4092
12.597033667, 96.390, 3133.0, 55.9732
12.623294233, 96.390, 3181.0, 56.4004
12.649554798, 96.390, 3126.0, 55.9106
12.675815364, 96.390, 3049.0, 55.2178
12.702075929, 96.390, 3070.0, 55.4076
12.728336494, 96.390, 2957.0, 54.3783
12.754597060, 96.390, 3064.0, 55.3534
12.780857625, 96.390, 2981.0, 54.5985
12.807118190, 96.390, 3045.0, 55.1815
12.833378756, 96.390, 3020.0, 54.9545
12.859639321, 96.390, 2908.0, 53.9259
12.885899886, 96.390, 2937.0, 54.1941
12.912160452, 96.390, 2858.0, 53.4603
12.938421017, 96.390, 2931.0, 54.1387
12.964681582, 96.390, 2845.0, 53.3385
12.990942148, 96.390, 2870.0, 53.5724
13.017202713, 96.390, 2912.0, 53.9630
13.043463279, 96.390, 2735.0, 52.2972
13.069723844, 96.390, 2760.0, 52.5357
13.095984409, 96.390, 2775.0, 52.6783
13.122244975, 96.390, 2714.0, 52.0961
13.148505540, 96.390, 2646.0, 51.4393
13.174766105, 96.390, 2744.0, 52.3832
13.201026671, 96.390, 2735.0, 52.2972
13.227287236, 96.390, 2709.0, 52.0481
13.253547801, 96.390, 2742.0, 52.3641
13.279808367, 96.390, 2716.0, 52.1153
13.306068932, 96.390, 2623.0, 51.2152
13.332329497, 96.390, 2603.0, 51.0196
13.358590063, 96.390, 2634.0, 51.3225
13.384850628, 96.390, 2596.0, 50.9510
13.411111193, 96.390, 2660.0, 51.5752
13.437371759, 96.390, 2643.0, 51.4101
13.463632324, 96.390, 2553.0, 50.5272
13.489892890, 96.390, 2655.0, 51.5267
13.516153455, 96.390, 2564.0, 50.6360
13.542414020, 96.390, 2542.0, 50.4183
13.568674586, 96.390, 2629.0, 51.2738
13.594935151, 96.390, 2593.0, 50.9215
13.621195716, 96.390, 2587.0, 50.8626
13.647456282, 96.390, 2507.0, 50.0700
13.673716847, 96.390, 2495.0, 49.9500
13.699977412, 96.390, 2569.0, 50.6853
13.726237978, 96.390, 2410.0, 49.0918
13.752498543, 96.390, 2535.0, 50.3488
13.778759108, 96.390, 2559.0, 50.5866
13.805019674, 96.390, 2482.0, 49.8197
13.831280239, 96.390, 2470.0, 49.6991
13.857540805, 96.390, 2387.0, 48.8569
13.883801370, 96.390, 2434.0, 49.3356
13.910061935, 96.390, 2458.0, 49.5782
13.936322501, 96.390, 2496.0, 49.9600
13.962583066, 96.390, 2469.0, 49.6890
13.988843631, 96.390, 2418.0, 49.1732
14.015104197, 96.390, 2347.0, 48.4458
14.041364762, 96.390, 2426.0, 49.2544
14.067625327, 96.390, 2384.0, 48.8262
14.093885893, 96.390, 2412.0, 49.1121
14.120146458, 96.390, 2407.0, 49.0612
14.146407023, 96.390, 2403.0, 49.0204
14.172667589, 96.390, 2363.0, 48.6107
14.198928154, 96.390, 2299.0, 47.9479
14.225188719, 96.390, 2344.0, 48.4149
14.251449285, 96.390, 2344.0, 48.4149
14.277709850, 96.390, 2363.0, 48.6107
14.303970416, 96.390, 2311.0, 48.0729
14.330230981, 96.390, 2404.0, 49.0306
14.356491546, 96.390, 2311.0, 48.0729
14.382752112, 96.390, 2286.0, 47.8121
14.409012677, 96.390, 2320.0, 48.1664
14.435273242, 96.390, 2356.0, 48.5386
14.461533808, 96.390, 2334.0, 48.3115
14.487794373, 96.390, 2238.0, 47.3075
14.514054938, 96.390, 2333.0, 48.3011
14.540315504, 96.390, 2323.0, 48.1975
14.566576069, 96.390, 2302.0, 47.9792
14.592836634, 96.390, 2367.0, 48.6518
14.619097200, 96.390, 2219.0, 47.1063
14.645357765, 96.390, 2301.0, 47.9687
14.671618331, 96.390, 2284.0, 47.7912
14.697878896, 96.390, 2259.0, 47.5289
14.724139461, 96.390, 2265.0, 47.5920
14.750400027, 96.390, 2256.0, 47.4974
14.776660592, 96.390, 2313.0, 48.0937
14.802921157, 96.390, 2232.0, 47.2440
14.829181723, 96.390, 2207.0, 46.9787
14.855442288, 96.390, 2198.0, 46.8828
14.881702853, 96.390, 2197.0, 46.8722
14.907963419, 96.390, 2201.0, 46.9148
14.934223984, 96.390, 2094.0, 45.7602
14.960484549, 96.390, 2133.0, 46.1844
14.986745115, 96.390, 2162.0, 46.4973
15.013005680, 96.390, 2183.0, 46.7226
15.039266245, 96.390, 2199.0, 46.8935
15.065526811, 96.390, 2247.0, 47.4025
15.091787376, 96.390, 2102.0, 45.8476
15.118047942, 96.390, 2105.0, 45.8803
15.144308507, 96.390, 2195.0, 46.8508
15.170569072, 96.390, 2175.0, 46.6369
15.196829638, 96.390, 2182.0, 46.7119
15.223090203, 96.390, 2233.0, 47.2546
15.249350768, 96.390, 2163.0, 46.5081
15.275611334, 96.390, 2114.0, 45.9783
15.301871899, 96.390, 2163.0, 46.5081
15.328132464, 96.390, 2081.0, 45.6180
15.354393030, 96.390, 2112.0, 45.9565
15.380653595, 96.390, 2099.0, 45.8148
15.406914160, 96.390, 2159.0, 46.4650
15.433174726, 96.390, 2154.0, 46.4112
15.459435291, 96.390, 2060.0, 45.3872
15.485695857, 96.390, 2030.0, 45.0555
15.511956422, 96.390, 2086.0, 45.6727
15.538216987, 96.390, 2186.0, 46.7547
15.564477553, 96.390, 2117.0, 46.0109
15.590738118, 96.390, 2129.0, 46.1411
15.616998683, 96.390, 2155.0, 46.4220
15.643259249, 96.390, 2073.0, 45.5302
15.669519814, 96.390, 2143.0, 46.2925
15.695780379, 96.390, 2121.0, 46.0543
15.722040945, 96.390, 2058.0, 45.3652
15.748301510, 96.390, 2051.0, 45.2880
15.774562075, 96.390, 2120.0, 46.0435
15.800822641, 96.390, 2161.0, 46.4866
15.827083206, 96.390, 2097.0, 45.7930
15.853343771, 96.390, 2111.0, 45.9456
15.879604337, 96.390, 2113.0, 45.9674
15.905864902, 96.390, 2087.0, 45.6837
15.932125468, 96.390, 2041.0, 45.1774
15.958386033, 96.390, 2053.0, 45.3100
15.984646598, 96.390, 1984.0, 44.5421
16.010907164, 96.390, 2088.0, 45.6946
16.037167729, 96.390, 2023.0, 44.9778
16.063428294, 96.390, 2085.0, 45.6618
16.089688860, 96.390, 2084.0, 45.6508
16.115949425, 96.390, 1987.0, 44.5758
16.142209990, 96.390, 2025.0, 45.0000
16.168470556, 96.390, 2035.0, 45.1110
16.194731121, 96.390, 2000.0, 44.7214
16.220991686, 96.390, 2043.0, 45.1996
16.247252252, 96.390, 2010.0, 44.8330
16.273512817, 96.390, 2074.0, 45.5412
16.299773382, 96.390, 2036.0, 45.1221
16.326033948, 96.390, 2066.0, 45.4533
16.352294513, 96.390, 2016.0, 44.8999
16.378555079, 96.390, 2084.0, 45.6508
16.404815644, 96.390, 2058.0, 45.3652
16.431076209, 96.390, 2078.0, 45.5851
16.457336775, 96.390, 2082.0, 45.6289
16.483597340, 96.390, 2006.0, 44.7884
16.509857905, 96.390, 2041.0, 45.1774
16.536118471, 96.390, 2072.0, 45.5192
16.562379036, 96.390, 2063.0, 45.4203
16.588639601, 96.390, 2072.0, 45.5192
16.614900167, 96.390, 2011.0, 44.8442
16.641160732, 96.390, 2076.0, 45.5631
16.667421297, 96.390, 2070.0, 45.4973
16.693681863, 96.390, 2049.0, 45.2659
16.719942428, 96.390, 2003.0, 44.7549
16.746202994, 96.390, 2021.0, 44.9555
16.772463559, 96.390, 1998.0, 44.6990
16.798724124, 96.390, 2037.0, 45.1331
16.824984690, 96.390, 2024.0, 44.9889
16.851245255, 96.390, 2025.0, 45.0000
16.877505820, 96.390, 2056.0, 45.3431
16.903766386, 96.390, 1930.0, 43.9318
16.930026951, 96.390, 2056.0, 45.3431
