[Measurement conditions]
Sample identification,XRD_PAxial22Nov21_Act23Jan22_B1_0307M_NaOH_LS0108_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,26/Jan/2022 12:01
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 7040.0, 83.9047
5.033990845, 96.390, 7096.0, 84.2378
5.060251411, 96.390, 6898.0, 83.0542
5.086511976, 96.390, 6936.0, 83.2827
5.112772541, 96.390, 6718.0, 81.9634
5.139033107, 96.390, 6774.0, 82.3043
5.165293672, 96.390, 6818.0, 82.5712
5.191554237, 96.390, 6729.0, 82.0305
5.217814803, 96.390, 6582.0, 81.1295
5.244075368, 96.390, 6463.0, 80.3928
5.270335934, 96.390, 6497.0, 80.6040
5.296596499, 96.390, 6370.0, 79.8123
5.322857064, 96.390, 6381.0, 79.8812
5.349117630, 96.390, 6544.0, 80.8950
5.375378195, 96.390, 6110.0, 78.1665
5.401638760, 96.390, 6336.0, 79.5990
5.427899326, 96.390, 6263.0, 79.1391
5.454159891, 96.390, 6076.0, 77.9487
5.480420456, 96.390, 6048.0, 77.7689
5.506681022, 96.390, 6078.0, 77.9615
5.532941587, 96.390, 6031.0, 77.6595
5.559202152, 96.390, 6164.0, 78.5111
5.585462718, 96.390, 5834.0, 76.3806
5.611723283, 96.390, 5956.0, 77.1751
