[Measurement conditions]
Sample identification,XRD_SiAxial12Jan22_Act07Feb22_B3_0310M_NaOH_LS0117_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Feb/2022 13:38
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5523.0, 74.3169
5.033990845, 96.390, 5644.0, 75.1266
5.060251411, 96.390, 5621.0, 74.9733
5.086511976, 96.390, 5696.0, 75.4718
5.112772541, 96.390, 5497.0, 74.1418
5.139033107, 96.390, 5568.0, 74.6190
5.165293672, 96.390, 5578.0, 74.6860
5.191554237, 96.390, 5486.0, 74.0675
5.217814803, 96.390, 5351.0, 73.1505
5.244075368, 96.390, 5322.0, 72.9520
5.270335934, 96.390, 5299.0, 72.7942
5.296596499, 96.390, 5409.0, 73.5459
5.322857064, 96.390, 5394.0, 73.4439
5.349117630, 96.390, 5332.0, 73.0205
5.375378195, 96.390, 5208.0, 72.1665
5.401638760, 96.390, 5189.0, 72.0347
5.427899326, 96.390, 5208.0, 72.1665
5.454159891, 96.390, 5133.0, 71.6450
5.480420456, 96.390, 5233.0, 72.3395
5.506681022, 96.390, 5119.0, 71.5472
5.532941587, 96.390, 5068.0, 71.1899
5.559202152, 96.390, 4997.0, 70.6895
5.585462718, 96.390, 5100.0, 71.4143
5.611723283, 96.390, 5227.0, 72.2980
5.637983849, 96.390, 4984.0, 70.5975
5.664244414, 96.390, 4975.0, 70.5337
5.690504979, 96.390, 4947.0, 70.3349
5.716765545, 96.390, 5005.0, 70.7460
5.743026110, 96.390, 4964.0, 70.4557
5.769286675, 96.390, 5024.0, 70.8802
5.795547241, 96.390, 4879.0, 69.8498
5.821807806, 96.390, 4885.0, 69.8928
5.848068371, 96.390, 5024.0, 70.8802
5.874328937, 96.390, 4834.0, 69.5270
5.900589502, 96.390, 4856.0, 69.6850
5.926850067, 96.390, 4876.0, 69.8284
5.953110633, 96.390, 4867.0, 69.7639
5.979371198, 96.390, 4953.0, 70.3776
6.005631763, 96.390, 4715.0, 68.6659
6.031892329, 96.390, 4747.0, 68.8985
6.058152894, 96.390, 4599.0, 67.8159
6.084413460, 96.390, 4658.0, 68.2495
6.110674025, 96.390, 4715.0, 68.6659
6.136934590, 96.390, 4765.0, 69.0290
6.163195156, 96.390, 4692.0, 68.4982
6.189455721, 96.390, 4691.0, 68.4909
6.215716286, 96.390, 4682.0, 68.4251
6.241976852, 96.390, 4677.0, 68.3886
6.268237417, 96.390, 4741.0, 68.8549
6.294497982, 96.390, 4686.0, 68.4544
6.320758548, 96.390, 4730.0, 68.7750
6.347019113, 96.390, 4694.0, 68.5128
6.373279678, 96.390, 4727.0, 68.7532
6.399540244, 96.390, 4658.0, 68.2495
6.425800809, 96.390, 4637.0, 68.0955
6.452061375, 96.390, 4561.0, 67.5352
6.478321940, 96.390, 4631.0, 68.0515
6.504582505, 96.390, 4641.0, 68.1249
6.530843071, 96.390, 4598.0, 67.8086
6.557103636, 96.390, 4533.0, 67.3276
6.583364201, 96.390, 4504.0, 67.1118
6.609624767, 96.390, 4458.0, 66.7683
6.635885332, 96.390, 4572.0, 67.6166
6.662145897, 96.390, 4519.0, 67.2235
6.688406463, 96.390, 4402.0, 66.3476
6.714667028, 96.390, 4561.0, 67.5352
6.740927593, 96.390, 4495.0, 67.0448
6.767188159, 96.390, 4457.0, 66.7608
6.793448724, 96.390, 4393.0, 66.2797
6.819709289, 96.390, 4615.0, 67.9338
6.845969855, 96.390, 4353.0, 65.9773
6.872230420, 96.390, 4424.0, 66.5132
6.898490986, 96.390, 4506.0, 67.1267
6.924751551, 96.390, 4411.0, 66.4154
6.951012116, 96.390, 4470.0, 66.8581
6.977272682, 96.390, 4445.0, 66.6708
7.003533247, 96.390, 4421.0, 66.4906
7.029793812, 96.390, 4482.0, 66.9477
7.056054378, 96.390, 4434.0, 66.5883
7.082314943, 96.390, 4469.0, 66.8506
7.108575508, 96.390, 4378.0, 66.1665
7.134836074, 96.390, 4315.0, 65.6887
7.161096639, 96.390, 4368.0, 66.0908
7.187357204, 96.390, 4246.0, 65.1613
7.213617770, 96.390, 4377.0, 66.1589
7.239878335, 96.390, 4290.0, 65.4981
7.266138900, 96.390, 4257.0, 65.2457
7.292399466, 96.390, 4338.0, 65.8635
7.318660031, 96.390, 4341.0, 65.8863
7.344920597, 96.390, 4212.0, 64.8999
7.371181162, 96.390, 4321.0, 65.7343
7.397441727, 96.390, 4249.0, 65.1844
7.423702293, 96.390, 4210.0, 64.8845
7.449962858, 96.390, 4215.0, 64.9230
7.476223423, 96.390, 4328.0, 65.7875
7.502483989, 96.390, 4249.0, 65.1844
7.528744554, 96.390, 4208.0, 64.8691
7.555005119, 96.390, 4330.0, 65.8027
7.581265685, 96.390, 4212.0, 64.8999
7.607526250, 96.390, 4136.0, 64.3117
7.633786815, 96.390, 4143.0, 64.3661
7.660047381, 96.390, 4118.0, 64.1716
7.686307946, 96.390, 4307.0, 65.6277
7.712568512, 96.390, 4165.0, 64.5368
7.738829077, 96.390, 4136.0, 64.3117
7.765089642, 96.390, 4230.0, 65.0385
7.791350208, 96.390, 3984.0, 63.1189
7.817610773, 96.390, 4036.0, 63.5295
7.843871338, 96.390, 4039.0, 63.5531
7.870131904, 96.390, 4194.0, 64.7611
7.896392469, 96.390, 4209.0, 64.8768
7.922653034, 96.390, 4177.0, 64.6297
7.948913600, 96.390, 4107.0, 64.0859
7.975174165, 96.390, 4125.0, 64.2262
8.001434730, 96.390, 3985.0, 63.1269
8.027695296, 96.390, 4103.0, 64.0547
8.053955861, 96.390, 4133.0, 64.2884
8.080216426, 96.390, 4084.0, 63.9062
8.106476992, 96.390, 3953.0, 62.8729
8.132737557, 96.390, 3965.0, 62.9682
8.158998123, 96.390, 3961.0, 62.9365
8.185258688, 96.390, 4031.0, 63.4902
8.211519253, 96.390, 3890.0, 62.3699
8.237779819, 96.390, 4035.0, 63.5216
8.264040384, 96.390, 4074.0, 63.8279
8.290300949, 96.390, 3977.0, 63.0635
8.316561515, 96.390, 3932.0, 62.7057
8.342822080, 96.390, 3884.0, 62.3217
8.369082645, 96.390, 4031.0, 63.4902
8.395343211, 96.390, 3942.0, 62.7853
8.421603776, 96.390, 3909.0, 62.5220
8.447864341, 96.390, 3875.0, 62.2495
8.474124907, 96.390, 3844.0, 62.0000
8.500385472, 96.390, 3910.0, 62.5300
8.526646038, 96.390, 3796.0, 61.6117
8.552906603, 96.390, 3848.0, 62.0322
8.579167168, 96.390, 3972.0, 63.0238
8.605427734, 96.390, 3950.0, 62.8490
8.631688299, 96.390, 3691.0, 60.7536
8.657948864, 96.390, 3804.0, 61.6766
8.684209430, 96.390, 3799.0, 61.6360
8.710469995, 96.390, 3871.0, 62.2174
8.736730560, 96.390, 3774.0, 61.4329
8.762991126, 96.390, 3767.0, 61.3759
8.789251691, 96.390, 3690.0, 60.7454
8.815512256, 96.390, 3715.0, 60.9508
8.841772822, 96.390, 3831.0, 61.8951
8.868033387, 96.390, 3751.0, 61.2454
8.894293952, 96.390, 3692.0, 60.7618
8.920554518, 96.390, 3678.0, 60.6465
8.946815083, 96.390, 3889.0, 62.3618
8.973075649, 96.390, 3770.0, 61.4003
8.999336214, 96.390, 3789.0, 61.5549
9.025596779, 96.390, 3710.0, 60.9098
9.051857345, 96.390, 3664.0, 60.5310
9.078117910, 96.390, 3686.0, 60.7124
9.104378475, 96.390, 3841.0, 61.9758
9.130639041, 96.390, 3720.0, 60.9918
9.156899606, 96.390, 3830.0, 61.8870
9.183160171, 96.390, 3585.0, 59.8749
9.209420737, 96.390, 3690.0, 60.7454
9.235681302, 96.390, 3644.0, 60.3656
9.261941867, 96.390, 3664.0, 60.5310
9.288202433, 96.390, 3605.0, 60.0417
9.314462998, 96.390, 3684.0, 60.6960
9.340723564, 96.390, 3687.0, 60.7207
9.366984129, 96.390, 3466.0, 58.8727
9.393244694, 96.390, 3597.0, 59.9750
9.419505260, 96.390, 3580.0, 59.8331
9.445765825, 96.390, 3610.0, 60.0833
9.472026390, 96.390, 3693.0, 60.7701
9.498286956, 96.390, 3563.0, 59.6909
9.524547521, 96.390, 3592.0, 59.9333
9.550808086, 96.390, 3540.0, 59.4979
9.577068652, 96.390, 3729.0, 61.0655
9.603329217, 96.390, 3490.0, 59.0762
9.629589782, 96.390, 3540.0, 59.4979
9.655850348, 96.390, 3507.0, 59.2199
9.682110913, 96.390, 3494.0, 59.1101
9.708371478, 96.390, 3581.0, 59.8415
9.734632044, 96.390, 3427.0, 58.5406
9.760892609, 96.390, 3347.0, 57.8533
9.787153175, 96.390, 3596.0, 59.9667
9.813413740, 96.390, 3542.0, 59.5147
9.839674305, 96.390, 3464.0, 58.8558
9.865934871, 96.390, 3381.0, 58.1464
9.892195436, 96.390, 3504.0, 59.1946
9.918456001, 96.390, 3434.0, 58.6003
9.944716567, 96.390, 3397.0, 58.2838
9.970977132, 96.390, 3409.0, 58.3866
9.997237697, 96.390, 3408.0, 58.3781
10.023498263, 96.390, 3568.0, 59.7327
10.049758828, 96.390, 3436.0, 58.6174
10.076019393, 96.390, 3438.0, 58.6345
10.102279959, 96.390, 3360.0, 57.9655
10.128540524, 96.390, 3418.0, 58.4637
10.154801090, 96.390, 3243.0, 56.9473
10.181061655, 96.390, 3289.0, 57.3498
10.207322220, 96.390, 3353.0, 57.9051
10.233582786, 96.390, 3292.0, 57.3760
10.259843351, 96.390, 3229.0, 56.8243
10.286103916, 96.390, 3359.0, 57.9569
10.312364482, 96.390, 3341.0, 57.8014
10.338625047, 96.390, 3369.0, 58.0431
10.364885612, 96.390, 3308.0, 57.5152
10.391146178, 96.390, 3343.0, 57.8187
10.417406743, 96.390, 3266.0, 57.1489
10.443667308, 96.390, 3269.0, 57.1752
10.469927874, 96.390, 3292.0, 57.3760
10.496188439, 96.390, 3274.0, 57.2189
10.522449004, 96.390, 3214.0, 56.6922
10.548709570, 96.390, 3348.0, 57.8619
10.574970135, 96.390, 3291.0, 57.3672
10.601230701, 96.390, 3268.0, 57.1664
10.627491266, 96.390, 3156.0, 56.1783
10.653751831, 96.390, 3210.0, 56.6569
10.680012397, 96.390, 3196.0, 56.5332
10.706272962, 96.390, 3217.0, 56.7186
10.732533527, 96.390, 3244.0, 56.9561
10.758794093, 96.390, 3276.0, 57.2364
10.785054658, 96.390, 3112.0, 55.7853
10.811315223, 96.390, 3144.0, 56.0714
10.837575789, 96.390, 3138.0, 56.0179
10.863836354, 96.390, 3218.0, 56.7274
10.890096919, 96.390, 3151.0, 56.1338
10.916357485, 96.390, 3072.0, 55.4256
10.942618050, 96.390, 3118.0, 55.8391
10.968878616, 96.390, 3057.0, 55.2901
10.995139181, 96.390, 3073.0, 55.4346
11.021399746, 96.390, 3120.0, 55.8570
11.047660312, 96.390, 3240.0, 56.9210
11.073920877, 96.390, 3204.0, 56.6039
11.100181442, 96.390, 3053.0, 55.2540
11.126442008, 96.390, 3023.0, 54.9818
11.152702573, 96.390, 3147.0, 56.0981
11.178963138, 96.390, 3057.0, 55.2901
11.205223704, 96.390, 3075.0, 55.4527
11.231484269, 96.390, 3134.0, 55.9821
11.257744834, 96.390, 3040.0, 55.1362
11.284005400, 96.390, 3061.0, 55.3263
11.310265965, 96.390, 3106.0, 55.7315
11.336526530, 96.390, 3084.0, 55.5338
11.362787096, 96.390, 3178.0, 56.3738
11.389047661, 96.390, 3094.0, 55.6237
11.415308227, 96.390, 3088.0, 55.5698
11.441568792, 96.390, 3031.0, 55.0545
11.467829357, 96.390, 2981.0, 54.5985
11.494089923, 96.390, 2932.0, 54.1479
11.520350488, 96.390, 3096.0, 55.6417
11.546611053, 96.390, 2929.0, 54.1202
11.572871619, 96.390, 3073.0, 55.4346
11.599132184, 96.390, 2942.0, 54.2402
11.625392749, 96.390, 3033.0, 55.0727
11.651653315, 96.390, 2975.0, 54.5436
11.677913880, 96.390, 2938.0, 54.2033
11.704174445, 96.390, 2961.0, 54.4151
11.730435011, 96.390, 2971.0, 54.5069
11.756695576, 96.390, 3020.0, 54.9545
11.782956141, 96.390, 2859.0, 53.4696
