[Measurement conditions]
Sample identification,MNASPH_AlaxialPC01nov2021
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Dec/2021 11:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4877.0, 69.8355
5.033990845, 96.390, 5046.0, 71.0352
5.060251411, 96.390, 4832.0, 69.5126
5.086511976, 96.390, 4728.0, 68.7605
5.112772541, 96.390, 4682.0, 68.4251
5.139033107, 96.390, 4711.0, 68.6367
5.165293672, 96.390, 4696.0, 68.5274
5.191554237, 96.390, 4556.0, 67.4981
5.217814803, 96.390, 4588.0, 67.7348
5.244075368, 96.390, 4430.0, 66.5582
5.270335934, 96.390, 4524.0, 67.2607
5.296596499, 96.390, 4446.0, 66.6783
5.322857064, 96.390, 4535.0, 67.3424
5.349117630, 96.390, 4453.0, 66.7308
5.375378195, 96.390, 4410.0, 66.4078
5.401638760, 96.390, 4352.0, 65.9697
5.427899326, 96.390, 4346.0, 65.9242
5.454159891, 96.390, 4184.0, 64.6838
5.480420456, 96.390, 4425.0, 66.5207
5.506681022, 96.390, 4241.0, 65.1230
5.532941587, 96.390, 4121.0, 64.1950
5.559202152, 96.390, 4232.0, 65.0538
5.585462718, 96.390, 4198.0, 64.7920
5.611723283, 96.390, 4199.0, 64.7997
5.637983849, 96.390, 4171.0, 64.5833
5.664244414, 96.390, 4024.0, 63.4350
5.690504979, 96.390, 4132.0, 64.2806
5.716765545, 96.390, 4111.0, 64.1171
5.743026110, 96.390, 4073.0, 63.8201
5.769286675, 96.390, 3918.0, 62.5939
5.795547241, 96.390, 4097.0, 64.0078
5.821807806, 96.390, 3995.0, 63.2060
5.848068371, 96.390, 4002.0, 63.2614
5.874328937, 96.390, 3926.0, 62.6578
5.900589502, 96.390, 3882.0, 62.3057
5.926850067, 96.390, 3876.0, 62.2575
5.953110633, 96.390, 3916.0, 62.5780
5.979371198, 96.390, 3916.0, 62.5780
6.005631763, 96.390, 3931.0, 62.6977
6.031892329, 96.390, 3935.0, 62.7296
6.058152894, 96.390, 3817.0, 61.7819
6.084413460, 96.390, 3730.0, 61.0737
6.110674025, 96.390, 3815.0, 61.7657
6.136934590, 96.390, 3823.0, 61.8304
6.163195156, 96.390, 3748.0, 61.2209
6.189455721, 96.390, 3668.0, 60.5640
6.215716286, 96.390, 3702.0, 60.8441
6.241976852, 96.390, 3662.0, 60.5145
6.268237417, 96.390, 3726.0, 61.0410
6.294497982, 96.390, 3703.0, 60.8523
6.320758548, 96.390, 3773.0, 61.4248
6.347019113, 96.390, 3681.0, 60.6712
6.373279678, 96.390, 3726.0, 61.0410
6.399540244, 96.390, 3697.0, 60.8030
6.425800809, 96.390, 3727.0, 61.0492
6.452061375, 96.390, 3762.0, 61.3351
6.478321940, 96.390, 3623.0, 60.1914
6.504582505, 96.390, 3804.0, 61.6766
6.530843071, 96.390, 3497.0, 59.1354
6.557103636, 96.390, 3612.0, 60.0999
6.583364201, 96.390, 3697.0, 60.8030
6.609624767, 96.390, 3410.0, 58.3952
6.635885332, 96.390, 3521.0, 59.3380
6.662145897, 96.390, 3570.0, 59.7495
6.688406463, 96.390, 3651.0, 60.4235
6.714667028, 96.390, 3646.0, 60.3821
6.740927593, 96.390, 3546.0, 59.5483
6.767188159, 96.390, 3597.0, 59.9750
6.793448724, 96.390, 3598.0, 59.9833
6.819709289, 96.390, 3549.0, 59.5735
6.845969855, 96.390, 3572.0, 59.7662
6.872230420, 96.390, 3618.0, 60.1498
6.898490986, 96.390, 3528.0, 59.3970
6.924751551, 96.390, 3498.0, 59.1439
6.951012116, 96.390, 3510.0, 59.2453
6.977272682, 96.390, 3407.0, 58.3695
7.003533247, 96.390, 3485.0, 59.0339
7.029793812, 96.390, 3548.0, 59.5651
7.056054378, 96.390, 3396.0, 58.2752
7.082314943, 96.390, 3401.0, 58.3181
7.108575508, 96.390, 3400.0, 58.3095
7.134836074, 96.390, 3390.0, 58.2237
7.161096639, 96.390, 3435.0, 58.6089
7.187357204, 96.390, 3354.0, 57.9137
7.213617770, 96.390, 3485.0, 59.0339
7.239878335, 96.390, 3417.0, 58.4551
7.266138900, 96.390, 3441.0, 58.6600
7.292399466, 96.390, 3501.0, 59.1692
7.318660031, 96.390, 3284.0, 57.3062
7.344920597, 96.390, 3318.0, 57.6021
7.371181162, 96.390, 3246.0, 56.9737
7.397441727, 96.390, 3404.0, 58.3438
7.423702293, 96.390, 3374.0, 58.0861
7.449962858, 96.390, 3412.0, 58.4123
7.476223423, 96.390, 3253.0, 57.0351
7.502483989, 96.390, 3318.0, 57.6021
7.528744554, 96.390, 3297.0, 57.4195
7.555005119, 96.390, 3295.0, 57.4021
7.581265685, 96.390, 3301.0, 57.4543
7.607526250, 96.390, 3321.0, 57.6281
7.633786815, 96.390, 3296.0, 57.4108
7.660047381, 96.390, 3247.0, 56.9825
7.686307946, 96.390, 3281.0, 57.2800
7.712568512, 96.390, 3213.0, 56.6833
7.738829077, 96.390, 3313.0, 57.5587
7.765089642, 96.390, 3216.0, 56.7098
7.791350208, 96.390, 3279.0, 57.2626
7.817610773, 96.390, 3163.0, 56.2406
7.843871338, 96.390, 3327.0, 57.6802
7.870131904, 96.390, 3228.0, 56.8155
7.896392469, 96.390, 3164.0, 56.2494
7.922653034, 96.390, 3218.0, 56.7274
7.948913600, 96.390, 3292.0, 57.3760
7.975174165, 96.390, 3297.0, 57.4195
8.001434730, 96.390, 3244.0, 56.9561
8.027695296, 96.390, 3122.0, 55.8749
8.053955861, 96.390, 3127.0, 55.9196
8.080216426, 96.390, 3166.0, 56.2672
8.106476992, 96.390, 3164.0, 56.2494
8.132737557, 96.390, 3137.0, 56.0089
8.158998123, 96.390, 3151.0, 56.1338
8.185258688, 96.390, 3186.0, 56.4447
8.211519253, 96.390, 3146.0, 56.0892
8.237779819, 96.390, 3126.0, 55.9106
8.264040384, 96.390, 3177.0, 56.3649
8.290300949, 96.390, 3097.0, 55.6507
8.316561515, 96.390, 3068.0, 55.3895
8.342822080, 96.390, 3129.0, 55.9375
8.369082645, 96.390, 3166.0, 56.2672
8.395343211, 96.390, 3172.0, 56.3205
8.421603776, 96.390, 3117.0, 55.8301
8.447864341, 96.390, 2990.0, 54.6809
8.474124907, 96.390, 2994.0, 54.7175
8.500385472, 96.390, 3090.0, 55.5878
8.526646038, 96.390, 3002.0, 54.7905
8.552906603, 96.390, 3116.0, 55.8211
8.579167168, 96.390, 3053.0, 55.2540
8.605427734, 96.390, 3173.0, 56.3294
8.631688299, 96.390, 3068.0, 55.3895
8.657948864, 96.390, 3065.0, 55.3624
8.684209430, 96.390, 3033.0, 55.0727
8.710469995, 96.390, 3047.0, 55.1996
8.736730560, 96.390, 3024.0, 54.9909
8.762991126, 96.390, 2935.0, 54.1756
8.789251691, 96.390, 2970.0, 54.4977
8.815512256, 96.390, 3139.0, 56.0268
8.841772822, 96.390, 3068.0, 55.3895
8.868033387, 96.390, 2968.0, 54.4794
8.894293952, 96.390, 2992.0, 54.6992
8.920554518, 96.390, 2943.0, 54.2494
8.946815083, 96.390, 3032.0, 55.0636
8.973075649, 96.390, 2928.0, 54.1110
8.999336214, 96.390, 2928.0, 54.1110
9.025596779, 96.390, 3061.0, 55.3263
9.051857345, 96.390, 2916.0, 54.0000
9.078117910, 96.390, 2924.0, 54.0740
9.104378475, 96.390, 3044.0, 55.1725
9.130639041, 96.390, 2964.0, 54.4426
9.156899606, 96.390, 2961.0, 54.4151
9.183160171, 96.390, 2993.0, 54.7083
9.209420737, 96.390, 2943.0, 54.2494
9.235681302, 96.390, 2887.0, 53.7308
9.261941867, 96.390, 2929.0, 54.1202
9.288202433, 96.390, 2853.0, 53.4135
9.314462998, 96.390, 2844.0, 53.3292
9.340723564, 96.390, 3018.0, 54.9363
9.366984129, 96.390, 2895.0, 53.8052
9.393244694, 96.390, 2899.0, 53.8424
9.419505260, 96.390, 2990.0, 54.6809
9.445765825, 96.390, 2888.0, 53.7401
9.472026390, 96.390, 2938.0, 54.2033
9.498286956, 96.390, 2837.0, 53.2635
9.524547521, 96.390, 2899.0, 53.8424
9.550808086, 96.390, 2844.0, 53.3292
9.577068652, 96.390, 2785.0, 52.7731
9.603329217, 96.390, 2842.0, 53.3104
9.629589782, 96.390, 2914.0, 53.9815
9.655850348, 96.390, 2776.0, 52.6878
9.682110913, 96.390, 2837.0, 53.2635
9.708371478, 96.390, 2857.0, 53.4509
9.734632044, 96.390, 2774.0, 52.6688
9.760892609, 96.390, 2825.0, 53.1507
9.787153175, 96.390, 2759.0, 52.5262
9.813413740, 96.390, 2746.0, 52.4023
9.839674305, 96.390, 2807.0, 52.9811
9.865934871, 96.390, 2783.0, 52.7541
9.892195436, 96.390, 2692.0, 51.8845
9.918456001, 96.390, 2794.0, 52.8583
9.944716567, 96.390, 2792.0, 52.8394
9.970977132, 96.390, 2726.0, 52.2111
9.997237697, 96.390, 2809.0, 53.0000
10.023498263, 96.390, 2750.0, 52.4404
10.049758828, 96.390, 2772.0, 52.6498
10.076019393, 96.390, 2685.0, 51.8170
10.102279959, 96.390, 2725.0, 52.2015
10.128540524, 96.390, 2726.0, 52.2111
10.154801090, 96.390, 2758.0, 52.5167
10.181061655, 96.390, 2824.0, 53.1413
10.207322220, 96.390, 2843.0, 53.3198
10.233582786, 96.390, 2764.0, 52.5738
10.259843351, 96.390, 2814.0, 53.0471
10.286103916, 96.390, 2773.0, 52.6593
10.312364482, 96.390, 2749.0, 52.4309
10.338625047, 96.390, 2633.0, 51.3128
10.364885612, 96.390, 2707.0, 52.0288
10.391146178, 96.390, 2735.0, 52.2972
10.417406743, 96.390, 2738.0, 52.3259
10.443667308, 96.390, 2783.0, 52.7541
10.469927874, 96.390, 2637.0, 51.3517
10.496188439, 96.390, 2680.0, 51.7687
10.522449004, 96.390, 2624.0, 51.2250
10.548709570, 96.390, 2667.0, 51.6430
10.574970135, 96.390, 2642.0, 51.4004
10.601230701, 96.390, 2682.0, 51.7880
10.627491266, 96.390, 2613.0, 51.1175
10.653751831, 96.390, 2675.0, 51.7204
10.680012397, 96.390, 2694.0, 51.9038
10.706272962, 96.390, 2597.0, 50.9608
10.732533527, 96.390, 2606.0, 51.0490
10.758794093, 96.390, 2632.0, 51.3030
10.785054658, 96.390, 2678.0, 51.7494
10.811315223, 96.390, 2620.0, 51.1859
10.837575789, 96.390, 2637.0, 51.3517
10.863836354, 96.390, 2652.0, 51.4976
10.890096919, 96.390, 2603.0, 51.0196
10.916357485, 96.390, 2641.0, 51.3907
10.942618050, 96.390, 2627.0, 51.2543
10.968878616, 96.390, 2526.0, 50.2593
10.995139181, 96.390, 2630.0, 51.2835
11.021399746, 96.390, 2610.0, 51.0882
11.047660312, 96.390, 2567.0, 50.6656
11.073920877, 96.390, 2589.0, 50.8822
11.100181442, 96.390, 2700.0, 51.9615
11.126442008, 96.390, 2585.0, 50.8429
11.152702573, 96.390, 2604.0, 51.0294
11.178963138, 96.390, 2664.0, 51.6140
11.205223704, 96.390, 2487.0, 49.8698
11.231484269, 96.390, 2659.0, 51.5655
11.257744834, 96.390, 2637.0, 51.3517
11.284005400, 96.390, 2659.0, 51.5655
11.310265965, 96.390, 2615.0, 51.1371
11.336526530, 96.390, 2638.0, 51.3615
11.362787096, 96.390, 2505.0, 50.0500
11.389047661, 96.390, 2521.0, 50.2096
11.415308227, 96.390, 2600.0, 50.9902
11.441568792, 96.390, 2591.0, 50.9019
11.467829357, 96.390, 2570.0, 50.6952
11.494089923, 96.390, 2547.0, 50.4678
11.520350488, 96.390, 2615.0, 51.1371
11.546611053, 96.390, 2542.0, 50.4183
11.572871619, 96.390, 2472.0, 49.7192
11.599132184, 96.390, 2499.0, 49.9900
11.625392749, 96.390, 2457.0, 49.5681
11.651653315, 96.390, 2505.0, 50.0500
11.677913880, 96.390, 2499.0, 49.9900
11.704174445, 96.390, 2404.0, 49.0306
11.730435011, 96.390, 2477.0, 49.7695
11.756695576, 96.390, 2475.0, 49.7494
11.782956141, 96.390, 2429.0, 49.2849
11.809216707, 96.390, 2471.0, 49.7092
11.835477272, 96.390, 2464.0, 49.6387
11.861737838, 96.390, 2471.0, 49.7092
11.887998403, 96.390, 2421.0, 49.2037
11.914258968, 96.390, 2456.0, 49.5580
11.940519534, 96.390, 2440.0, 49.3964
11.966780099, 96.390, 2474.0, 49.7393
11.993040664, 96.390, 2503.0, 50.0300
12.019301230, 96.390, 2387.0, 48.8569
12.045561795, 96.390, 2477.0, 49.7695
12.071822360, 96.390, 2402.0, 49.0102
12.098082926, 96.390, 2489.0, 49.8899
12.124343491, 96.390, 2481.0, 49.8096
12.150604056, 96.390, 2451.0, 49.5076
12.176864622, 96.390, 2447.0, 49.4672
12.203125187, 96.390, 2455.0, 49.5480
12.229385753, 96.390, 2490.0, 49.8999
12.255646318, 96.390, 2395.0, 48.9387
12.281906883, 96.390, 2461.0, 49.6085
12.308167449, 96.390, 2360.0, 48.5798
12.334428014, 96.390, 2481.0, 49.8096
12.360688579, 96.390, 2442.0, 49.4166
12.386949145, 96.390, 2539.0, 50.3885
12.413209710, 96.390, 2414.0, 49.1325
12.439470275, 96.390, 2435.0, 49.3457
12.465730841, 96.390, 2413.0, 49.1223
12.491991406, 96.390, 2423.0, 49.2240
12.518251971, 96.390, 2436.0, 49.3559
12.544512537, 96.390, 2333.0, 48.3011
12.570773102, 96.390, 2401.0, 49.0000
12.597033667, 96.390, 2388.0, 48.8672
12.623294233, 96.390, 2362.0, 48.6004
12.649554798, 96.390, 2442.0, 49.4166
12.675815364, 96.390, 2421.0, 49.2037
12.702075929, 96.390, 2420.0, 49.1935
12.728336494, 96.390, 2365.0, 48.6313
12.754597060, 96.390, 2348.0, 48.4562
12.780857625, 96.390, 2457.0, 49.5681
12.807118190, 96.390, 2420.0, 49.1935
12.833378756, 96.390, 2392.0, 48.9081
12.859639321, 96.390, 2356.0, 48.5386
12.885899886, 96.390, 2376.0, 48.7442
12.912160452, 96.390, 2332.0, 48.2908
12.938421017, 96.390, 2297.0, 47.9270
12.964681582, 96.390, 2245.0, 47.3814
12.990942148, 96.390, 2403.0, 49.0204
13.017202713, 96.390, 2316.0, 48.1248
13.043463279, 96.390, 2417.0, 49.1630
13.069723844, 96.390, 2349.0, 48.4665
13.095984409, 96.390, 2336.0, 48.3322
13.122244975, 96.390, 2296.0, 47.9166
13.148505540, 96.390, 2248.0, 47.4131
13.174766105, 96.390, 2309.0, 48.0521
13.201026671, 96.390, 2313.0, 48.0937
13.227287236, 96.390, 2336.0, 48.3322
13.253547801, 96.390, 2283.0, 47.7807
13.279808367, 96.390, 2312.0, 48.0833
13.306068932, 96.390, 2261.0, 47.5500
13.332329497, 96.390, 2350.0, 48.4768
13.358590063, 96.390, 2307.0, 48.0312
13.384850628, 96.390, 2368.0, 48.6621
13.411111193, 96.390, 2329.0, 48.2597
13.437371759, 96.390, 2194.0, 46.8402
13.463632324, 96.390, 2369.0, 48.6724
13.489892890, 96.390, 2318.0, 48.1456
13.516153455, 96.390, 2294.0, 47.8957
13.542414020, 96.390, 2300.0, 47.9583
13.568674586, 96.390, 2272.0, 47.6655
13.594935151, 96.390, 2241.0, 47.3392
13.621195716, 96.390, 2315.0, 48.1144
13.647456282, 96.390, 2267.0, 47.6130
13.673716847, 96.390, 2383.0, 48.8160
13.699977412, 96.390, 2283.0, 47.7807
13.726237978, 96.390, 2208.0, 46.9894
13.752498543, 96.390, 2245.0, 47.3814
13.778759108, 96.390, 2257.0, 47.5079
13.805019674, 96.390, 2275.0, 47.6970
13.831280239, 96.390, 2175.0, 46.6369
13.857540805, 96.390, 2230.0, 47.2229
13.883801370, 96.390, 2231.0, 47.2335
13.910061935, 96.390, 2240.0, 47.3286
