[Measurement conditions]
Sample identification,XRD_CentroidPrecursor08Dec21_B3_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Mar/2022 12:48
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4729.0, 68.7677
5.033990845, 96.390, 4881.0, 69.8642
5.060251411, 96.390, 4607.0, 67.8749
5.086511976, 96.390, 4707.0, 68.6076
5.112772541, 96.390, 4565.0, 67.5648
5.139033107, 96.390, 4715.0, 68.6659
5.165293672, 96.390, 4530.0, 67.3053
5.191554237, 96.390, 4604.0, 67.8528
5.217814803, 96.390, 4449.0, 66.7008
5.244075368, 96.390, 4313.0, 65.6734
5.270335934, 96.390, 4528.0, 67.2904
5.296596499, 96.390, 4361.0, 66.0379
5.322857064, 96.390, 4262.0, 65.2840
5.349117630, 96.390, 4339.0, 65.8711
5.375378195, 96.390, 4302.0, 65.5896
5.401638760, 96.390, 4305.0, 65.6125
5.427899326, 96.390, 4193.0, 64.7534
5.454159891, 96.390, 4185.0, 64.6916
5.480420456, 96.390, 4106.0, 64.0781
5.506681022, 96.390, 4191.0, 64.7379
5.532941587, 96.390, 4135.0, 64.3040
5.559202152, 96.390, 4120.0, 64.1872
5.585462718, 96.390, 4014.0, 63.3561
5.611723283, 96.390, 4098.0, 64.0156
5.637983849, 96.390, 3935.0, 62.7296
5.664244414, 96.390, 3957.0, 62.9047
5.690504979, 96.390, 4031.0, 63.4902
5.716765545, 96.390, 3971.0, 63.0159
5.743026110, 96.390, 3911.0, 62.5380
5.769286675, 96.390, 3909.0, 62.5220
5.795547241, 96.390, 3691.0, 60.7536
5.821807806, 96.390, 3800.0, 61.6441
5.848068371, 96.390, 3849.0, 62.0403
5.874328937, 96.390, 3877.0, 62.2656
5.900589502, 96.390, 3905.0, 62.4900
5.926850067, 96.390, 3807.0, 61.7009
5.953110633, 96.390, 3810.0, 61.7252
5.979371198, 96.390, 3865.0, 62.1691
6.005631763, 96.390, 3683.0, 60.6877
6.031892329, 96.390, 3796.0, 61.6117
6.058152894, 96.390, 3788.0, 61.5467
6.084413460, 96.390, 3803.0, 61.6685
6.110674025, 96.390, 3672.0, 60.5970
6.136934590, 96.390, 3792.0, 61.5792
6.163195156, 96.390, 3608.0, 60.0666
6.189455721, 96.390, 3681.0, 60.6712
6.215716286, 96.390, 3567.0, 59.7244
6.241976852, 96.390, 3605.0, 60.0417
6.268237417, 96.390, 3655.0, 60.4566
6.294497982, 96.390, 3661.0, 60.5062
6.320758548, 96.390, 3570.0, 59.7495
6.347019113, 96.390, 3632.0, 60.2661
6.373279678, 96.390, 3660.0, 60.4979
6.399540244, 96.390, 3517.0, 59.3043
6.425800809, 96.390, 3494.0, 59.1101
6.452061375, 96.390, 3641.0, 60.3407
6.478321940, 96.390, 3641.0, 60.3407
6.504582505, 96.390, 3493.0, 59.1016
6.530843071, 96.390, 3563.0, 59.6909
6.557103636, 96.390, 3400.0, 58.3095
6.583364201, 96.390, 3376.0, 58.1034
6.609624767, 96.390, 3488.0, 59.0593
6.635885332, 96.390, 3432.0, 58.5833
6.662145897, 96.390, 3443.0, 58.6771
6.688406463, 96.390, 3423.0, 58.5064
6.714667028, 96.390, 3489.0, 59.0678
6.740927593, 96.390, 3507.0, 59.2199
6.767188159, 96.390, 3406.0, 58.3609
6.793448724, 96.390, 3359.0, 57.9569
6.819709289, 96.390, 3373.0, 58.0775
6.845969855, 96.390, 3480.0, 58.9915
6.872230420, 96.390, 3336.0, 57.7581
6.898490986, 96.390, 3289.0, 57.3498
6.924751551, 96.390, 3358.0, 57.9483
6.951012116, 96.390, 3277.0, 57.2451
6.977272682, 96.390, 3357.0, 57.9396
7.003533247, 96.390, 3372.0, 58.0689
7.029793812, 96.390, 3329.0, 57.6975
7.056054378, 96.390, 3238.0, 56.9034
7.082314943, 96.390, 3297.0, 57.4195
7.108575508, 96.390, 3229.0, 56.8243
7.134836074, 96.390, 3233.0, 56.8595
7.161096639, 96.390, 3249.0, 57.0000
7.187357204, 96.390, 3311.0, 57.5413
7.213617770, 96.390, 3282.0, 57.2887
7.239878335, 96.390, 3195.0, 56.5243
7.266138900, 96.390, 3143.0, 56.0625
7.292399466, 96.390, 3240.0, 56.9210
7.318660031, 96.390, 3307.0, 57.5065
7.344920597, 96.390, 3227.0, 56.8067
7.371181162, 96.390, 3242.0, 56.9386
7.397441727, 96.390, 3122.0, 55.8749
7.423702293, 96.390, 3210.0, 56.6569
7.449962858, 96.390, 3226.0, 56.7979
7.476223423, 96.390, 3156.0, 56.1783
7.502483989, 96.390, 3151.0, 56.1338
7.528744554, 96.390, 3215.0, 56.7010
7.555005119, 96.390, 3084.0, 55.5338
7.581265685, 96.390, 3158.0, 56.1961
7.607526250, 96.390, 3228.0, 56.8155
7.633786815, 96.390, 3083.0, 55.5248
7.660047381, 96.390, 3140.0, 56.0357
7.686307946, 96.390, 3143.0, 56.0625
7.712568512, 96.390, 3137.0, 56.0089
7.738829077, 96.390, 2986.0, 54.6443
7.765089642, 96.390, 3106.0, 55.7315
7.791350208, 96.390, 3196.0, 56.5332
7.817610773, 96.390, 3135.0, 55.9911
7.843871338, 96.390, 3027.0, 55.0182
7.870131904, 96.390, 3133.0, 55.9732
7.896392469, 96.390, 3032.0, 55.0636
7.922653034, 96.390, 3008.0, 54.8452
7.948913600, 96.390, 3046.0, 55.1906
7.975174165, 96.390, 3004.0, 54.8088
8.001434730, 96.390, 3073.0, 55.4346
8.027695296, 96.390, 2991.0, 54.6900
8.053955861, 96.390, 2977.0, 54.5619
8.080216426, 96.390, 3023.0, 54.9818
8.106476992, 96.390, 2881.0, 53.6749
8.132737557, 96.390, 2935.0, 54.1756
8.158998123, 96.390, 2900.0, 53.8516
8.185258688, 96.390, 2993.0, 54.7083
8.211519253, 96.390, 2907.0, 53.9166
8.237779819, 96.390, 2912.0, 53.9630
8.264040384, 96.390, 3004.0, 54.8088
8.290300949, 96.390, 2969.0, 54.4885
8.316561515, 96.390, 2937.0, 54.1941
8.342822080, 96.390, 2860.0, 53.4790
8.369082645, 96.390, 2970.0, 54.4977
8.395343211, 96.390, 2914.0, 53.9815
8.421603776, 96.390, 2980.0, 54.5894
8.447864341, 96.390, 2930.0, 54.1295
8.474124907, 96.390, 2873.0, 53.6004
8.500385472, 96.390, 2900.0, 53.8516
8.526646038, 96.390, 2919.0, 54.0278
8.552906603, 96.390, 2795.0, 52.8678
8.579167168, 96.390, 2963.0, 54.4334
8.605427734, 96.390, 2799.0, 52.9056
8.631688299, 96.390, 2813.0, 53.0377
8.657948864, 96.390, 2873.0, 53.6004
8.684209430, 96.390, 2941.0, 54.2310
8.710469995, 96.390, 2800.0, 52.9150
8.736730560, 96.390, 2850.0, 53.3854
8.762991126, 96.390, 2866.0, 53.5350
8.789251691, 96.390, 2898.0, 53.8331
8.815512256, 96.390, 2824.0, 53.1413
8.841772822, 96.390, 2733.0, 52.2781
8.868033387, 96.390, 2782.0, 52.7447
8.894293952, 96.390, 2807.0, 52.9811
8.920554518, 96.390, 2804.0, 52.9528
8.946815083, 96.390, 2825.0, 53.1507
8.973075649, 96.390, 2751.0, 52.4500
8.999336214, 96.390, 2706.0, 52.0192
