[Measurement conditions]
Sample identification,XRD_MgAxialPrecursor24Jan22_B2_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,10/Mar/2022 13:35
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4642.0, 68.1322
5.033990845, 96.390, 4550.0, 67.4537
5.060251411, 96.390, 4653.0, 68.2129
5.086511976, 96.390, 4522.0, 67.2458
5.112772541, 96.390, 4441.0, 66.6408
5.139033107, 96.390, 4395.0, 66.2948
5.165293672, 96.390, 4433.0, 66.5808
5.191554237, 96.390, 4446.0, 66.6783
5.217814803, 96.390, 4353.0, 65.9773
5.244075368, 96.390, 4303.0, 65.5973
5.270335934, 96.390, 4146.0, 64.3894
5.296596499, 96.390, 4186.0, 64.6993
5.322857064, 96.390, 4300.0, 65.5744
5.349117630, 96.390, 4114.0, 64.1405
5.375378195, 96.390, 4193.0, 64.7534
5.401638760, 96.390, 4039.0, 63.5531
5.427899326, 96.390, 3975.0, 63.0476
5.454159891, 96.390, 3979.0, 63.0793
5.480420456, 96.390, 3979.0, 63.0793
5.506681022, 96.390, 3981.0, 63.0952
5.532941587, 96.390, 3940.0, 62.7694
5.559202152, 96.390, 3955.0, 62.8888
5.585462718, 96.390, 3867.0, 62.1852
5.611723283, 96.390, 3993.0, 63.1902
5.637983849, 96.390, 3909.0, 62.5220
5.664244414, 96.390, 3820.0, 61.8061
5.690504979, 96.390, 3858.0, 62.1128
5.716765545, 96.390, 3849.0, 62.0403
5.743026110, 96.390, 3831.0, 61.8951
5.769286675, 96.390, 3681.0, 60.6712
5.795547241, 96.390, 3912.0, 62.5460
5.821807806, 96.390, 3710.0, 60.9098
5.848068371, 96.390, 3711.0, 60.9180
5.874328937, 96.390, 3782.0, 61.4980
5.900589502, 96.390, 3773.0, 61.4248
5.926850067, 96.390, 3803.0, 61.6685
5.953110633, 96.390, 3788.0, 61.5467
5.979371198, 96.390, 3741.0, 61.1637
6.005631763, 96.390, 3610.0, 60.0833
6.031892329, 96.390, 3499.0, 59.1523
6.058152894, 96.390, 3511.0, 59.2537
6.084413460, 96.390, 3593.0, 59.9416
6.110674025, 96.390, 3696.0, 60.7947
6.136934590, 96.390, 3603.0, 60.0250
6.163195156, 96.390, 3450.0, 58.7367
6.189455721, 96.390, 3627.0, 60.2246
6.215716286, 96.390, 3571.0, 59.7578
6.241976852, 96.390, 3522.0, 59.3464
6.268237417, 96.390, 3543.0, 59.5231
6.294497982, 96.390, 3526.0, 59.3801
6.320758548, 96.390, 3558.0, 59.6490
6.347019113, 96.390, 3589.0, 59.9083
6.373279678, 96.390, 3470.0, 58.9067
6.399540244, 96.390, 3457.0, 58.7963
6.425800809, 96.390, 3379.0, 58.1292
6.452061375, 96.390, 3522.0, 59.3464
6.478321940, 96.390, 3347.0, 57.8533
6.504582505, 96.390, 3445.0, 58.6941
6.530843071, 96.390, 3339.0, 57.7841
6.557103636, 96.390, 3335.0, 57.7495
6.583364201, 96.390, 3409.0, 58.3866
6.609624767, 96.390, 3351.0, 57.8878
6.635885332, 96.390, 3291.0, 57.3672
6.662145897, 96.390, 3332.0, 57.7235
6.688406463, 96.390, 3274.0, 57.2189
6.714667028, 96.390, 3324.0, 57.6541
6.740927593, 96.390, 3412.0, 58.4123
6.767188159, 96.390, 3175.0, 56.3471
6.793448724, 96.390, 3317.0, 57.5934
6.819709289, 96.390, 3206.0, 56.6216
6.845969855, 96.390, 3204.0, 56.6039
6.872230420, 96.390, 3216.0, 56.7098
6.898490986, 96.390, 3210.0, 56.6569
6.924751551, 96.390, 3172.0, 56.3205
6.951012116, 96.390, 3185.0, 56.4358
6.977272682, 96.390, 3247.0, 56.9825
7.003533247, 96.390, 3135.0, 55.9911
7.029793812, 96.390, 3180.0, 56.3915
7.056054378, 96.390, 3304.0, 57.4804
7.082314943, 96.390, 3159.0, 56.2050
7.108575508, 96.390, 3242.0, 56.9386
7.134836074, 96.390, 3219.0, 56.7362
7.161096639, 96.390, 3121.0, 55.8659
7.187357204, 96.390, 3173.0, 56.3294
7.213617770, 96.390, 3070.0, 55.4076
7.239878335, 96.390, 3155.0, 56.1694
7.266138900, 96.390, 3191.0, 56.4889
7.292399466, 96.390, 3099.0, 55.6687
7.318660031, 96.390, 3208.0, 56.6392
7.344920597, 96.390, 3146.0, 56.0892
7.371181162, 96.390, 3099.0, 55.6687
7.397441727, 96.390, 3021.0, 54.9636
7.423702293, 96.390, 3089.0, 55.5788
7.449962858, 96.390, 3113.0, 55.7943
7.476223423, 96.390, 3046.0, 55.1906
7.502483989, 96.390, 3084.0, 55.5338
7.528744554, 96.390, 3066.0, 55.3715
7.555005119, 96.390, 3037.0, 55.1090
7.581265685, 96.390, 3075.0, 55.4527
7.607526250, 96.390, 2943.0, 54.2494
7.633786815, 96.390, 3072.0, 55.4256
7.660047381, 96.390, 2967.0, 54.4702
7.686307946, 96.390, 3059.0, 55.3082
7.712568512, 96.390, 2941.0, 54.2310
7.738829077, 96.390, 2978.0, 54.5711
7.765089642, 96.390, 3009.0, 54.8544
7.791350208, 96.390, 3013.0, 54.8908
7.817610773, 96.390, 2943.0, 54.2494
7.843871338, 96.390, 2973.0, 54.5252
7.870131904, 96.390, 3018.0, 54.9363
7.896392469, 96.390, 2884.0, 53.7029
7.922653034, 96.390, 2919.0, 54.0278
7.948913600, 96.390, 2976.0, 54.5527
7.975174165, 96.390, 2939.0, 54.2125
8.001434730, 96.390, 2850.0, 53.3854
8.027695296, 96.390, 2971.0, 54.5069
8.053955861, 96.390, 2929.0, 54.1202
8.080216426, 96.390, 2940.0, 54.2218
8.106476992, 96.390, 2905.0, 53.8981
8.132737557, 96.390, 2892.0, 53.7773
8.158998123, 96.390, 2936.0, 54.1849
8.185258688, 96.390, 2917.0, 54.0093
8.211519253, 96.390, 2884.0, 53.7029
8.237779819, 96.390, 2756.0, 52.4976
8.264040384, 96.390, 2873.0, 53.6004
8.290300949, 96.390, 2808.0, 52.9906
8.316561515, 96.390, 2803.0, 52.9434
8.342822080, 96.390, 2939.0, 54.2125
8.369082645, 96.390, 2900.0, 53.8516
8.395343211, 96.390, 2864.0, 53.5164
8.421603776, 96.390, 2862.0, 53.4977
