[Measurement conditions]
Sample identification,MNASPH_PaxialPC22nov2021
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP - Reed, Titus's files\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Dec/2021 11:23
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 4054.0, 63.6710
5.033990845, 96.390, 3960.0, 62.9285
5.060251411, 96.390, 4127.0, 64.2417
5.086511976, 96.390, 4028.0, 63.4665
5.112772541, 96.390, 3868.0, 62.1932
5.139033107, 96.390, 3915.0, 62.5700
5.165293672, 96.390, 4000.0, 63.2456
5.191554237, 96.390, 3843.0, 61.9919
5.217814803, 96.390, 3974.0, 63.0397
5.244075368, 96.390, 3946.0, 62.8172
5.270335934, 96.390, 3775.0, 61.4410
5.296596499, 96.390, 3870.0, 62.2093
5.322857064, 96.390, 3710.0, 60.9098
5.349117630, 96.390, 3741.0, 61.1637
5.375378195, 96.390, 3650.0, 60.4152
5.401638760, 96.390, 3615.0, 60.1249
5.427899326, 96.390, 3759.0, 61.3107
5.454159891, 96.390, 3620.0, 60.1664
5.480420456, 96.390, 3679.0, 60.6548
5.506681022, 96.390, 3716.0, 60.9590
5.532941587, 96.390, 3639.0, 60.3241
5.559202152, 96.390, 3570.0, 59.7495
5.585462718, 96.390, 3657.0, 60.4731
5.611723283, 96.390, 3600.0, 60.0000
5.637983849, 96.390, 3597.0, 59.9750
5.664244414, 96.390, 3534.0, 59.4475
5.690504979, 96.390, 3589.0, 59.9083
5.716765545, 96.390, 3647.0, 60.3904
5.743026110, 96.390, 3407.0, 58.3695
5.769286675, 96.390, 3472.0, 58.9237
5.795547241, 96.390, 3577.0, 59.8080
5.821807806, 96.390, 3356.0, 57.9310
5.848068371, 96.390, 3508.0, 59.2284
5.874328937, 96.390, 3477.0, 58.9661
5.900589502, 96.390, 3519.0, 59.3212
5.926850067, 96.390, 3412.0, 58.4123
5.953110633, 96.390, 3354.0, 57.9137
5.979371198, 96.390, 3481.0, 59.0000
6.005631763, 96.390, 3460.0, 58.8218
6.031892329, 96.390, 3400.0, 58.3095
6.058152894, 96.390, 3439.0, 58.6430
6.084413460, 96.390, 3391.0, 58.2323
