[Measurement conditions]
Sample identification,MNASPH_PcornerPC10nov21
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Dec/2021 09:57
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3649.0, 60.4070
5.033990845, 96.390, 3720.0, 60.9918
5.060251411, 96.390, 3618.0, 60.1498
5.086511976, 96.390, 3674.0, 60.6135
5.112772541, 96.390, 3619.0, 60.1581
5.139033107, 96.390, 3626.0, 60.2163
5.165293672, 96.390, 3575.0, 59.7913
5.191554237, 96.390, 3510.0, 59.2453
5.217814803, 96.390, 3440.0, 58.6515
5.244075368, 96.390, 3684.0, 60.6960
5.270335934, 96.390, 3442.0, 58.6686
5.296596499, 96.390, 3518.0, 59.3127
5.322857064, 96.390, 3511.0, 59.2537
5.349117630, 96.390, 3469.0, 58.8982
5.375378195, 96.390, 3392.0, 58.2409
5.401638760, 96.390, 3409.0, 58.3866
5.427899326, 96.390, 3463.0, 58.8473
5.454159891, 96.390, 3407.0, 58.3695
5.480420456, 96.390, 3431.0, 58.5747
5.506681022, 96.390, 3432.0, 58.5833
5.532941587, 96.390, 3385.0, 58.1808
5.559202152, 96.390, 3343.0, 57.8187
5.585462718, 96.390, 3402.0, 58.3267
5.611723283, 96.390, 3292.0, 57.3760
5.637983849, 96.390, 3447.0, 58.7112
5.664244414, 96.390, 3260.0, 57.0964
5.690504979, 96.390, 3284.0, 57.3062
5.716765545, 96.390, 3342.0, 57.8100
5.743026110, 96.390, 3316.0, 57.5847
5.769286675, 96.390, 3257.0, 57.0701
5.795547241, 96.390, 3290.0, 57.3585
5.821807806, 96.390, 3224.0, 56.7803
5.848068371, 96.390, 3366.0, 58.0172
5.874328937, 96.390, 3379.0, 58.1292
5.900589502, 96.390, 3230.0, 56.8331
5.926850067, 96.390, 3285.0, 57.3149
5.953110633, 96.390, 3197.0, 56.5420
5.979371198, 96.390, 3196.0, 56.5332
6.005631763, 96.390, 3275.0, 57.2276
6.031892329, 96.390, 3192.0, 56.4978
6.058152894, 96.390, 3292.0, 57.3760
6.084413460, 96.390, 3195.0, 56.5243
6.110674025, 96.390, 3275.0, 57.2276
6.136934590, 96.390, 3193.0, 56.5066
6.163195156, 96.390, 3132.0, 55.9643
6.189455721, 96.390, 3213.0, 56.6833
6.215716286, 96.390, 3232.0, 56.8507
6.241976852, 96.390, 3310.0, 57.5326
6.268237417, 96.390, 3315.0, 57.5760
6.294497982, 96.390, 3246.0, 56.9737
6.320758548, 96.390, 3157.0, 56.1872
6.347019113, 96.390, 3126.0, 55.9106
6.373279678, 96.390, 3182.0, 56.4092
6.399540244, 96.390, 3167.0, 56.2761
6.425800809, 96.390, 3227.0, 56.8067
6.452061375, 96.390, 3192.0, 56.4978
6.478321940, 96.390, 3193.0, 56.5066
6.504582505, 96.390, 3223.0, 56.7715
6.530843071, 96.390, 3188.0, 56.4624
6.557103636, 96.390, 3056.0, 55.2811
6.583364201, 96.390, 3063.0, 55.3444
6.609624767, 96.390, 3117.0, 55.8301
6.635885332, 96.390, 3026.0, 55.0091
6.662145897, 96.390, 3143.0, 56.0625
6.688406463, 96.390, 3209.0, 56.6480
6.714667028, 96.390, 3150.0, 56.1249
6.740927593, 96.390, 3156.0, 56.1783
6.767188159, 96.390, 3103.0, 55.7046
6.793448724, 96.390, 3146.0, 56.0892
6.819709289, 96.390, 3133.0, 55.9732
6.845969855, 96.390, 3131.0, 55.9553
6.872230420, 96.390, 3111.0, 55.7763
6.898490986, 96.390, 3076.0, 55.4617
6.924751551, 96.390, 2981.0, 54.5985
6.951012116, 96.390, 3199.0, 56.5597
