[Measurement conditions]
Sample identification,XRD_SiAxialPrecursor12Jan22_B2_1
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,11/Mar/2022 12:07
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5193.0, 72.0625
5.033990845, 96.390, 5051.0, 71.0704
5.060251411, 96.390, 4936.0, 70.2567
5.086511976, 96.390, 4900.0, 70.0000
5.112772541, 96.390, 4922.0, 70.1570
5.139033107, 96.390, 4901.0, 70.0071
5.165293672, 96.390, 4841.0, 69.5773
5.191554237, 96.390, 4796.0, 69.2532
5.217814803, 96.390, 4838.0, 69.5557
5.244075368, 96.390, 4937.0, 70.2638
5.270335934, 96.390, 4614.0, 67.9264
5.296596499, 96.390, 4555.0, 67.4907
5.322857064, 96.390, 4446.0, 66.6783
5.349117630, 96.390, 4545.0, 67.4166
5.375378195, 96.390, 4456.0, 66.7533
5.401638760, 96.390, 4481.0, 66.9403
5.427899326, 96.390, 4362.0, 66.0454
5.454159891, 96.390, 4477.0, 66.9104
5.480420456, 96.390, 4324.0, 65.7571
5.506681022, 96.390, 4387.0, 66.2344
5.532941587, 96.390, 4269.0, 65.3376
5.559202152, 96.390, 4331.0, 65.8103
5.585462718, 96.390, 4285.0, 65.4599
5.611723283, 96.390, 4205.0, 64.8460
5.637983849, 96.390, 4233.0, 65.0615
5.664244414, 96.390, 4200.0, 64.8074
5.690504979, 96.390, 4176.0, 64.6220
5.716765545, 96.390, 4199.0, 64.7997
5.743026110, 96.390, 4111.0, 64.1171
5.769286675, 96.390, 4136.0, 64.3117
5.795547241, 96.390, 4118.0, 64.1716
5.821807806, 96.390, 4058.0, 63.7024
5.848068371, 96.390, 4100.0, 64.0312
5.874328937, 96.390, 4004.0, 63.2772
5.900589502, 96.390, 4009.0, 63.3167
5.926850067, 96.390, 3982.0, 63.1031
5.953110633, 96.390, 4034.0, 63.5138
5.979371198, 96.390, 4011.0, 63.3325
6.005631763, 96.390, 4001.0, 63.2535
6.031892329, 96.390, 3954.0, 62.8808
6.058152894, 96.390, 3899.0, 62.4420
6.084413460, 96.390, 3828.0, 61.8708
6.110674025, 96.390, 3905.0, 62.4900
6.136934590, 96.390, 3756.0, 61.2862
6.163195156, 96.390, 3785.0, 61.5224
6.189455721, 96.390, 3823.0, 61.8304
6.215716286, 96.390, 3685.0, 60.7042
6.241976852, 96.390, 3805.0, 61.6847
6.268237417, 96.390, 3711.0, 60.9180
6.294497982, 96.390, 3691.0, 60.7536
6.320758548, 96.390, 3629.0, 60.2412
6.347019113, 96.390, 3720.0, 60.9918
6.373279678, 96.390, 3705.0, 60.8687
6.399540244, 96.390, 3539.0, 59.4895
6.425800809, 96.390, 3736.0, 61.1228
6.452061375, 96.390, 3557.0, 59.6406
6.478321940, 96.390, 3633.0, 60.2744
6.504582505, 96.390, 3526.0, 59.3801
6.530843071, 96.390, 3537.0, 59.4727
6.557103636, 96.390, 3593.0, 59.9416
6.583364201, 96.390, 3591.0, 59.9250
6.609624767, 96.390, 3616.0, 60.1332
6.635885332, 96.390, 3451.0, 58.7452
6.662145897, 96.390, 3527.0, 59.3886
6.688406463, 96.390, 3535.0, 59.4559
6.714667028, 96.390, 3491.0, 59.0847
6.740927593, 96.390, 3589.0, 59.9083
6.767188159, 96.390, 3492.0, 59.0931
6.793448724, 96.390, 3486.0, 59.0424
6.819709289, 96.390, 3535.0, 59.4559
6.845969855, 96.390, 3508.0, 59.2284
6.872230420, 96.390, 3499.0, 59.1523
6.898490986, 96.390, 3410.0, 58.3952
6.924751551, 96.390, 3456.0, 58.7878
6.951012116, 96.390, 3313.0, 57.5587
6.977272682, 96.390, 3462.0, 58.8388
7.003533247, 96.390, 3398.0, 58.2924
7.029793812, 96.390, 3371.0, 58.0603
7.056054378, 96.390, 3352.0, 57.8965
7.082314943, 96.390, 3385.0, 58.1808
7.108575508, 96.390, 3363.0, 57.9914
7.134836074, 96.390, 3357.0, 57.9396
7.161096639, 96.390, 3334.0, 57.7408
7.187357204, 96.390, 3246.0, 56.9737
7.213617770, 96.390, 3324.0, 57.6541
7.239878335, 96.390, 3205.0, 56.6127
7.266138900, 96.390, 3296.0, 57.4108
7.292399466, 96.390, 3159.0, 56.2050
7.318660031, 96.390, 3250.0, 57.0088
7.344920597, 96.390, 3301.0, 57.4543
7.371181162, 96.390, 3254.0, 57.0438
7.397441727, 96.390, 3213.0, 56.6833
7.423702293, 96.390, 3182.0, 56.4092
7.449962858, 96.390, 3265.0, 57.1402
7.476223423, 96.390, 3362.0, 57.9828
7.502483989, 96.390, 3266.0, 57.1489
7.528744554, 96.390, 3151.0, 56.1338
7.555005119, 96.390, 3125.0, 55.9017
7.581265685, 96.390, 3219.0, 56.7362
7.607526250, 96.390, 3147.0, 56.0981
7.633786815, 96.390, 3090.0, 55.5878
7.660047381, 96.390, 3113.0, 55.7943
7.686307946, 96.390, 3304.0, 57.4804
7.712568512, 96.390, 3105.0, 55.7225
7.738829077, 96.390, 3211.0, 56.6657
7.765089642, 96.390, 3165.0, 56.2583
7.791350208, 96.390, 3156.0, 56.1783
7.817610773, 96.390, 3148.0, 56.1070
7.843871338, 96.390, 3105.0, 55.7225
7.870131904, 96.390, 3048.0, 55.2087
7.896392469, 96.390, 3124.0, 55.8928
7.922653034, 96.390, 3117.0, 55.8301
7.948913600, 96.390, 2982.0, 54.6077
7.975174165, 96.390, 3020.0, 54.9545
8.001434730, 96.390, 3212.0, 56.6745
8.027695296, 96.390, 3081.0, 55.5068
8.053955861, 96.390, 3040.0, 55.1362
8.080216426, 96.390, 2972.0, 54.5161
8.106476992, 96.390, 3153.0, 56.1516
8.132737557, 96.390, 3022.0, 54.9727
8.158998123, 96.390, 2953.0, 54.3415
8.185258688, 96.390, 3013.0, 54.8908
8.211519253, 96.390, 3063.0, 55.3444
8.237779819, 96.390, 2962.0, 54.4243
8.264040384, 96.390, 2971.0, 54.5069
8.290300949, 96.390, 3061.0, 55.3263
8.316561515, 96.390, 2907.0, 53.9166
8.342822080, 96.390, 2879.0, 53.6563
8.369082645, 96.390, 2885.0, 53.7122
8.395343211, 96.390, 2950.0, 54.3139
8.421603776, 96.390, 2936.0, 54.1849
8.447864341, 96.390, 2938.0, 54.2033
8.474124907, 96.390, 2973.0, 54.5252
8.500385472, 96.390, 2882.0, 53.6843
8.526646038, 96.390, 2926.0, 54.0925
8.552906603, 96.390, 2965.0, 54.4518
8.579167168, 96.390, 2920.0, 54.0370
8.605427734, 96.390, 2865.0, 53.5257
8.631688299, 96.390, 2959.0, 54.3967
8.657948864, 96.390, 2924.0, 54.0740
8.684209430, 96.390, 2972.0, 54.5161
8.710469995, 96.390, 2820.0, 53.1037
8.736730560, 96.390, 2915.0, 53.9907
8.762991126, 96.390, 2865.0, 53.5257
8.789251691, 96.390, 2772.0, 52.6498
8.815512256, 96.390, 2858.0, 53.4603
8.841772822, 96.390, 2850.0, 53.3854
8.868033387, 96.390, 2830.0, 53.1977
8.894293952, 96.390, 2804.0, 52.9528
8.920554518, 96.390, 2844.0, 53.3292
8.946815083, 96.390, 2758.0, 52.5167
8.973075649, 96.390, 2819.0, 53.0943
8.999336214, 96.390, 2819.0, 53.0943
9.025596779, 96.390, 2734.0, 52.2877
9.051857345, 96.390, 2783.0, 52.7541
9.078117910, 96.390, 2843.0, 53.3198
9.104378475, 96.390, 2835.0, 53.2447
9.130639041, 96.390, 2723.0, 52.1824
9.156899606, 96.390, 2799.0, 52.9056
9.183160171, 96.390, 2778.0, 52.7067
9.209420737, 96.390, 2885.0, 53.7122
9.235681302, 96.390, 2866.0, 53.5350
9.261941867, 96.390, 2823.0, 53.1319
9.288202433, 96.390, 2734.0, 52.2877
9.314462998, 96.390, 2697.0, 51.9326
9.340723564, 96.390, 2679.0, 51.7591
9.366984129, 96.390, 2799.0, 52.9056
9.393244694, 96.390, 2715.0, 52.1057
9.419505260, 96.390, 2761.0, 52.5452
9.445765825, 96.390, 2732.0, 52.2685
9.472026390, 96.390, 2731.0, 52.2590
9.498286956, 96.390, 2758.0, 52.5167
9.524547521, 96.390, 2816.0, 53.0660
9.550808086, 96.390, 2823.0, 53.1319
9.577068652, 96.390, 2654.0, 51.5170
9.603329217, 96.390, 2582.0, 50.8134
9.629589782, 96.390, 2722.0, 52.1728
9.655850348, 96.390, 2759.0, 52.5262
9.682110913, 96.390, 2641.0, 51.3907
9.708371478, 96.390, 2645.0, 51.4296
9.734632044, 96.390, 2694.0, 51.9038
9.760892609, 96.390, 2652.0, 51.4976
9.787153175, 96.390, 2599.0, 50.9804
9.813413740, 96.390, 2600.0, 50.9902
9.839674305, 96.390, 2643.0, 51.4101
9.865934871, 96.390, 2639.0, 51.3712
9.892195436, 96.390, 2641.0, 51.3907
9.918456001, 96.390, 2690.0, 51.8652
9.944716567, 96.390, 2640.0, 51.3809
9.970977132, 96.390, 2566.0, 50.6557
9.997237697, 96.390, 2506.0, 50.0600
10.023498263, 96.390, 2642.0, 51.4004
10.049758828, 96.390, 2638.0, 51.3615
10.076019393, 96.390, 2566.0, 50.6557
10.102279959, 96.390, 2498.0, 49.9800
10.128540524, 96.390, 2564.0, 50.6360
10.154801090, 96.390, 2562.0, 50.6162
10.181061655, 96.390, 2615.0, 51.1371
10.207322220, 96.390, 2584.0, 50.8331
10.233582786, 96.390, 2623.0, 51.2152
10.259843351, 96.390, 2540.0, 50.3984
10.286103916, 96.390, 2590.0, 50.8920
10.312364482, 96.390, 2605.0, 51.0392
10.338625047, 96.390, 2489.0, 49.8899
10.364885612, 96.390, 2459.0, 49.5883
10.391146178, 96.390, 2562.0, 50.6162
10.417406743, 96.390, 2555.0, 50.5470
10.443667308, 96.390, 2519.0, 50.1896
10.469927874, 96.390, 2437.0, 49.3660
10.496188439, 96.390, 2470.0, 49.6991
10.522449004, 96.390, 2533.0, 50.3289
10.548709570, 96.390, 2525.0, 50.2494
10.574970135, 96.390, 2605.0, 51.0392
10.601230701, 96.390, 2573.0, 50.7247
10.627491266, 96.390, 2468.0, 49.6790
10.653751831, 96.390, 2578.0, 50.7740
10.680012397, 96.390, 2500.0, 50.0000
10.706272962, 96.390, 2524.0, 50.2394
10.732533527, 96.390, 2495.0, 49.9500
10.758794093, 96.390, 2423.0, 49.2240
10.785054658, 96.390, 2396.0, 48.9490
10.811315223, 96.390, 2505.0, 50.0500
10.837575789, 96.390, 2508.0, 50.0799
10.863836354, 96.390, 2483.0, 49.8297
10.890096919, 96.390, 2434.0, 49.3356
10.916357485, 96.390, 2374.0, 48.7237
10.942618050, 96.390, 2402.0, 49.0102
10.968878616, 96.390, 2386.0, 48.8467
10.995139181, 96.390, 2483.0, 49.8297
11.021399746, 96.390, 2434.0, 49.3356
11.047660312, 96.390, 2357.0, 48.5489
11.073920877, 96.390, 2444.0, 49.4368
11.100181442, 96.390, 2397.0, 48.9592
11.126442008, 96.390, 2480.0, 49.7996
11.152702573, 96.390, 2474.0, 49.7393
11.178963138, 96.390, 2414.0, 49.1325
11.205223704, 96.390, 2424.0, 49.2341
11.231484269, 96.390, 2371.0, 48.6929
11.257744834, 96.390, 2352.0, 48.4974
11.284005400, 96.390, 2416.0, 49.1528
11.310265965, 96.390, 2364.0, 48.6210
11.336526530, 96.390, 2436.0, 49.3559
11.362787096, 96.390, 2353.0, 48.5077
11.389047661, 96.390, 2308.0, 48.0416
11.415308227, 96.390, 2365.0, 48.6313
11.441568792, 96.390, 2249.0, 47.4236
11.467829357, 96.390, 2410.0, 49.0918
11.494089923, 96.390, 2329.0, 48.2597
11.520350488, 96.390, 2348.0, 48.4562
11.546611053, 96.390, 2424.0, 49.2341
11.572871619, 96.390, 2330.0, 48.2701
11.599132184, 96.390, 2359.0, 48.5695
11.625392749, 96.390, 2338.0, 48.3529
11.651653315, 96.390, 2299.0, 47.9479
11.677913880, 96.390, 2298.0, 47.9375
11.704174445, 96.390, 2373.0, 48.7134
11.730435011, 96.390, 2271.0, 47.6550
11.756695576, 96.390, 2310.0, 48.0625
11.782956141, 96.390, 2357.0, 48.5489
11.809216707, 96.390, 2373.0, 48.7134
11.835477272, 96.390, 2275.0, 47.6970
11.861737838, 96.390, 2308.0, 48.0416
11.887998403, 96.390, 2291.0, 47.8644
11.914258968, 96.390, 2327.0, 48.2390
11.940519534, 96.390, 2208.0, 46.9894
11.966780099, 96.390, 2197.0, 46.8722
11.993040664, 96.390, 2141.0, 46.2709
12.019301230, 96.390, 2315.0, 48.1144
12.045561795, 96.390, 2346.0, 48.4355
12.071822360, 96.390, 2195.0, 46.8508
12.098082926, 96.390, 2268.0, 47.6235
12.124343491, 96.390, 2285.0, 47.8017
12.150604056, 96.390, 2243.0, 47.3603
12.176864622, 96.390, 2247.0, 47.4025
12.203125187, 96.390, 2305.0, 48.0104
12.229385753, 96.390, 2260.0, 47.5395
12.255646318, 96.390, 2278.0, 47.7284
12.281906883, 96.390, 2265.0, 47.5920
12.308167449, 96.390, 2257.0, 47.5079
12.334428014, 96.390, 2240.0, 47.3286
12.360688579, 96.390, 2238.0, 47.3075
12.386949145, 96.390, 2324.0, 48.2079
12.413209710, 96.390, 2151.0, 46.3789
12.439470275, 96.390, 2211.0, 47.0213
12.465730841, 96.390, 2206.0, 46.9681
12.491991406, 96.390, 2202.0, 46.9255
12.518251971, 96.390, 2291.0, 47.8644
12.544512537, 96.390, 2117.0, 46.0109
12.570773102, 96.390, 2225.0, 47.1699
12.597033667, 96.390, 2265.0, 47.5920
12.623294233, 96.390, 2175.0, 46.6369
12.649554798, 96.390, 2068.0, 45.4753
12.675815364, 96.390, 2207.0, 46.9787
12.702075929, 96.390, 2139.0, 46.2493
12.728336494, 96.390, 2155.0, 46.4220
12.754597060, 96.390, 2167.0, 46.5510
12.780857625, 96.390, 2240.0, 47.3286
12.807118190, 96.390, 2064.0, 45.4313
12.833378756, 96.390, 2187.0, 46.7654
12.859639321, 96.390, 2210.0, 47.0106
12.885899886, 96.390, 2194.0, 46.8402
12.912160452, 96.390, 2251.0, 47.4447
12.938421017, 96.390, 2070.0, 45.4973
12.964681582, 96.390, 2178.0, 46.6690
12.990942148, 96.390, 2138.0, 46.2385
13.017202713, 96.390, 2090.0, 45.7165
13.043463279, 96.390, 2109.0, 45.9239
13.069723844, 96.390, 2171.0, 46.5940
13.095984409, 96.390, 2247.0, 47.4025
13.122244975, 96.390, 2178.0, 46.6690
13.148505540, 96.390, 2130.0, 46.1519
13.174766105, 96.390, 2161.0, 46.4866
13.201026671, 96.390, 2192.0, 46.8188
13.227287236, 96.390, 2062.0, 45.4093
13.253547801, 96.390, 2221.0, 47.1275
13.279808367, 96.390, 2106.0, 45.8912
13.306068932, 96.390, 2121.0, 46.0543
13.332329497, 96.390, 2133.0, 46.1844
13.358590063, 96.390, 2136.0, 46.2169
13.384850628, 96.390, 2195.0, 46.8508
13.411111193, 96.390, 2112.0, 45.9565
13.437371759, 96.390, 2142.0, 46.2817
13.463632324, 96.390, 2172.0, 46.6047
13.489892890, 96.390, 2078.0, 45.5851
13.516153455, 96.390, 2135.0, 46.2061
13.542414020, 96.390, 2060.0, 45.3872
13.568674586, 96.390, 2075.0, 45.5522
13.594935151, 96.390, 2078.0, 45.5851
13.621195716, 96.390, 2155.0, 46.4220
13.647456282, 96.390, 2041.0, 45.1774
13.673716847, 96.390, 2083.0, 45.6399
13.699977412, 96.390, 2079.0, 45.5961
13.726237978, 96.390, 2166.0, 46.5403
13.752498543, 96.390, 2084.0, 45.6508
13.778759108, 96.390, 2115.0, 45.9891
13.805019674, 96.390, 2158.0, 46.4543
13.831280239, 96.390, 2058.0, 45.3652
13.857540805, 96.390, 2039.0, 45.1553
13.883801370, 96.390, 2006.0, 44.7884
13.910061935, 96.390, 2051.0, 45.2880
13.936322501, 96.390, 1973.0, 44.4185
13.962583066, 96.390, 1970.0, 44.3847
13.988843631, 96.390, 2036.0, 45.1221
14.015104197, 96.390, 2118.0, 46.0217
14.041364762, 96.390, 2073.0, 45.5302
14.067625327, 96.390, 2032.0, 45.0777
14.093885893, 96.390, 2094.0, 45.7602
14.120146458, 96.390, 2024.0, 44.9889
14.146407023, 96.390, 2027.0, 45.0222
14.172667589, 96.390, 2121.0, 46.0543
14.198928154, 96.390, 2093.0, 45.7493
14.225188719, 96.390, 2049.0, 45.2659
14.251449285, 96.390, 2061.0, 45.3982
14.277709850, 96.390, 2103.0, 45.8585
14.303970416, 96.390, 2031.0, 45.0666
14.330230981, 96.390, 2090.0, 45.7165
14.356491546, 96.390, 2067.0, 45.4643
14.382752112, 96.390, 2125.0, 46.0977
14.409012677, 96.390, 2038.0, 45.1442
14.435273242, 96.390, 2038.0, 45.1442
14.461533808, 96.390, 2039.0, 45.1553
14.487794373, 96.390, 1987.0, 44.5758
14.514054938, 96.390, 1957.0, 44.2380
14.540315504, 96.390, 1982.0, 44.5197
14.566576069, 96.390, 2112.0, 45.9565
14.592836634, 96.390, 1981.0, 44.5084
14.619097200, 96.390, 1971.0, 44.3959
14.645357765, 96.390, 2048.0, 45.2548
14.671618331, 96.390, 1990.0, 44.6094
14.697878896, 96.390, 2011.0, 44.8442
14.724139461, 96.390, 1994.0, 44.6542
14.750400027, 96.390, 2059.0, 45.3762
