[Measurement conditions]
Sample identification,MNASPH_sicornerPC03nov21
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\ibo5034\OneDrive - The Pennsylvania State University\NEUP\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03/Dec/2021 10:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5567.0, 74.6123
5.033990845, 96.390, 5683.0, 75.3857
5.060251411, 96.390, 5614.0, 74.9266
5.086511976, 96.390, 5496.0, 74.1350
5.112772541, 96.390, 5391.0, 73.4234
5.139033107, 96.390, 5438.0, 73.7428
5.165293672, 96.390, 5335.0, 73.0411
5.191554237, 96.390, 5293.0, 72.7530
5.217814803, 96.390, 5308.0, 72.8560
5.244075368, 96.390, 5046.0, 71.0352
5.270335934, 96.390, 5185.0, 72.0069
5.296596499, 96.390, 5084.0, 71.3022
5.322857064, 96.390, 5114.0, 71.5122
5.349117630, 96.390, 4992.0, 70.6541
5.375378195, 96.390, 5004.0, 70.7390
5.401638760, 96.390, 4835.0, 69.5342
5.427899326, 96.390, 4860.0, 69.7137
5.454159891, 96.390, 4756.0, 68.9638
5.480420456, 96.390, 4874.0, 69.8140
5.506681022, 96.390, 4870.0, 69.7854
5.532941587, 96.390, 4648.0, 68.1762
5.559202152, 96.390, 4817.0, 69.4046
5.585462718, 96.390, 4752.0, 68.9348
5.611723283, 96.390, 4787.0, 69.1881
5.637983849, 96.390, 4713.0, 68.6513
5.664244414, 96.390, 4608.0, 67.8823
5.690504979, 96.390, 4606.0, 67.8675
5.716765545, 96.390, 4574.0, 67.6314
5.743026110, 96.390, 4595.0, 67.7864
5.769286675, 96.390, 4649.0, 68.1836
5.795547241, 96.390, 4533.0, 67.3276
5.821807806, 96.390, 4642.0, 68.1322
5.848068371, 96.390, 4579.0, 67.6683
5.874328937, 96.390, 4454.0, 66.7383
5.900589502, 96.390, 4381.0, 66.1891
5.926850067, 96.390, 4384.0, 66.2118
5.953110633, 96.390, 4365.0, 66.0681
5.979371198, 96.390, 4350.0, 65.9545
6.005631763, 96.390, 4298.0, 65.5591
6.031892329, 96.390, 4480.0, 66.9328
6.058152894, 96.390, 4240.0, 65.1153
6.084413460, 96.390, 4242.0, 65.1306
6.110674025, 96.390, 4339.0, 65.8711
6.136934590, 96.390, 4331.0, 65.8103
6.163195156, 96.390, 4170.0, 64.5755
6.189455721, 96.390, 4232.0, 65.0538
6.215716286, 96.390, 4251.0, 65.1997
6.241976852, 96.390, 4255.0, 65.2304
6.268237417, 96.390, 4107.0, 64.0859
6.294497982, 96.390, 4090.0, 63.9531
6.320758548, 96.390, 4185.0, 64.6916
6.347019113, 96.390, 4073.0, 63.8201
6.373279678, 96.390, 4085.0, 63.9140
6.399540244, 96.390, 4126.0, 64.2339
6.425800809, 96.390, 4131.0, 64.2729
6.452061375, 96.390, 3992.0, 63.1823
6.478321940, 96.390, 3948.0, 62.8331
6.504582505, 96.390, 4068.0, 63.7809
