[Measurement conditions]
Sample identification,PO4-Free_07Mar23
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=User-1, Creation date=7/1/2020 9:53:24 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\tmr79\OneDrive - The Pennsylvania State University\Documents\NEUP\XRD\Cement\Zerobackground scan.xrdmp, Identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,23/May/2023 09:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 5106.0, 71.4563
5.033990845, 96.390, 5094.0, 71.3723
5.060251411, 96.390, 4926.0, 70.1855
5.086511976, 96.390, 4959.0, 70.4202
5.112772541, 96.390, 4855.0, 69.6778
5.139033107, 96.390, 4875.0, 69.8212
5.165293672, 96.390, 4803.0, 69.3037
5.191554237, 96.390, 4543.0, 67.4018
5.217814803, 96.390, 4692.0, 68.4982
5.244075368, 96.390, 4737.0, 68.8259
5.270335934, 96.390, 4509.0, 67.1491
5.296596499, 96.390, 4629.0, 68.0368
5.322857064, 96.390, 4533.0, 67.3276
5.349117630, 96.390, 4455.0, 66.7458
5.375378195, 96.390, 4484.0, 66.9627
5.401638760, 96.390, 4464.0, 66.8132
5.427899326, 96.390, 4349.0, 65.9469
5.454159891, 96.390, 4284.0, 65.4523
5.480420456, 96.390, 4302.0, 65.5896
5.506681022, 96.390, 4203.0, 64.8305
5.532941587, 96.390, 4212.0, 64.8999
5.559202152, 96.390, 4163.0, 64.5213
5.585462718, 96.390, 4134.0, 64.2962
5.611723283, 96.390, 4069.0, 63.7887
5.637983849, 96.390, 4172.0, 64.5910
5.664244414, 96.390, 4028.0, 63.4665
5.690504979, 96.390, 4036.0, 63.5295
5.716765545, 96.390, 3958.0, 62.9126
5.743026110, 96.390, 3938.0, 62.7535
5.769286675, 96.390, 4048.0, 63.6239
5.795547241, 96.390, 3924.0, 62.6418
5.821807806, 96.390, 3937.0, 62.7455
5.848068371, 96.390, 3766.0, 61.3677
5.874328937, 96.390, 3780.0, 61.4817
5.900589502, 96.390, 3905.0, 62.4900
5.926850067, 96.390, 3881.0, 62.2977
5.953110633, 96.390, 3785.0, 61.5224
5.979371198, 96.390, 3714.0, 60.9426
6.005631763, 96.390, 3814.0, 61.7576
6.031892329, 96.390, 3744.0, 61.1882
6.058152894, 96.390, 3694.0, 60.7783
6.084413460, 96.390, 3625.0, 60.2080
6.110674025, 96.390, 3683.0, 60.6877
6.136934590, 96.390, 3620.0, 60.1664
6.163195156, 96.390, 3518.0, 59.3127
6.189455721, 96.390, 3592.0, 59.9333
6.215716286, 96.390, 3633.0, 60.2744
6.241976852, 96.390, 3597.0, 59.9750
6.268237417, 96.390, 3529.0, 59.4054
6.294497982, 96.390, 3534.0, 59.4475
6.320758548, 96.390, 3379.0, 58.1292
6.347019113, 96.390, 3563.0, 59.6909
6.373279678, 96.390, 3509.0, 59.2368
6.399540244, 96.390, 3525.0, 59.3717
6.425800809, 96.390, 3323.0, 57.6455
6.452061375, 96.390, 3371.0, 58.0603
6.478321940, 96.390, 3426.0, 58.5320
6.504582505, 96.390, 3444.0, 58.6856
6.530843071, 96.390, 3322.0, 57.6368
6.557103636, 96.390, 3323.0, 57.6455
6.583364201, 96.390, 3444.0, 58.6856
6.609624767, 96.390, 3336.0, 57.7581
6.635885332, 96.390, 3282.0, 57.2887
6.662145897, 96.390, 3195.0, 56.5243
6.688406463, 96.390, 3246.0, 56.9737
