[Measurement conditions]
Sample identification,AlCorner31Jan22_Act12Feb23_B1_0833M_NaOH_LS0153_Num155
Comment - 1,"Configuration=Stage for Flat Samples/Holders, Owner=nmw10, Creation date=9/21/2022 10:06:30 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=X:\XRD\Cement\Zerobackground scan.xrdmp, Created identifier={98A3B11C-88F9-4AA6-982C-73314A311EF5}, Created by=Titus Reed, Id=tmr79, Creation date=10/26/2021 3:01:47 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.25
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,15/Mar/2023 19:40
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.994599997,64.999991833
Scan step size,0.0262606
No. of points, 2285
Scan type,CONTINUOUS
Time per step,96.390
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.007730280, 96.390, 3441.0, 58.6600
5.033990845, 96.390, 3562.0, 59.6825
5.060251411, 96.390, 3581.0, 59.8415
5.086511976, 96.390, 3455.0, 58.7792
5.112772541, 96.390, 3538.0, 59.4811
5.139033107, 96.390, 3558.0, 59.6490
5.165293672, 96.390, 3553.0, 59.6070
5.191554237, 96.390, 3434.0, 58.6003
5.217814803, 96.390, 3504.0, 59.1946
5.244075368, 96.390, 3618.0, 60.1498
5.270335934, 96.390, 3374.0, 58.0861
5.296596499, 96.390, 3316.0, 57.5847
5.322857064, 96.390, 3340.0, 57.7927
5.349117630, 96.390, 3424.0, 58.5150
5.375378195, 96.390, 3394.0, 58.2580
5.401638760, 96.390, 3191.0, 56.4889
5.427899326, 96.390, 3265.0, 57.1402
5.454159891, 96.390, 3299.0, 57.4369
5.480420456, 96.390, 3185.0, 56.4358
5.506681022, 96.390, 3256.0, 57.0614
5.532941587, 96.390, 3158.0, 56.1961
5.559202152, 96.390, 3260.0, 57.0964
5.585462718, 96.390, 3238.0, 56.9034
5.611723283, 96.390, 3205.0, 56.6127
5.637983849, 96.390, 3165.0, 56.2583
