[Measurement conditions],,,
Sample identification,AlCorner31Jan22_Act12Feb23_B1_0833M_NaOH_LS0153,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=arr19, Creation date=3/22/2023 1:21:48 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/22/2023 14:37,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,263.4,,
Time per step,96.39,,
[Scan points],,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1166,34.1467
5.033990845,96.39,1104,33.2265
5.060251411,96.39,1169,34.1906
5.086511976,96.39,1123,33.5112
5.112772541,96.39,1137,33.7194
5.139033107,96.39,1109,33.3017
5.165293672,96.39,1093,33.0606
5.191554237,96.39,1083,32.909
5.217814803,96.39,1120,33.4664
5.244075368,96.39,1018,31.9061
5.270335934,96.39,1064,32.619
5.296596499,96.39,1085,32.9393
5.322857064,96.39,1069,32.6956
5.34911763,96.39,1031,32.1092
5.375378195,96.39,1053,32.45
5.40163876,96.39,1058,32.5269
5.427899326,96.39,999,31.607
5.454159891,96.39,1070,32.7109
5.480420456,96.39,1047,32.3574
5.506681022,96.39,1055,32.4808
5.532941587,96.39,1052,32.4345
5.559202152,96.39,1069,32.6956
5.585462718,96.39,1000,31.6228
5.611723283,96.39,1005,31.7017
5.637983849,96.39,1054,32.4654
5.664244414,96.39,1058,32.5269
5.690504979,96.39,998,31.5911
5.716765545,96.39,1080,32.8634
5.74302611,96.39,1052,32.4345
5.769286675,96.39,1029,32.078
5.795547241,96.39,1038,32.218
5.821807806,96.39,1027,32.0468
5.848068371,96.39,1010,31.7805
5.874328937,96.39,1037,32.2025
5.900589502,96.39,994,31.5278
5.926850067,96.39,994,31.5278
5.953110633,96.39,968,31.1127
5.979371198,96.39,1002,31.6544
6.005631763,96.39,1002,31.6544
6.031892329,96.39,989,31.4484
6.058152894,96.39,948,30.7896
6.08441346,96.39,1031,32.1092
6.110674025,96.39,1037,32.2025
6.13693459,96.39,1020,31.9374
6.163195156,96.39,1002,31.6544
6.189455721,96.39,1074,32.7719
6.215716286,96.39,952,30.8545
6.241976852,96.39,1028,32.0624
6.268237417,96.39,1009,31.7648
6.294497982,96.39,988,31.4325
6.320758548,96.39,980,31.305
6.347019113,96.39,1114,33.3766
6.373279678,96.39,1140,33.7639
6.399540244,96.39,1028,32.0624
6.425800809,96.39,986,31.4006
6.452061375,96.39,937,30.6105
6.47832194,96.39,997,31.5753
6.504582505,96.39,975,31.225
6.530843071,96.39,1032,32.1248
6.557103636,96.39,1039,32.2335
6.583364201,96.39,1001,31.6386
6.609624767,96.39,1035,32.1714
6.635885332,96.39,1040,32.249
6.662145897,96.39,1014,31.8434
6.688406463,96.39,998,31.5911
6.714667028,96.39,1074,32.7719
6.740927593,96.39,1007,31.7333
6.767188159,96.39,1166,34.1467
6.793448724,96.39,1086,32.9545
6.819709289,96.39,1133,33.6601
6.845969855,96.39,1187,34.4529
6.87223042,96.39,1263,35.5387
6.898490986,96.39,1287,35.8748
6.924751551,96.39,1379,37.1349
6.951012116,96.39,1388,37.2559
6.977272682,96.39,1537,39.2046
7.003533247,96.39,1611,40.1373
7.029793812,96.39,1785,42.2493
7.056054378,96.39,2062,45.4093
7.082314943,96.39,2260,47.5395
7.108575508,96.39,2597,50.9608
7.134836074,96.39,3069,55.3986
7.161096639,96.39,3462,58.8388
7.187357204,96.39,3813,61.7495
7.21361777,96.39,3038,55.1181
7.239878335,96.39,2077,45.5741
7.2661389,96.39,1527,39.0768
7.292399466,96.39,1213,34.8281
7.318660031,96.39,1224,34.9857
7.344920597,96.39,1024,32
7.371181162,96.39,1044,32.311
7.397441727,96.39,953,30.8707
7.423702293,96.39,965,31.0644
7.449962858,96.39,944,30.7246
7.476223423,96.39,928,30.4631
7.502483989,96.39,903,30.05
7.528744554,96.39,875,29.5804
7.555005119,96.39,945,30.7409
7.581265685,96.39,834,28.8791
7.60752625,96.39,882,29.6985
7.633786815,96.39,808,28.4253
7.660047381,96.39,863,29.3769
7.686307946,96.39,820,28.6356
7.712568512,96.39,826,28.7402
7.738829077,96.39,837,28.931
7.765089642,96.39,876,29.5973
7.791350208,96.39,860,29.3258
7.817610773,96.39,854,29.2233
7.843871338,96.39,807,28.4077
7.870131904,96.39,803,28.3373
7.896392469,96.39,856,29.2575
7.922653034,96.39,881,29.6816
7.9489136,96.39,861,29.3428
7.975174165,96.39,860,29.3258
8.00143473,96.39,806,28.3901
8.027695296,96.39,824,28.7054
8.053955861,96.39,787,28.0535
8.080216426,96.39,834,28.8791
8.106476992,96.39,812,28.4956
8.132737557,96.39,778,27.8927
8.158998123,96.39,797,28.2312
8.185258688,96.39,832,28.8444
8.211519253,96.39,815,28.5482
8.237779819,96.39,821,28.6531
8.264040384,96.39,793,28.1603
8.290300949,96.39,852,29.189
8.316561515,96.39,814,28.5307
8.34282208,96.39,788,28.0713
8.369082645,96.39,757,27.5136
8.395343211,96.39,755,27.4773
8.421603776,96.39,777,27.8747
8.447864341,96.39,785,28.0179
8.474124907,96.39,867,29.4449
8.500385472,96.39,801,28.3019
8.526646038,96.39,783,27.9821
8.552906603,96.39,745,27.2947
8.579167168,96.39,785,28.0179
8.605427734,96.39,774,27.8209
8.631688299,96.39,743,27.258
8.657948864,96.39,759,27.55
8.68420943,96.39,797,28.2312
8.710469995,96.39,785,28.0179
8.73673056,96.39,746,27.313
8.762991126,96.39,729,27
8.789251691,96.39,800,28.2843
8.815512256,96.39,764,27.6405
8.841772822,96.39,805,28.3725
8.868033387,96.39,750,27.3861
8.894293952,96.39,783,27.9821
8.920554518,96.39,701,26.4764
8.946815083,96.39,784,28
8.973075649,96.39,783,27.9821
8.999336214,96.39,717,26.7769
9.025596779,96.39,788,28.0713
9.051857345,96.39,714,26.7208
9.07811791,96.39,782,27.9643
9.104378475,96.39,723,26.8887
9.130639041,96.39,761,27.5862
9.156899606,96.39,757,27.5136
9.183160171,96.39,763,27.6225
9.209420737,96.39,800,28.2843
9.235681302,96.39,773,27.8029
9.261941867,96.39,759,27.55
