[Measurement conditions],,,
Sample identification,Centroid08Dec21_Act12Feb23_B1_0714M_NaOH_LS0173,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=arr19, Creation date=3/22/2023 1:21:48 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/22/2023 14:15,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,32.2,,
Time per step,96.39,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1313,36.2353
5.033990845,96.39,1246,35.2987
5.060251411,96.39,1291,35.9305
5.086511976,96.39,1246,35.2987
5.112772541,96.39,1272,35.6651
5.139033107,96.39,1360,36.8782
5.165293672,96.39,1212,34.8138
5.191554237,96.39,1287,35.8748
5.217814803,96.39,1240,35.2136
5.244075368,96.39,1172,34.2345
5.270335934,96.39,1266,35.5809
5.296596499,96.39,1287,35.8748
5.322857064,96.39,1185,34.4238
5.34911763,96.39,1172,34.2345
5.375378195,96.39,1188,34.4674
5.40163876,96.39,1193,34.5398
5.427899326,96.39,1202,34.6699
5.454159891,96.39,1152,33.9411
5.480420456,96.39,1204,34.6987
5.506681022,96.39,1143,33.8083
5.532941587,96.39,1153,33.9559
5.559202152,96.39,1224,34.9857
5.585462718,96.39,1162,34.0881
5.611723283,96.39,1192,34.5254
5.637983849,96.39,1185,34.4238
5.664244414,96.39,1154,33.9706
5.690504979,96.39,1186,34.4384
5.716765545,96.39,1124,33.5261
5.74302611,96.39,1185,34.4238
5.769286675,96.39,1174,34.2637
5.795547241,96.39,1156,34
5.821807806,96.39,1112,33.3467
5.848068371,96.39,1122,33.4963
5.874328937,96.39,1154,33.9706
5.900589502,96.39,1139,33.7491
5.926850067,96.39,1155,33.9853
5.953110633,96.39,1204,34.6987
5.979371198,96.39,1052,32.4345
6.005631763,96.39,1098,33.1361
6.031892329,96.39,1114,33.3766
6.058152894,96.39,1112,33.3467
6.08441346,96.39,1092,33.0454
6.110674025,96.39,1134,33.6749
6.13693459,96.39,1058,32.5269
6.163195156,96.39,1114,33.3766
6.189455721,96.39,1096,33.1059
6.215716286,96.39,1093,33.0606
6.241976852,96.39,1108,33.2866
6.268237417,96.39,1157,34.0147
6.294497982,96.39,1118,33.4365
6.320758548,96.39,1136,33.7046
6.347019113,96.39,1092,33.0454
6.373279678,96.39,1095,33.0908
6.399540244,96.39,1097,33.121
6.425800809,96.39,1149,33.8969
6.452061375,96.39,1097,33.121
6.47832194,96.39,1130,33.6155
6.504582505,96.39,1097,33.121
6.530843071,96.39,1063,32.6037
6.557103636,96.39,1072,32.7414
6.583364201,96.39,1176,34.2929
6.609624767,96.39,1073,32.7567
6.635885332,96.39,1090,33.0151
6.662145897,96.39,1148,33.8821
6.688406463,96.39,1080,32.8634
6.714667028,96.39,1108,33.2866
6.740927593,96.39,1045,32.3265
6.767188159,96.39,1064,32.619
6.793448724,96.39,1056,32.4962
6.819709289,96.39,1057,32.5115
6.845969855,96.39,1035,32.1714
6.87223042,96.39,1060,32.5576
6.898490986,96.39,1063,32.6037
6.924751551,96.39,1111,33.3317
6.951012116,96.39,1052,32.4345
6.977272682,96.39,1046,32.3419
7.003533247,96.39,1033,32.1403
7.029793812,96.39,1120,33.4664
7.056054378,96.39,1072,32.7414
7.082314943,96.39,1043,32.2955
7.108575508,96.39,1089,33
7.134836074,96.39,1043,32.2955
7.161096639,96.39,1072,32.7414
7.187357204,96.39,1080,32.8634
7.21361777,96.39,1069,32.6956
7.239878335,96.39,1085,32.9393
7.2661389,96.39,1002,31.6544
7.292399466,96.39,1001,31.6386
7.318660031,96.39,1073,32.7567
7.344920597,96.39,1078,32.8329
7.371181162,96.39,1052,32.4345
7.397441727,96.39,1025,32.0156
7.423702293,96.39,1044,32.311
7.449962858,96.39,996,31.5595
7.476223423,96.39,1072,32.7414
7.502483989,96.39,1028,32.0624
7.528744554,96.39,1045,32.3265
7.555005119,96.39,1051,32.4191
7.581265685,96.39,1074,32.7719
7.60752625,96.39,1000,31.6228
7.633786815,96.39,1005,31.7017
7.660047381,96.39,1036,32.187
7.686307946,96.39,1037,32.2025
7.712568512,96.39,1003,31.6702
7.738829077,96.39,1019,31.9218
7.765089642,96.39,1069,32.6956
7.791350208,96.39,1088,32.9848
7.817610773,96.39,1099,33.1512
7.843871338,96.39,1093,33.0606
7.870131904,96.39,1031,32.1092
7.896392469,96.39,1063,32.6037
7.922653034,96.39,1085,32.9393
7.9489136,96.39,1048,32.3728
7.975174165,96.39,1055,32.4808
8.00143473,96.39,1047,32.3574
8.027695296,96.39,1109,33.3017
8.053955861,96.39,1123,33.5112
8.080216426,96.39,1166,34.1467
8.106476992,96.39,1157,34.0147
8.132737557,96.39,1222,34.9571
8.158998123,96.39,1218,34.8999
8.185258688,96.39,1127,33.5708
8.211519253,96.39,1114,33.3766
8.237779819,96.39,1017,31.8904
8.264040384,96.39,1062,32.5883
8.290300949,96.39,1114,33.3766
8.316561515,96.39,1047,32.3574
8.34282208,96.39,993,31.5119
8.369082645,96.39,1004,31.686
8.395343211,96.39,1001,31.6386
8.421603776,96.39,1034,32.1559
8.447864341,96.39,1040,32.249
8.474124907,96.39,1119,33.4515
8.500385472,96.39,982,31.3369
8.526646038,96.39,1045,32.3265
8.552906603,96.39,1007,31.7333
8.579167168,96.39,1049,32.3883
8.605427734,96.39,1043,32.2955
8.631688299,96.39,1043,32.2955
8.657948864,96.39,1097,33.121
8.68420943,96.39,1084,32.9242
8.710469995,96.39,1045,32.3265
8.73673056,96.39,1075,32.7872
8.762991126,96.39,1016,31.8748
8.789251691,96.39,1019,31.9218
8.815512256,96.39,1085,32.9393
8.841772822,96.39,1059,32.5423
8.868033387,96.39,1054,32.4654
8.894293952,96.39,1057,32.5115
8.920554518,96.39,1022,31.9687
8.946815083,96.39,1038,32.218
8.973075649,96.39,1071,32.7261
8.999336214,96.39,1062,32.5883
9.025596779,96.39,991,31.4802
9.051857345,96.39,1102,33.1964
9.07811791,96.39,1046,32.3419
9.104378475,96.39,1006,31.7175
