[Measurement conditions],,,
Sample identification,150_Centroid08Dec21_Act12Feb23_B1_0714M_NaOH_LS0173,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=arr19, Creation date=3/22/2023 1:21:48 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/22/2023 13:33,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,0,,
Time per step,96.39,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1294,35.9722
5.033990845,96.39,1258,35.4683
5.060251411,96.39,1214,34.8425
5.086511976,96.39,1243,35.2562
5.112772541,96.39,1241,35.2278
5.139033107,96.39,1142,33.7935
5.165293672,96.39,1195,34.5688
5.191554237,96.39,1181,34.3657
5.217814803,96.39,1189,34.4819
5.244075368,96.39,1221,34.9428
5.270335934,96.39,1187,34.4529
5.296596499,96.39,1233,35.1141
5.322857064,96.39,1141,33.7787
5.34911763,96.39,1107,33.2716
5.375378195,96.39,1143,33.8083
5.40163876,96.39,1184,34.4093
5.427899326,96.39,1186,34.4384
5.454159891,96.39,1171,34.2199
5.480420456,96.39,1201,34.6554
5.506681022,96.39,1117,33.4215
5.532941587,96.39,1204,34.6987
5.559202152,96.39,1116,33.4066
5.585462718,96.39,1129,33.6006
5.611723283,96.39,1202,34.6699
5.637983849,96.39,1110,33.3167
5.664244414,96.39,1116,33.4066
5.690504979,96.39,1160,34.0588
5.716765545,96.39,1141,33.7787
5.74302611,96.39,1117,33.4215
5.769286675,96.39,1077,32.8177
5.795547241,96.39,1098,33.1361
5.821807806,96.39,1170,34.2053
5.848068371,96.39,1069,32.6956
5.874328937,96.39,1101,33.1813
5.900589502,96.39,1073,32.7567
5.926850067,96.39,1079,32.8481
5.953110633,96.39,1128,33.5857
5.979371198,96.39,1131,33.6303
6.005631763,96.39,1084,32.9242
6.031892329,96.39,1139,33.7491
6.058152894,96.39,1064,32.619
6.08441346,96.39,1052,32.4345
6.110674025,96.39,1085,32.9393
6.13693459,96.39,1119,33.4515
6.163195156,96.39,1119,33.4515
6.189455721,96.39,1098,33.1361
6.215716286,96.39,1085,32.9393
6.241976852,96.39,1114,33.3766
6.268237417,96.39,1080,32.8634
6.294497982,96.39,1057,32.5115
6.320758548,96.39,1063,32.6037
6.347019113,96.39,974,31.209
6.373279678,96.39,1106,33.2566
6.399540244,96.39,1053,32.45
6.425800809,96.39,1071,32.7261
6.452061375,96.39,1035,32.1714
6.47832194,96.39,1079,32.8481
6.504582505,96.39,968,31.1127
6.530843071,96.39,1067,32.665
6.557103636,96.39,1042,32.28
6.583364201,96.39,1069,32.6956
6.609624767,96.39,1072,32.7414
6.635885332,96.39,1121,33.4813
6.662145897,96.39,1041,32.2645
6.688406463,96.39,1068,32.6803
6.714667028,96.39,1100,33.1662
6.740927593,96.39,1013,31.8277
6.767188159,96.39,1019,31.9218
6.793448724,96.39,1023,31.9844
6.819709289,96.39,1019,31.9218
6.845969855,96.39,972,31.1769
6.87223042,96.39,1062,32.5883
6.898490986,96.39,998,31.5911
6.924751551,96.39,1034,32.1559
6.951012116,96.39,1017,31.8904
6.977272682,96.39,1016,31.8748
7.003533247,96.39,978,31.273
7.029793812,96.39,1075,32.7872
7.056054378,96.39,967,31.0966
7.082314943,96.39,1011,31.7962
7.108575508,96.39,1111,33.3317
7.134836074,96.39,986,31.4006
7.161096639,96.39,1058,32.5269
7.187357204,96.39,994,31.5278
7.21361777,96.39,990,31.4643
7.239878335,96.39,985,31.3847
7.2661389,96.39,972,31.1769
7.292399466,96.39,1029,32.078
7.318660031,96.39,966,31.0805
7.344920597,96.39,1007,31.7333
7.371181162,96.39,971,31.1609
7.397441727,96.39,988,31.4325
7.423702293,96.39,1006,31.7175
7.449962858,96.39,978,31.273
7.476223423,96.39,1043,32.2955
7.502483989,96.39,1006,31.7175
7.528744554,96.39,1056,32.4962
7.555005119,96.39,981,31.3209
7.581265685,96.39,930,30.4959
7.60752625,96.39,968,31.1127
7.633786815,96.39,1025,32.0156
7.660047381,96.39,984,31.3688
7.686307946,96.39,1035,32.1714
7.712568512,96.39,1013,31.8277
7.738829077,96.39,1001,31.6386
7.765089642,96.39,1017,31.8904
7.791350208,96.39,995,31.5436
7.817610773,96.39,981,31.3209
7.843871338,96.39,968,31.1127
7.870131904,96.39,986,31.4006
7.896392469,96.39,1009,31.7648
7.922653034,96.39,929,30.4795
7.9489136,96.39,968,31.1127
7.975174165,96.39,976,31.241
8.00143473,96.39,1004,31.686
8.027695296,96.39,947,30.7734
8.053955861,96.39,1043,32.2955
8.080216426,96.39,1002,31.6544
8.106476992,96.39,980,31.305
8.132737557,96.39,1037,32.2025
8.158998123,96.39,999,31.607
8.185258688,96.39,982,31.3369
8.211519253,96.39,975,31.225
8.237779819,96.39,931,30.5123
8.264040384,96.39,989,31.4484
8.290300949,96.39,947,30.7734
8.316561515,96.39,990,31.4643
8.34282208,96.39,976,31.241
8.369082645,96.39,1012,31.8119
8.395343211,96.39,967,31.0966
8.421603776,96.39,994,31.5278
8.447864341,96.39,1008,31.749
8.474124907,96.39,996,31.5595
8.500385472,96.39,975,31.225
8.526646038,96.39,988,31.4325
8.552906603,96.39,1026,32.0312
8.579167168,96.39,992,31.496
8.605427734,96.39,979,31.289
8.631688299,96.39,972,31.1769
8.657948864,96.39,967,31.0966
8.68420943,96.39,994,31.5278
8.710469995,96.39,980,31.305
8.73673056,96.39,1020,31.9374
8.762991126,96.39,992,31.496
8.789251691,96.39,982,31.3369
8.815512256,96.39,943,30.7083
8.841772822,96.39,958,30.9516
8.868033387,96.39,970,31.1448
8.894293952,96.39,965,31.0644
8.920554518,96.39,971,31.1609
8.946815083,96.39,979,31.289
8.973075649,96.39,985,31.3847
8.999336214,96.39,1015,31.8591
9.025596779,96.39,1006,31.7175
9.051857345,96.39,980,31.305
9.07811791,96.39,1029,32.078
9.104378475,96.39,1029,32.078
9.130639041,96.39,1029,32.078
9.156899606,96.39,1003,31.6702
9.183160171,96.39,974,31.209
